gene,mode_22,mode_23,mode_24,mode_25,mode_26,mode_27,mode_28,mode_29,mode_30,mode_31,mode_32,mode_33,mode_34,mode_35,mode_36,mode_37,mode_38,mode_39,mode_40,mode_41,mode_42,mode_43,mode_44,mode_45,mode_46,mode_47,mode_48,mode_49,mode_50,mode_51,mode_52,mode_53,mode_54,mode_55,mode_56,mode_57,mode_58,mode_59,mode_60,mode_61,mode_62
SRSF2,-0.11325757327891851,0.011866144109178762,-0.09098345361540569,0.07020227606092837,-0.017336985534558775,0.05433712347602945,-0.033251191333238624,0.034940234167359786,-0.052727500078963936,0.05671794046758057,-0.01166625075570155,0.03688845601498613,-0.05557433394999736,0.034282366317727825,0.009649502518019758,-0.0975736271592862,-0.0641784113441979,0.05986627708254426,-0.09596632286772527,-0.07107527883481432,0.15073509992343426,-0.08969140623030677,-0.10648980587889541,0.034611609150329875,0.045933764651673537,-0.04027440570596007,-0.03406969027761646,0.04454721812825649,0.08209757993682527,-0.06887655853001368,-0.04441434211696733,-0.050460397835979165,0.04976353883660132,0.0123478577082683,0.09334760770065494,-0.0769220873109214,-0.029637615411187458,0.03811351232869717,0.018000996915458152,0.04297428556786126,-0.02813155988096972
RARA,-0.0971946261741043,0.10360392305008807,0.0842858073964969,0.2061024720559355,-0.060184833449090994,-0.08036760366912812,0.05036086034090393,0.04337707398879794,0.04299990751551555,0.021718880972473553,-0.038805936180427034,-0.15042528764059337,-0.07542585667670441,-0.06785701321394019,0.045237879318341945,-0.009562178507951642,-0.08171587597317796,-0.011724462825254052,-0.07737195616103106,-0.006382527652213588,0.0023346612530032325,0.010442429201057153,0.026538258199896348,-0.011129140261794701,0.03922024243281154,-0.010365842793434511,-0.0432355037206214,0.08686829876269399,0.0031136515251656677,0.08050067318138678,-0.022536902917862794,0.06633214053027411,0.020550070716731556,-0.016575131484709283,-0.044112796680015526,-0.024433405161330076,-0.06870698390777813,0.01629402003267459,0.04457044349817624,-0.04835073949278112,0.06461859548052203
SMC3,-0.0349024765222507,-0.10330985389170903,-0.07387556944074733,-0.002452119599371705,-0.06848351083952185,-0.04745446823144778,0.051934948089934596,0.05828916404505928,-0.028092744260815806,-0.10018077148377973,-0.06282350884400777,-0.0680801984368265,0.030869486210454714,0.16874362749004468,0.005561605731365989,-0.13498578860063867,-0.014086852288962838,0.038434854872482604,-0.029216453703389732,0.04015998433948034,-0.02043957383893541,0.11376128130280296,-0.13035463318023655,0.05052546302846186,0.045077315313994594,-0.09527198253376871,-0.09122282132472732,-0.04458992257330679,0.06976575417631842,0.09691236508702983,-0.004980695895783233,0.021085590109611377,0.003586305792984432,-0.054509322468379764,0.015266199295856563,0.03649087703318822,-0.03996083069707716,-0.07673601677585142,-0.008876625067141052,-0.008615473059618767,-0.05190540130605018
DEK,0.14200591519057335,0.13460530855835803,-0.035291243937211614,0.05614284214435774,-0.06741764544016103,0.012439750928427222,0.07243074825413955,-0.08425695872075381,0.024553856146415774,-0.1378188409192742,0.07088318380031164,0.038490350332335325,-0.04047358358004528,-0.12634207807900644,-0.13713378893596234,-0.12864867675746544,0.04863708196260844,0.001257909438018632,-0.04926486918679864,-0.18705525774343015,-0.05348943367351047,-0.08117969153924544,-0.038323831247736376,-0.14949800149411036,-0.22609707134193902,0.2199039335062276,0.02198068855461968,0.01928981821772632,-0.04622148355396049,0.01316253933139569,0.0786921660897647,0.0714835441024491,-0.10153156693939797,0.07430770384454545,0.10402154005174967,0.02754894846906315,0.14044923058129394,-0.00417885961069467,0.08875999243107835,0.004164697660434493,-0.07157465938617757
TET2,-0.054926106632639124,0.06594240590165285,0.0644894152772142,-0.08073051602657356,0.03893741647227788,-0.03696418832606634,0.12789519479213687,0.04389688939177195,0.009912710374218557,0.008895530486783048,0.003985966880017708,0.08924972117418956,0.08065119961550397,0.1483970772416132,-0.05584131180435362,-0.015134262320204013,-0.1219432667330584,0.05590959984878089,-0.010889846914168784,0.012250901450013977,0.05886539697511381,-0.03619692796603854,0.2312698159028111,0.048720227910745616,-0.0573617910851607,0.1400924026182302,-0.10242655662678572,0.025042685316614483,0.0696721430617805,-0.01997665988374043,-0.11811166845232067,-0.016075682912519863,0.046211427324454254,-0.016611268456622322,-0.07053073254331842,-0.05021381363989461,0.17567369911774644,-0.13553600212928527,0.1094918225710808,-0.0611910031737263,-0.049266014177737585
PML,0.04518004567678229,0.10250474912316529,0.055138457175083075,0.05223283949907238,0.03530976737296685,-0.004311725117519234,-0.008012668262911117,-0.040134544178569924,0.10939362215851171,0.0679449395610591,0.10113870203546964,0.00501444147884224,-0.11436069112088981,0.04257091048038714,0.03071406518619661,-0.021073981482419044,-0.05531731184210919,-0.044226443361827,0.03222555398659104,0.071988243315774,0.002251954851661001,-0.011347298675340754,0.01688659580274966,-0.10577895532634687,-0.07432239159928415,0.03252408637923247,-0.16896356249338368,-0.11617872861421565,-0.014873063038150908,-0.026421851572260898,-0.002726152636571577,0.0058034160292866135,0.023413339409800046,-0.07786309895827795,0.1112769195329421,0.03436668216000908,-0.0707047536815019,-0.0689861660797684,-0.02959146500856838,-0.08631666798891077,0.05055305591124955
TP53,-0.1018264940017197,0.04249904006000588,-0.03830177922604349,0.029339895462199006,0.03690575504234393,-0.0007801649109886833,0.022014665576280838,0.2130621203013094,0.10385196660367414,0.03597395197910127,-0.020064124787357834,-0.11964507957324651,0.009877282687237924,0.06617293352263558,0.09614031473736388,-0.0016924928731520301,0.27753324964149,-0.14128852421661492,0.03265916002785477,0.07685931069951561,0.024215805825600584,-0.18929857077441573,0.11746518003862962,-0.16129440001994128,0.029958961429547064,-0.13294049038241304,-0.033746754093255144,-0.17694605620759918,-0.05616830325739274,0.07900230617212035,-0.06773475479835618,-0.08712780057137387,-0.03995837136321655,0.07321464132715196,-0.0866437433425854,-0.048512708359082404,0.04881555845999375,0.05794487730173873,-0.03081340217089963,-0.11804710694082436,-0.08356797816744244
SMC1A,0.05335056097356927,0.13916137421974314,0.14696874070880023,0.11422873275467688,-0.05822586773852415,0.04984764032718698,0.0005856575977556314,0.00020906785108626194,-0.08320948716124063,-0.07643797558706364,0.00875267289209486,0.04054849984915364,-0.029251665910449646,0.03306215592141522,-0.017926575503547742,-0.0606546160239998,0.021514769468238444,-0.0005812604180269983,0.03943853677308622,-0.02306356859814079,-0.04774948459570187,0.05324837819393888,-0.08443434668887392,0.05121365698082132,0.005559436382685296,0.034697764118246786,0.007655024964742473,-0.024479132231142536,0.04606228260425999,0.019069181663009818,-0.06335828897914059,-0.000413096357689982,-0.04245020988272545,0.08412930669538123,0.006823687308234901,0.018233883628007617,-0.01019211247277298,0.06456661211882118,0.0026693838231980948,0.01725078737761044,0.005641930029427192
FLT3,-0.02780887557398871,-0.00744630935943905,0.017774439729005553,-0.026287465805236648,-0.02596963933063865,-0.01680381163675188,0.013169125492658165,-0.015086455681080633,-0.04351158005933651,0.008052924830331295,0.03281172741511365,-0.014628460205304755,-0.009493402077656586,-0.02043921563714008,-0.005595812719702295,-0.01985078865791688,-0.01676913773142021,0.009678398705390995,0.01435539513903763,-0.020160935583417063,-0.0325469705596675,-0.008834231586388647,0.01903167604806456,0.010207923850664064,0.0043028916347141585,-0.01258630029938936,-0.014553609364139164,-0.008693083535449236,0.028912583624132328,-0.03808697097079973,-0.021657730345030553,0.0010077258729414933,-0.016220825036414956,-0.015581791039125076,0.021036739730268508,0.000566918566021959,-0.001809111260356926,-0.037286946448492425,0.05172109640375609,-0.0030886238925150623,-0.04992041506333056
RUNX1,-0.08307239195720355,-0.04271332206929006,-0.01551216099832925,-0.03287506876289372,0.10119011146947746,0.054088442825994704,0.03831449736079918,-0.02868780687031431,-0.016936077274030244,0.03092663363411504,0.031193804463898366,-0.03635636774787338,-0.008985932534378276,-0.03977581491379956,-0.03375956081277843,0.1134529611161039,-0.009985989314681918,0.004926925688654059,-0.08202053510177794,-0.03315142913565754,-0.025758027696532505,0.09584235485302044,-0.0336876168067352,-0.02799922028654239,0.08189993259237204,0.012696136348241103,-0.08819469093975493,0.06686813410607732,-0.10384398477335054,-0.024990201811684442,-0.03892794167156425,-0.0145337876526405,-0.013361406033024607,-0.04241062996928139,0.05541449064366402,0.10153778813363078,0.09326939480267896,0.09623998926393953,0.09304960340401382,0.0527339897496042,0.16548734636150547
