gene,cluster_id,cluster_size
SRSF2,1,2
RARA,3,1
SMC3,75,2
DEK,50,1
TET2,77,1
PML,38,1
TP53,113,1
SMC1A,64,1
FLT3,108,1
RUNX1,66,1
IDH1,55,1
SF3B1,111,1
WT1,105,1
NRAS,137,1
KMT2A,25,1
BCL2,129,1
IDH2,59,1
EZH2,76,1
ZRSR2,63,2
RAD21,131,1
KRAS,120,2
DNMT3A,36,1
ASXL1,78,1
U2AF1,11,1
GATA2,142,1
CEBPA,47,1
NUP214,12,1
KIT,91,1
PTPN11,79,1
STAG2,72,1
MECOM,21,1
NPM1,100,1
WAPL,39,1
SMC1B,132,1
CDCA5,57,1
SGO1,60,1
REC8,97,1
MXD4,119,1
STAG3,75,2
NIPBL,27,1
SPI1,133,1
GPR31,120,2
STAG1,143,1
NXF2,13,1
CARNMT1,102,1
ELF4,32,1
KRTAP10-3,101,2
AIRE,15,1
ZNF513,37,1
SLA,0,1
ZRSR1,73,1
SRRM1,26,1
ANKRD11,65,1
CIRSR,101,2
ZNF207,130,1
U2AF1L4,1,2
USP37,14,1
FMO3,140,1
ADAR,67,1
SH2B3,109,1
SSU72,23,1
SOCS1,43,1
PAF1,81,1
USP13,127,1
TEC,44,1
RGPD2,86,1
WAPAL,115,1
KAT6A,104,1
HLF,16,1
HRK,123,1
BNIPL,20,1
GRB10,31,1
MED1,51,1
NUP93,56,1
PDS5B,41,1
CBL,128,1
OVCA2,103,1
PDS5A,114,1
RBM15,69,1
TFEC,94,1
C19ORF43,45,1
ZFPM1,98,1
RADIL,18,1
HIST1H3A,28,1
ZRSR2P1,63,2
PIK3CG,106,1
IRX4,53,1
CITED1,7,1
GPATCH11,62,1
PPP4R3A,88,1
SUV39H1,2,1
KITLG,87,1
PECAM1,85,1
HIST1H4A,29,1
AVEN,124,1
MAU2,70,1
PAWR,107,1
MATK,82,1
RGL2,141,1
CDK1,34,1
BCOR,112,1
CELA1,95,1
CSN1S1,110,1
CBX7,4,1
ZBTB5,54,1
PCGF5,118,1
HAO2,83,1
KDM2B,17,1
ZBTB7A,136,1
PCGF1,5,1
PCGF3,46,1
L3MBTL1,116,1
CARD8,80,1
NACC1,84,1
PCGF2,48,1
HSPA12A,68,1
MLLT1,92,1
ERP44,99,1
NFIC,125,1
SNAPC4,24,1
MLLT3,93,1
QPRT,33,1
KPNA4,35,1
NFIA,126,1
CBX4,22,1
NFIX,121,1
SHARPIN,74,1
RING1,8,1
C6ORF141,71,2
YAF2,138,1
PPP4R1L,42,1
RNF2,122,1
BCL6,49,1
NAA10,96,1
DCAF7,58,1
RYBP,139,1
CBX8,52,1
PIP,40,1
NCAPH2,71,2
B4GALT2,89,1
SP1,10,1
CTBP1,30,1
CDC16,117,1
CBX3,6,1
BRAF,9,1
CCDC96,134,1
CBX6,90,1
SKP1,19,1
S100P,135,1
USP7,61,1
