schema_version,loss_bucket,case_count,cases,required_law,active_sibling_p_min,diagnostic_sibling_p_min,active_vs_diagnostic_ratio_median,branch_length_ratio_median,unstable_subtree_count_median,large_unstable_subtree_count_median,interpretation,trace_rows,edge_open_trace_rows,active_sibling_trace_rows
selected_node_sibling_null_law/v1,sibling_gate_closed_after_edge_open,5,"cont_lowrank_pggn_shrinkage,overlap_extreme_4c,overlap_heavy_8c_large_feat,sbm_hard,sbm_moderate",selected_node_sibling_null,0.0125726905933696,1.0288232908318928e-25,370733704196947.5,157.3528733842016,417.0,284.0,"Edge support exists, but active sibling calibration remains closed; condition on topology, NNLS branch time, local covariance, accepted dimension, and topology stability before spending alpha.",4756,2340,2360
selected_node_sibling_null_law/v1,edge_gate_closed_global,9,"dim_consolidated_4c_24f_continuous,dim_consolidated_4c_72f_continuous,dim_diffuse_6c_136f_continuous,gauss_clear_medium_continuous,gauss_moderate_3c_continuous,gauss_outlier_cluster_4c_continuous,gauss_single_outlier_4c_continuous,mp_spike_above_bbp_continuous,phylo_brownian_null_16taxa",selected_pipeline_edge_null,,0.081796443586528,,4.604694421456436,314.0,290.0,Sibling law is not reached; selected-pipeline edge calibration is the first missing object.,0,0,0
