schema_version,policy_id,literature_family,implementation_status,case_id,test_case,tree_inference,run_id,trace_nodes,tested_nodes,opened_nodes,pass_through_nodes,has_split,min_rejected_p_value,max_local_alpha,cluster_count,largest_cluster_fraction,cluster_sizes
tree_literature_alpha_replay/v1,yekutieli_hierarchical_fdr_bh,hierarchical FDR,executable_analogue,sbm_moderate,60,centroid,graphtools_adaptive_k_tree_strategy__tree_linkage_method_centroid__r0,1,1,0,0,False,,0.01,1,1.0,120
tree_literature_alpha_replay/v1,yekutieli_hierarchical_fdr_bh,hierarchical FDR,executable_analogue,sbm_moderate,60,complete,graphtools_adaptive_k_tree_strategy__tree_linkage_method_complete__r0,7,1,0,0,False,,0.01,1,1.0,120
tree_literature_alpha_replay/v1,yekutieli_hierarchical_fdr_bh,hierarchical FDR,executable_analogue,sbm_moderate,60,median,graphtools_adaptive_k_tree_strategy__tree_linkage_method_median__r0,1,1,0,0,False,,0.01,1,1.0,120
tree_literature_alpha_replay/v1,yekutieli_hierarchical_fdr_bh,hierarchical FDR,executable_analogue,sbm_moderate,60,single,graphtools_adaptive_k_tree_strategy__tree_linkage_method_single__r0,1,1,0,0,False,,0.01,1,1.0,120
tree_literature_alpha_replay/v1,yekutieli_hierarchical_fdr_bh,hierarchical FDR,executable_analogue,sbm_moderate,60,ward,graphtools_adaptive_k_tree_strategy__tree_linkage_method_ward__r0,13,1,0,0,False,,0.01,1,1.0,120
tree_literature_alpha_replay/v1,yekutieli_hierarchical_fdr_bh,hierarchical FDR,executable_analogue,sbm_moderate,60,weighted,graphtools_adaptive_k_tree_strategy__tree_linkage_method_weighted__r0,1,1,0,0,False,,0.01,1,1.0,120
tree_literature_alpha_replay/v1,treebh_multiresolution_bh,TreeBH / multiresolution tree testing,executable_analogue,cont_lowrank_pggn_shrinkage,117,average,graphtools_adaptive_k_tree_strategy__tree_linkage_method_average__r0,15,1,0,0,False,,0.01,1,1.0,80
tree_literature_alpha_replay/v1,treebh_multiresolution_bh,TreeBH / multiresolution tree testing,executable_analogue,cont_lowrank_pggn_shrinkage,117,centroid,graphtools_adaptive_k_tree_strategy__tree_linkage_method_centroid__r0,1,1,0,0,False,,0.01,1,1.0,80
tree_literature_alpha_replay/v1,treebh_multiresolution_bh,TreeBH / multiresolution tree testing,executable_analogue,cont_lowrank_pggn_shrinkage,117,complete,graphtools_adaptive_k_tree_strategy__tree_linkage_method_complete__r0,15,1,0,0,False,,0.01,1,1.0,80
tree_literature_alpha_replay/v1,treebh_multiresolution_bh,TreeBH / multiresolution tree testing,executable_analogue,cont_lowrank_pggn_shrinkage,117,median,graphtools_adaptive_k_tree_strategy__tree_linkage_method_median__r0,1,1,0,0,False,,0.01,1,1.0,80
