axis,axis_name,selection,go_term,go_id,column,support,prevalence,entropy_bits,loading,abs_loading,loading_sign,abs_rank
7,mode_07,top_negative,"BMAL1 CLOCK,NPAS2 Activates Circadian Gene Expression",,"BMAL1 CLOCK,NPAS2 Activates Circadian Gene Expression",19,0.12666666666666668,0.5482251174503202,-0.07562010353076754,0.07562010353076754,negative,33
7,mode_07,top_negative,NFE2L2 Regulating Tumorigenic Genes,,NFE2L2 Regulating Tumorigenic Genes,24,0.16,0.6343095546405662,-0.07528995083415767,0.07528995083415767,negative,34
7,mode_07,top_negative,Nuclear Receptor Transcription Pathway,,Nuclear Receptor Transcription Pathway,20,0.13333333333333333,0.5665095065529053,-0.07197134670098666,0.07197134670098666,negative,37
7,mode_07,top_negative,Disorders of Developmental Biology,,Disorders of Developmental Biology,29,0.19333333333333333,0.708392686703044,-0.07027942322217369,0.07027942322217369,negative,38
7,mode_07,top_negative,Pervasive Developmental Disorders,,Pervasive Developmental Disorders,29,0.19333333333333333,0.708392686703044,-0.07027942322217369,0.07027942322217369,negative,39
7,mode_07,top_negative,Loss of Function of MECP2 in Rett Syndrome,,Loss of Function of MECP2 in Rett Syndrome,29,0.19333333333333333,0.708392686703044,-0.07027942322217369,0.07027942322217369,negative,41
7,mode_07,top_negative,Disorders of Nervous System Development,,Disorders of Nervous System Development,29,0.19333333333333333,0.708392686703044,-0.07027942322217369,0.07027942322217369,negative,40
7,mode_07,top_negative,Organelle Biogenesis and Maintenance,,Organelle Biogenesis and Maintenance,25,0.16666666666666666,0.6500224216483541,-0.06878778887826376,0.06878778887826376,negative,43
7,mode_07,top_absolute,SUMOylation of RNA Binding Proteins,,SUMOylation of RNA Binding Proteins,31,0.20666666666666667,0.7350626941249581,0.15732476761048472,0.15732476761048472,positive,1
7,mode_07,top_absolute,"Respiratory Syncytial Virus (RSV) Genome Replication, Transcription and Translation",,"Respiratory Syncytial Virus (RSV) Genome Replication, Transcription and Translation",20,0.13333333333333333,0.5665095065529053,0.1341627624335113,0.1341627624335113,positive,2
7,mode_07,top_absolute,Maturation of hRSV A Proteins,,Maturation of hRSV A Proteins,18,0.12,0.5293608652873644,0.1327176040825649,0.1327176040825649,positive,3
7,mode_07,top_absolute,SUMOylation of DNA Methylation Proteins,,SUMOylation of DNA Methylation Proteins,38,0.25333333333333335,0.8165187119538282,0.13195604139511355,0.13195604139511355,positive,4
7,mode_07,top_absolute,WNT Mediated Activation of DVL,,WNT Mediated Activation of DVL,21,0.14,0.584238811642856,0.13010980724662854,0.13010980724662854,positive,5
7,mode_07,top_absolute,Synthesis of PC,,Synthesis of PC,17,0.11333333333333333,0.5098891423431209,0.125725832103406,0.125725832103406,positive,6
7,mode_07,top_absolute,Receptor Mediated Mitophagy,,Receptor Mediated Mitophagy,22,0.14666666666666667,0.6014353864290773,0.12343277512904097,0.12343277512904097,positive,7
7,mode_07,top_absolute,Cooperation of PDCL (PhLP1) and TRiC CCT in G-protein Beta Folding,,Cooperation of PDCL (PhLP1) and TRiC CCT in G-protein Beta Folding,21,0.14,0.584238811642856,0.11857854962138775,0.11857854962138775,positive,8
