cluster_id,cluster_size
0,1
1,1
2,1
3,1
4,1
5,3
6,1
7,1
8,2
9,1
10,4
11,2
12,4
13,1
14,1
15,3
16,1
17,1
18,5
19,5
20,1
21,1
22,1
23,1
24,1
25,1
26,3
27,3
28,3
29,1
30,1
31,6
32,5
33,1
34,2
35,1
36,1
37,3
38,8
39,1
40,3
41,3
42,4
43,2
44,1
45,4
46,3
47,3
48,4
49,2
50,4
51,3
52,3
53,4
54,1
55,1
56,1
57,4
58,2
59,1
60,1
61,2
62,1
63,1
64,4
65,3
