case_id,adaptive_ari,delta_vs_graphtools_nnls_ari,delta_vs_pydiffmap_nnls_ari,adaptive_nmi,delta_vs_graphtools_nnls_nmi,delta_vs_pydiffmap_nnls_nmi,adaptive_macro_f1,delta_vs_graphtools_nnls_macro_f1,delta_vs_pydiffmap_nnls_macro_f1,adaptive_purity,delta_vs_graphtools_nnls_purity,delta_vs_pydiffmap_nnls_purity,adaptive_silhouette_score,delta_vs_graphtools_nnls_silhouette_score,delta_vs_pydiffmap_nnls_silhouette_score,adaptive_calinski_harabasz_index,delta_vs_graphtools_nnls_calinski_harabasz_index,delta_vs_pydiffmap_nnls_calinski_harabasz_index,adaptive_davies_bouldin_index,delta_vs_graphtools_nnls_davies_bouldin_index,delta_vs_pydiffmap_nnls_davies_bouldin_index,adaptive_found_clusters,delta_vs_graphtools_nnls_found_clusters,delta_vs_pydiffmap_nnls_found_clusters,adaptive_effective_cluster_count,delta_vs_graphtools_nnls_effective_cluster_count,delta_vs_pydiffmap_nnls_effective_cluster_count,adaptive_largest_cluster_fraction,delta_vs_graphtools_nnls_largest_cluster_fraction,delta_vs_pydiffmap_nnls_largest_cluster_fraction
cat_overlap_3cat_4c,0.8959106431954114,0.0,0.031425778813664484,0.9083891339896004,0.0,0.010947027029868384,0.957259585166562,0.0,0.015530214236005535,0.9575,0.0,0.015000000000000013,0.0463130719827223,0.0,0.0004931561200943943,15.61906063233191,0.0,0.04048715277962245,4.438253830347983,0.0,0.006242605066295148,4,0,0,3.9774784975956914,0.0,0.030500504232663594,0.2875,0.0,-0.020000000000000018
overlap_unbal_4c_small,0.6590088044947379,0.0,0.056588461261383505,0.61101433984031,0.0,0.023687979438270057,0.8595715191459872,0.0,0.030315588378618474,0.86,0.0,0.02749999999999997,0.0280060966782794,0.0,0.0024923023126376988,9.802778937640063,0.0,0.4700387389052949,4.831153866407739,0.0,-0.034318814516828944,4,0,0,3.97875578763971,0.0,0.18880333461008014,0.2925,0.0,-0.050000000000000044
overlap_mod_4c_small,0.9013124846886036,0.0,0.0492495083644523,0.8807296551936105,0.0,0.03507996284299286,0.9629543120348024,0.0,0.019902438016759616,0.9625,0.0,0.020000000000000018,0.0614408086754181,0.0,0.0011133766113037014,18.854674197139847,0.0,0.21944666955474545,3.491618566050064,0.0,-0.028334716623469536,4,0,0,3.9947534296431706,0.0,0.018987723845180327,0.27,0.0,-0.019999999999999962
dim_consolidated_4c_24f,0.4035201678286685,0.0,-0.12628272501936588,0.5758548657517188,0.0,-0.029525318503664022,0.8454478364173086,0.0,-0.01609319407059473,0.84375,0.0,-0.018750000000000044,0.0629105770935823,0.0,-0.006002786238694602,7.363937430219698,0.0,-1.0267475803240753,2.7234920993231015,0.0,-0.06716280889897996,9,0,2,8.26823113800074,0.0,1.792409422255937,0.175,0.0,-0.04375000000000001
cat_highd_3cat_500feat,1.0,0.0,0.9015399625792366,1.0,0.0,0.4871917520079604,1.0,0.0,0.0,1.0,0.0,0.0,0.1030751602770287,0.0,0.11537772986592021,18.09654526534309,0.0,16.226747599689055,2.8477027431230404,0.0,0.83839974896773,4,0,-64,4.0,0.0,-51.722440961528555,0.25,0.0,0.19
gauss_overlap_3c_small,0.4923389076126947,0.0,-0.18203020744789156,0.7061185318563697,0.0,-0.08029713654810022,1.0,0.0,0.0,1.0,0.0,0.0,0.0499274617434115,0.0,-0.1238268687138818,36.63153894725099,0.0,-12.177700816838076,3.3811784302338768,0.0,0.257851785171324,8,0,2,7.486350264063185,0.0,2.037736277288139,0.2133333333333333,0.0,-0.12000000000000002
gauss_overlap_8c_highd,1.0,0.0,0.06569950559212878,1.0,0.0,0.04775279100316998,1.0,0.0,0.0,1.0,0.0,0.0,0.3208861133698408,0.0,0.09319711104816181,132.40742248062415,0.0,60.377600420268934,1.28965371641419,0.0,-2.0212199511594093,8,0,-6,7.999999999999998,0.0,-1.855197864147856,0.125,0.0,0.0
