test_case,case_id,case_category,source_family,feature_representation,method,params,true_clusters,found_clusters,samples,features,noise,ari,nmi,ami,purity,homogeneity,completeness,v_measure,fowlkes_mallows,macro_recall,macro_f1,worst_cluster_recall,n_singleton_clusters,singleton_fraction,median_cluster_size,largest_cluster_fraction,effective_cluster_count,cluster_size_entropy,cluster_size_gini,noise_label_fraction,silhouette_score,davies_bouldin_index,calinski_harabasz_index,outlier_precision,outlier_recall,outlier_f1,singleton_outlier_isolated,grouped_outlier_cluster_recovered,cluster_count_abs_error,over_split,under_split,tree_build_sec,populate_divergences_sec,edge_gate_sec,edge_gate_contrast_covariance_sec,edge_gate_projection_sec,edge_gate_wald_statistic_sec,edge_gate_tree_bh_sec,spectral_context_sec,tangent_whitening_sec,eigensolve_sec,pca_projection_sec,sibling_gate_sec,sibling_gate_pair_record_collection_sec,sibling_gate_inflation_fit_sec,sibling_gate_adjusted_tests_sec,sibling_gate_fdr_sec,traversal_sec,status,skip_reason,labels_length
1,cat_overlap_3cat_4c,categorical_overlapping,categorical_multinomial,categorical_one_hot,tbs_diffusion_adaptive,"bandwidth_type=-1/(d+2), branch_length_optimization_method=linkage_ultrametric, diffusion_method=adaptive_pydiffmap_diffusion, diffusion_time=3, edge_alpha=0.001, epsilon=median, k_neighbors=10, metric=hamming, n_components=30, sibling_alpha=0.01",4,4,400,300,0.35,0.8644848643817469,0.897442106959732,0.896589545429271,0.9425,0.8931228247625719,0.9018033696347038,0.897442106959732,0.8986302537082116,0.9425,0.9417293709305565,0.77,0.0,0.0,100.0,0.3075,3.9469779933630282,1.372950221130084,0.08625,0.0,0.04581991586262797,4.432011225281688,15.578573479552288,,,,,,0.0,0.0,0.0,0.00352908403147012,0.007455209037289023,0.30890279199229553,0.1417451185407117,0.0016472098650410771,0.024099843518342823,0.0025817499845288694,0.12873641698388383,0.9494707972626202,0.33696463983505964,0.09806595533154905,0.2412084160023369,0.0930492079933174,0.0007091250154189765,0.1329939590068534,0.012327833974268287,0.009467124997172505,ok,,400
1,cat_overlap_3cat_4c,categorical_overlapping,categorical_multinomial,categorical_one_hot,tbs_diffusion_adaptive_nnls,"bandwidth_type=-1/(d+2), branch_length_optimization_max_iterations=300, branch_length_optimization_method=fixed_topology_nnls, branch_length_optimization_pair_sample_size=50000, branch_length_optimization_random_state=0, branch_length_optimization_solver_tolerance=1e-05, branch_length_optimization_target_metric=squared_standardized_euclidean, diffusion_method=adaptive_pydiffmap_diffusion, diffusion_time=3, edge_alpha=0.001, edge_branch_length_variance_policy=normalized_branch_length, epsilon=median, k_neighbors=10, metric=hamming, n_components=30, sibling_alpha=0.01",4,4,400,300,0.35,0.8644848643817469,0.897442106959732,0.896589545429271,0.9425,0.8931228247625719,0.9018033696347038,0.897442106959732,0.8986302537082116,0.9425,0.9417293709305565,0.77,0.0,0.0,100.0,0.3075,3.9469779933630282,1.372950221130084,0.08625,0.0,0.04581991586262797,4.432011225281688,15.578573479552288,,,,,,0.0,0.0,0.0,0.002258500026073307,0.006306166003923863,0.31476179097080603,0.14383343298686668,0.001576000708155334,0.025189383246470243,0.002549665980041027,0.13042891601799056,0.9112167460261844,0.3857961994362995,0.05861404864117503,0.21385487500810996,0.09345174999907613,0.0007577499491162598,0.10729816695675254,0.010437458986416459,0.007594750029966235,ok,,400
1,cat_overlap_3cat_4c,categorical_overlapping,categorical_multinomial,categorical_one_hot,tbs_diffusion_graphtools,"anisotropy=0.0, branch_length_optimization_method=linkage_ultrametric, decay=40, diffusion_method=graphtools_kernel_diffusion, diffusion_time=3, edge_alpha=0.001, k_neighbors=10, kernel_symm=+, metric=hamming, n_components=30, random_state=0, sibling_alpha=0.01",4,3,400,300,0.35,0.712742980561555,0.8571428571428577,0.8562454901023553,0.75,0.7500000000000004,1.0,0.8571428571428577,0.8151254689931743,0.75,0.6666666666666666,0.0,0.0,0.0,100.0,0.5,2.82842712474619,1.0397207708399179,0.16666666666666666,0.0,0.06029237195415064,3.6603060621744166,19.825044186276177,,,,,,1.0,0.0,1.0,0.002488582977093756,0.007278542034327984,0.31512729200767353,0.13993408059468493,0.0016301668947562575,0.02320455142762512,0.004103125014808029,0.13673470896901563,0.917441375204362,0.34165546210715547,0.0683117124135606,0.3938330000382848,0.09416216594399884,0.0007219580002129078,0.26963516598334536,0.027351875032763928,0.02614670799812302,ok,,400
1,cat_overlap_3cat_4c,categorical_overlapping,categorical_multinomial,categorical_one_hot,tbs_diffusion_graphtools_nnls,"anisotropy=0.0, branch_length_optimization_max_iterations=300, branch_length_optimization_method=fixed_topology_nnls, branch_length_optimization_pair_sample_size=50000, branch_length_optimization_random_state=0, branch_length_optimization_solver_tolerance=1e-05, branch_length_optimization_target_metric=squared_standardized_euclidean, decay=40, diffusion_method=graphtools_kernel_diffusion, diffusion_time=3, edge_alpha=0.001, edge_branch_length_variance_policy=normalized_branch_length, k_neighbors=10, kernel_symm=+, metric=hamming, n_components=30, random_state=0, sibling_alpha=0.01",4,4,400,300,0.35,0.8959106431954114,0.9083891339896005,0.907629864003287,0.9575,0.9065392293387368,0.9102466039938379,0.9083891339896005,0.9218979524611249,0.9575,0.957259585166562,0.84,0.0,0.0,100.0,0.2875,3.9774784975956914,1.3806480752053096,0.05625,0.0,0.046313071982722345,4.438253830347983,15.61906063233191,,,,,,0.0,0.0,0.0,0.0022875829599797726,0.00624333304585889,0.32301537500461563,0.14453524752752855,0.0016134728793986142,0.024745802395045757,0.004155792004894465,0.13675333297578618,0.9802561704418622,0.33695016719866544,0.0454674226930365,0.3815765419858508,0.09133362502325326,0.0007093329913914204,0.2594199160230346,0.028269999951589853,0.02621637500124052,ok,,400
1,cat_overlap_3cat_4c,categorical_overlapping,categorical_multinomial,categorical_one_hot,tbs_diffusion_graphtools_adaptive_nnls,"adaptive_neighbor_grid=(5, 10, 15, 25, 40, 80, 160), adaptive_neighbor_profile=fragmentation_guard, anisotropy=0.0, branch_length_optimization_max_iterations=300, branch_length_optimization_method=fixed_topology_nnls, branch_length_optimization_pair_sample_size=50000, branch_length_optimization_random_state=0, branch_length_optimization_solver_tolerance=1e-05, branch_length_optimization_target_metric=squared_standardized_euclidean, decay=40, diffusion_method=graphtools_kernel_diffusion, diffusion_time=3, edge_alpha=0.001, edge_branch_length_variance_policy=normalized_branch_length, k_neighbors=10, kernel_symm=+, metric=hamming, n_components=30, random_state=0, sibling_alpha=0.01",4,4,400,300,0.35,0.8959106431954114,0.9083891339896005,0.907629864003287,0.9575,0.9065392293387368,0.9102466039938379,0.9083891339896005,0.9218979524611249,0.9575,0.957259585166562,0.84,0.0,0.0,100.0,0.2875,3.9774784975956914,1.3806480752053096,0.05625,0.0,0.046313071982722345,4.438253830347983,15.61906063233191,,,,,,0.0,0.0,0.0,0.0023827499826438725,0.006077541969716549,0.3136936670052819,0.1406819986877963,0.0016210845205932856,0.023506823927164078,0.003911832987796515,0.13312766602030024,0.9923172991839238,0.34572307334747165,0.047987331403419375,0.37423066602787003,0.0909097499679774,0.0007217919919639826,0.2548177919816226,0.02587374998256564,0.026078374998178333,ok,,400
2,overlap_unbal_4c_small,overlapping_binary_unbalanced,binary_template,binary,tbs_diffusion_adaptive,"bandwidth_type=-1/(d+2), branch_length_optimization_method=linkage_ultrametric, diffusion_method=adaptive_pydiffmap_diffusion, diffusion_time=3, edge_alpha=0.001, epsilon=median, k_neighbors=10, metric=hamming, n_components=30, sibling_alpha=0.01",4,4,400,100,0.35,0.6024203432333544,0.5873263604020399,0.5838285448761904,0.8325,0.5775658726939491,0.5974224106913211,0.5873263604020399,0.707497097493207,0.821566910355667,0.8292559307673687,0.6395348837209303,0.0,0.0,102.5,0.3425,3.7899524530296294,1.332353473640873,0.17625,0.0,0.025513794365641787,4.865472680924568,9.332740198734768,,,,,,0.0,0.0,0.0,0.002217791974544525,0.005881374992895871,0.26301291602430865,0.10854532645316795,0.0014000422088429332,0.02411435090471059,0.05433737504063174,0.06811175000621006,0.0719771726289764,0.19879186002071947,0.017052798066288233,0.36116212501656264,0.07439200003864244,0.0006875839899294078,0.2574822919559665,0.026532582996878773,0.02716079098172486,ok,,400
2,overlap_unbal_4c_small,overlapping_binary_unbalanced,binary_template,binary,tbs_diffusion_adaptive_nnls,"bandwidth_type=-1/(d+2), branch_length_optimization_max_iterations=300, branch_length_optimization_method=fixed_topology_nnls, branch_length_optimization_pair_sample_size=50000, branch_length_optimization_random_state=0, branch_length_optimization_solver_tolerance=1e-05, branch_length_optimization_target_metric=squared_standardized_euclidean, diffusion_method=adaptive_pydiffmap_diffusion, diffusion_time=3, edge_alpha=0.001, edge_branch_length_variance_policy=normalized_branch_length, epsilon=median, k_neighbors=10, metric=hamming, n_components=30, sibling_alpha=0.01",4,4,400,100,0.35,0.6024203432333544,0.5873263604020399,0.5838285448761904,0.8325,0.5775658726939491,0.5974224106913211,0.5873263604020399,0.707497097493207,0.821566910355667,0.8292559307673687,0.6395348837209303,0.0,0.0,102.5,0.3425,3.7899524530296294,1.332353473640873,0.17625,0.0,0.025513794365641787,4.865472680924568,9.332740198734768,,,,,,0.0,0.0,0.0,0.002153750043362379,0.00585583399515599,0.21295758296037093,0.10690751584479585,0.001323166536167264,0.02370451798196882,0.004698999982792884,0.0686757080256939,0.09392979316180572,0.22289890731917694,0.019909534021280706,0.3636902499711141,0.0735790419857949,0.000672499998472631,0.2602787499781698,0.027191874978598207,0.027351625030860305,ok,,400
2,overlap_unbal_4c_small,overlapping_binary_unbalanced,binary_template,binary,tbs_diffusion_graphtools,"anisotropy=0.0, branch_length_optimization_method=linkage_ultrametric, decay=40, diffusion_method=graphtools_kernel_diffusion, diffusion_time=3, edge_alpha=0.001, k_neighbors=10, kernel_symm=+, metric=hamming, n_components=30, random_state=0, sibling_alpha=0.01",4,4,400,100,0.35,0.6590088044947379,0.61101433984031,0.6077806281736019,0.86,0.6116372044174515,0.6103927425686849,0.6110143398403101,0.7447843431268459,0.8634713989764896,0.8595715191459872,0.7830188679245284,0.0,0.0,97.0,0.2925,3.97875578763971,1.3809691542507978,0.055,0.0,0.028006096678279465,4.831153866407739,9.802778937640063,,,,,,0.0,0.0,0.0,0.002360583981499076,0.005880457989405841,0.21111345902318135,0.10721111402381212,0.0013713103835470974,0.024082773074042052,0.004599959007464349,0.06735912500880659,0.0848277117474936,0.18946591060375795,0.011116468289401382,0.3586646670009941,0.0741527919890359,0.0007535420008935034,0.25605237495619804,0.025424583989661187,0.02585716702742502,ok,,400
2,overlap_unbal_4c_small,overlapping_binary_unbalanced,binary_template,binary,tbs_diffusion_graphtools_nnls,"anisotropy=0.0, branch_length_optimization_max_iterations=300, branch_length_optimization_method=fixed_topology_nnls, branch_length_optimization_pair_sample_size=50000, branch_length_optimization_random_state=0, branch_length_optimization_solver_tolerance=1e-05, branch_length_optimization_target_metric=squared_standardized_euclidean, decay=40, diffusion_method=graphtools_kernel_diffusion, diffusion_time=3, edge_alpha=0.001, edge_branch_length_variance_policy=normalized_branch_length, k_neighbors=10, kernel_symm=+, metric=hamming, n_components=30, random_state=0, sibling_alpha=0.01",4,4,400,100,0.35,0.6590088044947379,0.61101433984031,0.6077806281736019,0.86,0.6116372044174515,0.6103927425686849,0.6110143398403101,0.7447843431268459,0.8634713989764896,0.8595715191459872,0.7830188679245284,0.0,0.0,97.0,0.2925,3.97875578763971,1.3809691542507978,0.055,0.0,0.028006096678279465,4.831153866407739,9.802778937640063,,,,,,0.0,0.0,0.0,0.0021739579970017076,0.00618516601389274,0.2112734999973327,0.10704024386359379,0.00136574637144804,0.023559197201393545,0.0048277079476974905,0.06672570900991559,0.08185337035683915,0.22789074544562027,0.011095209454651922,0.45770166703732684,0.07333308400120586,0.0006996249430812895,0.3564963340177201,0.02501166600268334,0.025474875001236796,ok,,400
2,overlap_unbal_4c_small,overlapping_binary_unbalanced,binary_template,binary,tbs_diffusion_graphtools_adaptive_nnls,"adaptive_neighbor_grid=(5, 10, 15, 25, 40, 80, 160), adaptive_neighbor_profile=fragmentation_guard, anisotropy=0.0, branch_length_optimization_max_iterations=300, branch_length_optimization_method=fixed_topology_nnls, branch_length_optimization_pair_sample_size=50000, branch_length_optimization_random_state=0, branch_length_optimization_solver_tolerance=1e-05, branch_length_optimization_target_metric=squared_standardized_euclidean, decay=40, diffusion_method=graphtools_kernel_diffusion, diffusion_time=3, edge_alpha=0.001, edge_branch_length_variance_policy=normalized_branch_length, k_neighbors=10, kernel_symm=+, metric=hamming, n_components=30, random_state=0, sibling_alpha=0.01",4,4,400,100,0.35,0.6590088044947379,0.61101433984031,0.6077806281736019,0.86,0.6116372044174515,0.6103927425686849,0.6110143398403101,0.7447843431268459,0.8634713989764896,0.8595715191459872,0.7830188679245284,0.0,0.0,97.0,0.2925,3.97875578763971,1.3809691542507978,0.055,0.0,0.028006096678279465,4.831153866407739,9.802778937640063,,,,,,0.0,0.0,0.0,0.002214666048530489,0.005977207969408482,0.2173029580153525,0.10828016872983426,0.0013898687320761383,0.024160430650226772,0.0049085000064224005,0.0705599170178175,0.05486205132910982,0.18074441590579227,0.09794567176140845,0.35339670797111467,0.07494075002614409,0.0008964170119725168,0.2503499999875203,0.02514162502484396,0.025354082987178117,ok,,400
