axis,axis_name,selection,go_term,go_id,column,support,prevalence,entropy_bits,loading,abs_loading,loading_sign,abs_rank
7,mode_07,top_negative,Transcriptional Regulation by RUNX1,,Transcriptional Regulation by RUNX1,54,0.36,0.9426831892554922,-0.07473567110295233,0.07473567110295233,negative,24
7,mode_07,top_absolute,SUMOylation of RNA Binding Proteins,,SUMOylation of RNA Binding Proteins,31,0.20666666666666667,0.7350626941249581,-0.15509548121360617,0.15509548121360617,negative,1
7,mode_07,top_absolute,SUMOylation of Chromatin Organization Proteins,,SUMOylation of Chromatin Organization Proteins,50,0.3333333333333333,0.9182958340544896,-0.12639298981176303,0.12639298981176303,negative,2
7,mode_07,top_absolute,SUMOylation of DNA Damage Response and Repair Proteins,,SUMOylation of DNA Damage Response and Repair Proteins,65,0.43333333333333335,0.9871377743721863,-0.11365371917731205,0.11365371917731205,negative,3
7,mode_07,top_absolute,"Cell Cycle, Mitotic",,"Cell Cycle, Mitotic",73,0.4866666666666667,0.9994869809508898,-0.1102263607065922,0.1102263607065922,negative,4
7,mode_07,top_absolute,SUMOylation of DNA Methylation Proteins,,SUMOylation of DNA Methylation Proteins,38,0.25333333333333335,0.8165187119538282,-0.10754848219658056,0.10754848219658056,negative,5
7,mode_07,top_absolute,mRNA Splicing - Minor Pathway,,mRNA Splicing - Minor Pathway,23,0.15333333333333332,0.6181194891000384,0.09946974056104647,0.09946974056104647,positive,6
7,mode_07,top_absolute,Cell Cycle,,Cell Cycle,78,0.52,0.9988455359952018,-0.09735527803035687,0.09735527803035687,negative,7
7,mode_07,top_absolute,M Phase,,M Phase,55,0.36666666666666664,0.9480782435939055,-0.0971756938221312,0.0971756938221312,negative,8
7,mode_07,top_absolute,Transcriptional Regulation by E2F6,,Transcriptional Regulation by E2F6,51,0.34,0.9248187049730301,-0.09190737304583535,0.09190737304583535,negative,9
7,mode_07,top_absolute,"Respiratory Syncytial Virus (RSV) Genome Replication, Transcription and Translation",,"Respiratory Syncytial Virus (RSV) Genome Replication, Transcription and Translation",20,0.13333333333333333,0.5665095065529053,-0.09181749223321732,0.09181749223321732,negative,10
7,mode_07,top_absolute,mRNA Splicing - Major Pathway,,mRNA Splicing - Major Pathway,30,0.2,0.7219280948873623,0.08753707689628595,0.08753707689628595,positive,12
7,mode_07,top_absolute,mRNA Splicing,,mRNA Splicing,30,0.2,0.7219280948873623,0.08753707689628595,0.08753707689628595,positive,11
7,mode_07,top_absolute,Cellular Senescence,,Cellular Senescence,49,0.32666666666666666,0.9114844096987045,-0.0873291185563213,0.0873291185563213,negative,13
7,mode_07,top_absolute,Mitotic Prometaphase,,Mitotic Prometaphase,50,0.3333333333333333,0.9182958340544896,-0.08531105954041696,0.08531105954041696,negative,14
7,mode_07,top_absolute,Oxidative Stress Induced Senescence,,Oxidative Stress Induced Senescence,40,0.26666666666666666,0.8366407419411672,-0.08458642461166217,0.08458642461166217,negative,15
7,mode_07,top_absolute,Maturation of hRSV A Proteins,,Maturation of hRSV A Proteins,18,0.12,0.5293608652873644,-0.08228063660253188,0.08228063660253188,negative,16
7,mode_07,top_absolute,WNT Mediated Activation of DVL,,WNT Mediated Activation of DVL,21,0.14,0.584238811642856,-0.08002315415401165,0.08002315415401165,negative,17
7,mode_07,top_absolute,Gene Expression (Transcription),,Gene Expression (Transcription),93,0.62,0.9580420222262995,-0.07868015071120402,0.07868015071120402,negative,18
7,mode_07,top_absolute,RNA Polymerase II Transcription Termination,,RNA Polymerase II Transcription Termination,18,0.12,0.5293608652873644,0.07762267560945227,0.07762267560945227,positive,19
7,mode_07,top_absolute,SUMOylation of Transcription Cofactors,,SUMOylation of Transcription Cofactors,50,0.3333333333333333,0.9182958340544896,-0.07714400595843605,0.07714400595843605,negative,20
8,mode_08,top_positive,Interferon Signaling,,Interferon Signaling,37,0.24666666666666667,0.805952041954632,0.10815335232015835,0.10815335232015835,positive,14
8,mode_08,top_positive,Cytokine Signaling in Immune System,,Cytokine Signaling in Immune System,48,0.32,0.9043814577244939,0.10742450991236707,0.10742450991236707,positive,15
8,mode_08,top_positive,Antiviral Mechanism by IFN-stimulated Genes,,Antiviral Mechanism by IFN-stimulated Genes,36,0.24,0.7950402793845223,0.10101308149713879,0.10101308149713879,positive,18
8,mode_08,top_positive,SUMOylation of DNA Replication Proteins,,SUMOylation of DNA Replication Proteins,16,0.10666666666666667,0.48977901368693755,0.08897604656584225,0.08897604656584225,positive,20
8,mode_08,top_positive,Host Interactions of HIV Factors,,Host Interactions of HIV Factors,17,0.11333333333333333,0.5098891423431209,0.08799756310237682,0.08799756310237682,positive,21
8,mode_08,top_positive,ISG15 Antiviral Mechanism,,ISG15 Antiviral Mechanism,18,0.12,0.5293608652873644,0.08726234914876606,0.08726234914876606,positive,22
8,mode_08,top_positive,NS1 Mediated Effects on Host Pathways,,NS1 Mediated Effects on Host Pathways,13,0.08666666666666667,0.42524461248637185,0.08706278392697087,0.08706278392697087,positive,23
8,mode_08,top_positive,tRNA Processing in the Nucleus,,tRNA Processing in the Nucleus,13,0.08666666666666667,0.42524461248637185,0.08696358403242979,0.08696358403242979,positive,24
8,mode_08,top_positive,SUMOylation of Ubiquitinylation Proteins,,SUMOylation of Ubiquitinylation Proteins,17,0.11333333333333333,0.5098891423431209,0.08562227724444077,0.08562227724444077,positive,25
8,mode_08,top_positive,Transport of Ribonucleoproteins Into the Host Nucleus,,Transport of Ribonucleoproteins Into the Host Nucleus,11,0.07333333333333333,0.37824164440536223,0.08432016144036736,0.08432016144036736,positive,27
8,mode_08,top_positive,Transport of Mature mRNA Derived From an Intronless Transcript,,Transport of Mature mRNA Derived From an Intronless Transcript,11,0.07333333333333333,0.37824164440536223,0.08273969545864754,0.08273969545864754,positive,30
8,mode_08,top_positive,Transport of Mature mRNAs Derived From Intronless Transcripts,,Transport of Mature mRNAs Derived From Intronless Transcripts,11,0.07333333333333333,0.37824164440536223,0.08273969545864754,0.08273969545864754,positive,29
8,mode_08,top_positive,Interactions of Vpr With Host Cellular Proteins,,Interactions of Vpr With Host Cellular Proteins,10,0.06666666666666667,0.35335933502142136,0.08261946503323207,0.08261946503323207,positive,31
