schema_version,policy_id,display_name,law_status,case_id,test_case,case_category,loss_bucket,true_clusters,trace_cells,split_cells,opened_nodes_total,max_cluster_count,median_cluster_count,min_largest_cluster_fraction,max_local_alpha,min_topology_stability_spend,min_rejected_p_value,replay_status
selected_node_adaptive_law_replay/v1,adaptive_topology_branch_spending_proxy,Adaptive topology/branch spending proxy,diagnostic_proxy,gauss_clear_medium_continuous,13,continuous_gaussian_examples,edge_gate_closed_global,4,0,0,0,1,1.0,1.0,,,,still_edge_blocked_or_no_replay_trace
selected_node_adaptive_law_replay/v1,adaptive_topology_branch_spending_proxy,Adaptive topology/branch spending proxy,diagnostic_proxy,gauss_moderate_3c_continuous,14,continuous_gaussian_examples,edge_gate_closed_global,3,0,0,0,1,1.0,1.0,,,,still_edge_blocked_or_no_replay_trace
selected_node_adaptive_law_replay/v1,adaptive_topology_branch_spending_proxy,Adaptive topology/branch spending proxy,diagnostic_proxy,cont_lowrank_pggn_shrinkage,117,method_proof,sibling_gate_closed_after_edge_open,4,7,0,0,1,1.0,1.0,0.003834165669095904,0.0958541417273976,,no_split_under_policy
selected_node_adaptive_law_replay/v1,adaptive_topology_branch_spending_proxy,Adaptive topology/branch spending proxy,diagnostic_proxy,overlap_heavy_8c_large_feat,88,overlapping_binary_heavy,sibling_gate_closed_after_edge_open,8,7,0,0,1,1.0,1.0,0.01706422994280836,0.035550479047517416,,no_split_under_policy
selected_node_adaptive_law_replay/v1,adaptive_topology_branch_spending_proxy,Adaptive topology/branch spending proxy,diagnostic_proxy,sbm_moderate,60,sbm_graphs,sibling_gate_closed_after_edge_open,3,8,0,0,1,1.0,1.0,0.04316756326903934,0.11990989796955373,,no_split_under_policy
selected_node_adaptive_law_replay/v1,adaptive_topology_branch_spending_proxy,Adaptive topology/branch spending proxy,diagnostic_proxy,overlap_extreme_4c,89,overlapping_binary_heavy,sibling_gate_closed_after_edge_open,4,8,0,0,1,1.0,1.0,0.05775757195937247,0.07219696494921558,,no_split_under_policy
selected_node_adaptive_law_replay/v1,adaptive_topology_branch_spending_proxy,Adaptive topology/branch spending proxy,diagnostic_proxy,sbm_hard,61,sbm_graphs,sibling_gate_closed_after_edge_open,3,8,0,0,1,1.0,1.0,0.02680419558851908,0.11168414828549617,,no_split_under_policy
selected_node_adaptive_law_replay/v1,adaptive_no_stability_ablation,Adaptive no-stability ablation,diagnostic_ablation,dim_diffuse_6c_136f_continuous,25,continuous_dimensional_gaussian_examples,edge_gate_closed_global,6,0,0,0,1,1.0,1.0,,,,still_edge_blocked_or_no_replay_trace
selected_node_adaptive_law_replay/v1,adaptive_no_stability_ablation,Adaptive no-stability ablation,diagnostic_ablation,gauss_outlier_cluster_4c_continuous,30,continuous_gaussian_outlier_examples,edge_gate_closed_global,5,0,0,0,1,1.0,1.0,,,,still_edge_blocked_or_no_replay_trace
selected_node_adaptive_law_replay/v1,adaptive_no_stability_ablation,Adaptive no-stability ablation,diagnostic_ablation,gauss_single_outlier_4c_continuous,29,continuous_gaussian_outlier_examples,edge_gate_closed_global,5,0,0,0,1,1.0,1.0,,,,still_edge_blocked_or_no_replay_trace
selected_node_adaptive_law_replay/v1,adaptive_no_stability_ablation,Adaptive no-stability ablation,diagnostic_ablation,dim_consolidated_4c_72f_continuous,24,continuous_dimensional_gaussian_examples,edge_gate_closed_global,4,0,0,0,1,1.0,1.0,,,,still_edge_blocked_or_no_replay_trace
selected_node_adaptive_law_replay/v1,adaptive_no_stability_ablation,Adaptive no-stability ablation,diagnostic_ablation,dim_consolidated_4c_24f_continuous,23,continuous_dimensional_gaussian_examples,edge_gate_closed_global,4,0,0,0,1,1.0,1.0,,,,still_edge_blocked_or_no_replay_trace
selected_node_adaptive_law_replay/v1,adaptive_no_stability_ablation,Adaptive no-stability ablation,diagnostic_ablation,phylo_brownian_null_16taxa,119,method_proof,edge_gate_closed_global,16,0,0,0,1,1.0,1.0,,,,still_edge_blocked_or_no_replay_trace
selected_node_adaptive_law_replay/v1,adaptive_no_stability_ablation,Adaptive no-stability ablation,diagnostic_ablation,mp_spike_above_bbp_continuous,114,method_proof,edge_gate_closed_global,2,0,0,0,1,1.0,1.0,,,,still_edge_blocked_or_no_replay_trace
selected_node_adaptive_law_replay/v1,adaptive_no_stability_ablation,Adaptive no-stability ablation,diagnostic_ablation,gauss_clear_medium_continuous,13,continuous_gaussian_examples,edge_gate_closed_global,4,0,0,0,1,1.0,1.0,,,,still_edge_blocked_or_no_replay_trace
selected_node_adaptive_law_replay/v1,adaptive_no_stability_ablation,Adaptive no-stability ablation,diagnostic_ablation,gauss_moderate_3c_continuous,14,continuous_gaussian_examples,edge_gate_closed_global,3,0,0,0,1,1.0,1.0,,,,still_edge_blocked_or_no_replay_trace
selected_node_adaptive_law_replay/v1,adaptive_no_stability_ablation,Adaptive no-stability ablation,diagnostic_ablation,cont_lowrank_pggn_shrinkage,117,method_proof,sibling_gate_closed_after_edge_open,4,7,0,0,1,1.0,1.0,0.04,1.0,,no_split_under_policy
selected_node_adaptive_law_replay/v1,adaptive_no_stability_ablation,Adaptive no-stability ablation,diagnostic_ablation,overlap_heavy_8c_large_feat,88,overlapping_binary_heavy,sibling_gate_closed_after_edge_open,8,7,0,0,1,1.0,1.0,0.2,1.0,,no_split_under_policy
selected_node_adaptive_law_replay/v1,adaptive_no_stability_ablation,Adaptive no-stability ablation,diagnostic_ablation,sbm_moderate,60,sbm_graphs,sibling_gate_closed_after_edge_open,3,8,3,4,3,1.0,0.8333333333333334,0.2,1.0,0.0221596594655376,candidate_split_found
selected_node_adaptive_law_replay/v1,adaptive_no_stability_ablation,Adaptive no-stability ablation,diagnostic_ablation,overlap_extreme_4c,89,overlapping_binary_heavy,sibling_gate_closed_after_edge_open,4,8,0,0,1,1.0,1.0,0.2,1.0,,no_split_under_policy
selected_node_adaptive_law_replay/v1,adaptive_no_stability_ablation,Adaptive no-stability ablation,diagnostic_ablation,sbm_hard,61,sbm_graphs,sibling_gate_closed_after_edge_open,3,8,0,0,1,1.0,1.0,0.2,1.0,,no_split_under_policy
