schema_version,policy_id,display_name,law_status,case_id,test_case,tree_inference,run_id,trace_nodes,tested_nodes,opened_nodes,has_split,min_rejected_p_value,max_local_alpha,min_topology_stability_spend,cluster_count,largest_cluster_fraction,cluster_sizes
selected_node_adaptive_law_replay/v1,adaptive_topology_branch_spending_proxy,Adaptive topology/branch spending proxy,diagnostic_proxy,overlap_heavy_8c_large_feat,88,weighted,graphtools_adaptive_k_tree_strategy__tree_linkage_method_weighted__r0,1543,1,0,False,,0.01706422994280836,0.035550479047517416,1,1.0,800
selected_node_adaptive_law_replay/v1,adaptive_topology_branch_spending_proxy,Adaptive topology/branch spending proxy,diagnostic_proxy,overlap_heavy_8c_large_feat,88,single,graphtools_adaptive_k_tree_strategy__tree_linkage_method_single__r0,7,1,0,False,,0.0007110095809503483,0.035550479047517416,1,1.0,800
selected_node_adaptive_law_replay/v1,adaptive_topology_branch_spending_proxy,Adaptive topology/branch spending proxy,diagnostic_proxy,overlap_heavy_8c_large_feat,88,centroid,graphtools_adaptive_k_tree_strategy__tree_linkage_method_centroid__r0,1,1,0,False,,0.00035550479047517417,0.035550479047517416,1,1.0,800
selected_node_adaptive_law_replay/v1,adaptive_topology_branch_spending_proxy,Adaptive topology/branch spending proxy,diagnostic_proxy,overlap_heavy_8c_large_feat,88,median,graphtools_adaptive_k_tree_strategy__tree_linkage_method_median__r0,1,1,0,False,,0.00035550479047517417,0.035550479047517416,1,1.0,800
selected_node_adaptive_law_replay/v1,adaptive_topology_branch_spending_proxy,Adaptive topology/branch spending proxy,diagnostic_proxy,overlap_heavy_8c_large_feat,88,neighbor_joining,graphtools_adaptive_k_tree_strategy__tree_builder_neighbor_joining__r0,1517,1,0,False,,0.01706422994280836,0.035550479047517416,1,1.0,800
selected_node_adaptive_law_replay/v1,adaptive_topology_branch_spending_proxy,Adaptive topology/branch spending proxy,diagnostic_proxy,overlap_extreme_4c,89,average,graphtools_adaptive_k_tree_strategy__tree_linkage_method_average__r0,1,1,0,False,,0.00866363579390587,0.07219696494921558,1,1.0,600
selected_node_adaptive_law_replay/v1,adaptive_topology_branch_spending_proxy,Adaptive topology/branch spending proxy,diagnostic_proxy,overlap_extreme_4c,89,complete,graphtools_adaptive_k_tree_strategy__tree_linkage_method_complete__r0,11,1,0,False,,0.01732727158781174,0.07219696494921558,1,1.0,600
selected_node_adaptive_law_replay/v1,adaptive_topology_branch_spending_proxy,Adaptive topology/branch spending proxy,diagnostic_proxy,overlap_extreme_4c,89,weighted,graphtools_adaptive_k_tree_strategy__tree_linkage_method_weighted__r0,1,1,0,False,,0.00866363579390587,0.07219696494921558,1,1.0,600
selected_node_adaptive_law_replay/v1,adaptive_topology_branch_spending_proxy,Adaptive topology/branch spending proxy,diagnostic_proxy,overlap_extreme_4c,89,single,graphtools_adaptive_k_tree_strategy__tree_linkage_method_single__r0,1,1,0,False,,0.0007219696494921558,0.07219696494921558,1,1.0,600
selected_node_adaptive_law_replay/v1,adaptive_topology_branch_spending_proxy,Adaptive topology/branch spending proxy,diagnostic_proxy,overlap_extreme_4c,89,centroid,graphtools_adaptive_k_tree_strategy__tree_linkage_method_centroid__r0,1,1,0,False,,0.005775757195937247,0.07219696494921558,1,1.0,600
