axis,axis_name,go_term,go_id,column,support,prevalence,entropy_bits,loading,abs_loading,loading_sign,abs_rank
8,mode_08,Defective RIPK1-mediated Regulated Necrosis,,Defective RIPK1-mediated Regulated Necrosis,1,0.006666666666666667,0.05777796017013378,0.0010961314810245984,0.0010961314810245984,positive,1396
8,mode_08,Loss of Function of MECP2 in Rett Syndrome,,Loss of Function of MECP2 in Rett Syndrome,29,0.19333333333333333,0.708392686703044,-0.019636374887851065,0.019636374887851065,negative,302
8,mode_08,MET Activates PTK2 Signaling,,MET Activates PTK2 Signaling,5,0.03333333333333333,0.21084230031853213,0.001334488652082099,0.001334488652082099,positive,1332
8,mode_08,TNFR2 Non-Canonical NF-kB Pathway,,TNFR2 Non-Canonical NF-kB Pathway,4,0.02666666666666667,0.17738945318599736,0.0013369651229564914,0.0013369651229564914,positive,1331
8,mode_08,Methylation,,Methylation,2,0.013333333333333334,0.10215803640865039,0.007885426420248177,0.007885426420248177,positive,647
8,mode_08,RAC3 GTPase Cycle,,RAC3 GTPase Cycle,12,0.08,0.4021791902022728,0.001312877751747635,0.001312877751747635,positive,1338
8,mode_08,InlB-mediated Entry of Listeria Monocytogenes Into Host Cell,,InlB-mediated Entry of Listeria Monocytogenes Into Host Cell,15,0.1,0.4689955935892812,0.001108716026756138,0.001108716026756138,positive,1391
8,mode_08,Recycling of eIF2 GDP,,Recycling of eIF2 GDP,2,0.013333333333333334,0.10215803640865039,0.004835199515351195,0.004835199515351195,positive,855
8,mode_08,Conversion From APC C Cdc20 to APC C Cdh1 in Late Anaphase,,Conversion From APC C Cdc20 to APC C Cdh1 in Late Anaphase,9,0.06,0.32744491915447627,-0.035798979284268145,0.035798979284268145,negative,139
8,mode_08,Costimulation by the CD28 Family,,Costimulation by the CD28 Family,26,0.17333333333333334,0.6652735227649414,0.0016574199365056521,0.0016574199365056521,positive,1277
8,mode_08,VEGF Binds to VEGFR Leading to Receptor Dimerization,,VEGF Binds to VEGFR Leading to Receptor Dimerization,3,0.02,0.14144054254182067,0.00040861795598804427,0.00040861795598804427,positive,1589
8,mode_08,IRS-related Events Triggered by IGF1R,,IRS-related Events Triggered by IGF1R,21,0.14,0.584238811642856,-0.004744546469051209,0.004744546469051209,negative,874
8,mode_08,Metabolism of Non-Coding RNA,,Metabolism of Non-Coding RNA,17,0.11333333333333333,0.5098891423431209,0.010406432337897991,0.010406432337897991,positive,548
8,mode_08,Signaling by Moderate Kinase Activity BRAF Mutants,,Signaling by Moderate Kinase Activity BRAF Mutants,16,0.10666666666666667,0.48977901368693755,-0.018758377296074602,0.018758377296074602,negative,324
8,mode_08,APC C-mediated Degradation of Cell Cycle Proteins,,APC C-mediated Degradation of Cell Cycle Proteins,19,0.12666666666666668,0.5482251174503202,-0.023050433683825405,0.023050433683825405,negative,241
8,mode_08,Interleukin-2 Signaling,,Interleukin-2 Signaling,12,0.08,0.4021791902022728,0.0008760789290041107,0.0008760789290041107,positive,1448
8,mode_08,UCH Proteinases,,UCH Proteinases,7,0.04666666666666667,0.2720647864044614,-0.0026945884299381865,0.0026945884299381865,negative,1132
8,mode_08,Inhib of Proteolytic Activity of APC C Required for Onset of Anaphase by Mitotic Spindle Checkpoint,,Inhib of Proteolytic Activity of APC C Required for Onset of Anaphase by Mitotic Spindle Checkpoint,7,0.04666666666666667,0.2720647864044614,-0.026947614410642785,0.026947614410642785,negative,203
8,mode_08,Signaling by PDGFR in Disease,,Signaling by PDGFR in Disease,19,0.12666666666666668,0.5482251174503202,-0.0038643500173290504,0.0038643500173290504,negative,985
8,mode_08,Interleukin-15 Signaling,,Interleukin-15 Signaling,13,0.08666666666666667,0.42524461248637185,0.00047043011004574734,0.00047043011004574734,positive,1576
8,mode_08,Platelet Aggregation (Plug Formation),,Platelet Aggregation (Plug Formation),16,0.10666666666666667,0.48977901368693755,0.0007959424688184915,0.0007959424688184915,positive,1473
8,mode_08,mRNA Decay by 5' to 3' Exoribonuclease,,mRNA Decay by 5' to 3' Exoribonuclease,2,0.013333333333333334,0.10215803640865039,0.008685283863093092,0.008685283863093092,positive,617
8,mode_08,Allograft Rejection,,Allograft Rejection,19,0.12666666666666668,0.5482251174503202,0.02975153245098395,0.02975153245098395,positive,177
8,mode_08,TFAP2 (AP-2) Family Regulates Transcription of Growth Factors and Their Receptors,,TFAP2 (AP-2) Family Regulates Transcription of Growth Factors and Their Receptors,18,0.12,0.5293608652873644,0.004253839584844851,0.004253839584844851,positive,921
8,mode_08,Processing of Capped Intron-Containing Pre-mRNA,,Processing of Capped Intron-Containing Pre-mRNA,38,0.25333333333333335,0.8165187119538282,-0.02922273533032568,0.02922273533032568,negative,183
8,mode_08,Formation of the Early Elongation Complex,,Formation of the Early Elongation Complex,6,0.04,0.24229218908241482,0.0018043852434989442,0.0018043852434989442,positive,1257
8,mode_08,Interaction Between L1 and Ankyrins,,Interaction Between L1 and Ankyrins,4,0.02666666666666667,0.17738945318599736,-0.017969654837127563,0.017969654837127563,negative,342
8,mode_08,Pre-NOTCH Transcription and Translation,,Pre-NOTCH Transcription and Translation,27,0.18,0.6800770457282798,0.007845573796538283,0.007845573796538283,positive,648
8,mode_08,Biological Oxidations,,Biological Oxidations,2,0.013333333333333334,0.10215803640865039,-0.0017291339007696018,0.0017291339007696018,negative,1265
8,mode_08,Interleukin-20 Family Signaling,,Interleukin-20 Family Signaling,8,0.05333333333333334,0.30039141736478187,0.003363253360970623,0.003363253360970623,positive,1037
8,mode_08,Translation,,Translation,7,0.04666666666666667,0.2720647864044614,-0.006339141589608229,0.006339141589608229,negative,734
8,mode_08,Non-integrin membrane-ECM Interactions,,Non-integrin membrane-ECM Interactions,1,0.006666666666666667,0.05777796017013378,-0.002545503765522178,0.002545503765522178,negative,1158
8,mode_08,MAPK Family Signaling Cascades,,MAPK Family Signaling Cascades,28,0.18666666666666668,0.6944460704939805,-0.009808945511583114,0.009808945511583114,negative,569
8,mode_08,Interleukin-21 Signaling,,Interleukin-21 Signaling,10,0.06666666666666667,0.35335933502142136,0.0021000314162653655,0.0021000314162653655,positive,1213
8,mode_08,TGF-beta Receptor Signaling in EMT (Epithelial to Mesenchymal Transition),,TGF-beta Receptor Signaling in EMT (Epithelial to Mesenchymal Transition),3,0.02,0.14144054254182067,-0.0005616842550968916,0.0005616842550968916,negative,1560
8,mode_08,RUNX1 Regulates Transcription of Genes Involved in WNT Signaling,,RUNX1 Regulates Transcription of Genes Involved in WNT Signaling,4,0.02666666666666667,0.17738945318599736,0.0022976134176489436,0.0022976134176489436,positive,1187
8,mode_08,Downregulation of TGF-beta Receptor Signaling,,Downregulation of TGF-beta Receptor Signaling,6,0.04,0.24229218908241482,0.026858759162474818,0.026858759162474818,positive,205
8,mode_08,Organelle Biogenesis and Maintenance,,Organelle Biogenesis and Maintenance,25,0.16666666666666666,0.6500224216483541,-0.191344883726426,0.191344883726426,negative,1
8,mode_08,NFE2L2 Regulating Inflammation Associated Genes,,NFE2L2 Regulating Inflammation Associated Genes,15,0.1,0.4689955935892812,0.01877620922560762,0.01877620922560762,positive,320
8,mode_08,Formation of TC-NER Pre-Incision Complex,,Formation of TC-NER Pre-Incision Complex,10,0.06666666666666667,0.35335933502142136,-0.013930113039068912,0.013930113039068912,negative,425
