left,right,distance,count
43.0,73.0,0.00033264198364654535,2.0
0.0,55.0,0.001512482826472637,2.0
128.0,145.0,0.0019535040292113985,2.0
26.0,150.0,0.0022905903517917298,3.0
138.0,148.0,0.0023750951921833988,2.0
1.0,9.0,0.0024035625872633574,2.0
27.0,76.0,0.003632714767208987,2.0
152.0,154.0,0.003776506641968165,4.0
84.0,151.0,0.003925108008830263,3.0
47.0,153.0,0.0046219670988227645,4.0
123.0,125.0,0.004897305558919114,2.0
2.0,38.0,0.005181970610501017,2.0
40.0,132.0,0.005612580500794307,2.0
72.0,155.0,0.005709975792466166,3.0
18.0,158.0,0.006180961012175575,4.0
44.0,53.0,0.0062468355968768674,2.0
97.0,156.0,0.006770327974824571,3.0
110.0,136.0,0.007255148184254472,2.0
65.0,159.0,0.007597164905535733,5.0
8.0,59.0,0.008315689289886592,2.0
146.0,149.0,0.008371279621695652,2.0
108.0,162.0,0.008372686001506337,3.0
86.0,160.0,0.008583949331512623,3.0
69.0,70.0,0.008875900343203371,2.0
20.0,41.0,0.009096713853969927,2.0
141.0,163.0,0.009565681597389415,4.0
28.0,91.0,0.00982688576612885,2.0
58.0,66.0,0.0101737317547176,2.0
139.0,157.0,0.011072251577178779,5.0
29.0,32.0,0.011225727191015701,2.0
6.0,173.0,0.01185007657172243,3.0
37.0,42.0,0.011869762564132452,2.0
118.0,121.0,0.012355884152347459,2.0
164.0,165.0,0.013480768623443107,6.0
63.0,131.0,0.013526285265018563,2.0
30.0,122.0,0.013677781093982821,2.0
4.0,90.0,0.013773670716587886,2.0
129.0,135.0,0.013870812544792357,2.0
82.0,98.0,0.01399466971365736,2.0
172.0,175.0,0.014468718446530327,7.0
13.0,115.0,0.014801435314926456,2.0
16.0,46.0,0.015475650648731666,2.0
87.0,107.0,0.01625954357102501,2.0
140.0,171.0,0.016320768059502517,4.0
48.0,116.0,0.016386710242504075,2.0
166.0,169.0,0.016641455905792406,5.0
174.0,190.0,0.016766361255112903,4.0
105.0,167.0,0.016897022813864314,3.0
109.0,114.0,0.01690537970525992,2.0
15.0,180.0,0.01712035528604174,4.0
71.0,85.0,0.017398870991668675,2.0
57.0,188.0,0.017776563542458493,3.0
77.0,179.0,0.018176035629565962,3.0
78.0,99.0,0.018382360102945354,2.0
120.0,194.0,0.01871469519703152,3.0
10.0,119.0,0.018740276095616976,2.0
19.0,34.0,0.018907816083630524,2.0
52.0,182.0,0.018980201014816803,3.0
94.0,137.0,0.019582030186896828,2.0
50.0,51.0,0.02050736374710524,2.0
80.0,161.0,0.020522160683510295,3.0
24.0,191.0,0.0206056623448821,3.0
103.0,198.0,0.020972489857992577,3.0
126.0,202.0,0.020980052598750146,4.0
124.0,186.0,0.021763167838814663,3.0
168.0,185.0,0.022062715444586864,7.0
64.0,75.0,0.022277673364916033,2.0
79.0,196.0,0.023145598576880103,5.0
184.0,187.0,0.023822271031542726,4.0
96.0,200.0,0.02394941263719343,3.0
170.0,204.0,0.02440980271801554,5.0
176.0,195.0,0.025110569738965156,7.0
127.0,212.0,0.025220564237698074,4.0
142.0,178.0,0.025245617435833163,6.0
3.0,197.0,0.025790075015093856,4.0
88.0,183.0,0.025945801279372998,7.0
17.0,62.0,0.025992689697317658,2.0
39.0,213.0,0.026021658072463337,5.0
45.0,147.0,0.02659311244753006,2.0
54.0,211.0,0.026768953610881357,4.0
33.0,203.0,0.027586236301785083,3.0
189.0,207.0,0.028033686507191017,10.0
143.0,219.0,0.028633635370307876,4.0
206.0,227.0,0.029502275897696002,7.0
89.0,205.0,0.029810169748068896,3.0
60.0,181.0,0.02982645760117396,3.0
12.0,201.0,0.03091724582031663,4.0
31.0,117.0,0.031124565274800675,2.0
7.0,144.0,0.03129160789305329,2.0
92.0,232.0,0.03178777328790029,5.0
214.0,226.0,0.032215025271057955,5.0
112.0,228.0,0.03241321818051883,3.0
101.0,234.0,0.03365308363616292,4.0
