run_id,iteration,weighting,block_name,assignment_source,n_tested_clusters,null_strong_fraction,null_enriched_fraction,null_median_significant_terms
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_11_21,11,tfidf,adaptive_modes_11_21,accepted_tbs,5,0.4,0.8,4.0
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_11_21,12,tfidf,adaptive_modes_11_21,accepted_tbs,5,0.6,0.8,9.0
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_11_21,13,tfidf,adaptive_modes_11_21,accepted_tbs,5,0.4,0.8,4.0
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_11_21,14,tfidf,adaptive_modes_11_21,accepted_tbs,5,0.4,0.6,3.0
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_11_21,15,tfidf,adaptive_modes_11_21,accepted_tbs,5,0.8,0.8,7.0
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_11_21,16,tfidf,adaptive_modes_11_21,accepted_tbs,5,0.2,0.8,1.0
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_11_21,17,tfidf,adaptive_modes_11_21,accepted_tbs,5,0.0,0.8,1.0
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_11_21,18,tfidf,adaptive_modes_11_21,accepted_tbs,5,0.4,0.8,4.0
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_11_21,19,tfidf,adaptive_modes_11_21,accepted_tbs,5,0.6,0.8,8.0
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_11_21,20,tfidf,adaptive_modes_11_21,accepted_tbs,5,0.4,1.0,13.0
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_11_21,21,tfidf,adaptive_modes_11_21,accepted_tbs,5,0.2,1.0,1.0
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_11_21,22,tfidf,adaptive_modes_11_21,accepted_tbs,5,0.2,1.0,8.0
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_11_21,23,tfidf,adaptive_modes_11_21,accepted_tbs,5,0.2,0.8,2.0
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_11_21,24,tfidf,adaptive_modes_11_21,accepted_tbs,5,0.4,0.6,2.0
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_11_21,25,tfidf,adaptive_modes_11_21,accepted_tbs,5,0.2,0.8,3.0
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_11_21,26,tfidf,adaptive_modes_11_21,accepted_tbs,5,0.0,0.8,3.0
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_11_21,27,tfidf,adaptive_modes_11_21,accepted_tbs,5,0.6,0.8,2.0
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_11_21,28,tfidf,adaptive_modes_11_21,accepted_tbs,5,0.2,0.4,0.0
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_11_21,29,tfidf,adaptive_modes_11_21,accepted_tbs,5,0.4,0.6,2.0
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_06_10,0,tfidf,adaptive_modes_06_10,accepted_tbs,27,0.2962962962962963,0.8888888888888888,7.0
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_06_10,1,tfidf,adaptive_modes_06_10,accepted_tbs,27,0.25925925925925924,0.8148148148148148,3.0
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_06_10,2,tfidf,adaptive_modes_06_10,accepted_tbs,27,0.2222222222222222,0.8518518518518519,6.0
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_06_10,3,tfidf,adaptive_modes_06_10,accepted_tbs,27,0.2222222222222222,0.8888888888888888,7.0
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_06_10,4,tfidf,adaptive_modes_06_10,accepted_tbs,27,0.18518518518518517,0.8888888888888888,5.0
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_06_10,5,tfidf,adaptive_modes_06_10,accepted_tbs,27,0.18518518518518517,0.9629629629629629,6.0
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_06_10,6,tfidf,adaptive_modes_06_10,accepted_tbs,27,0.18518518518518517,0.8518518518518519,8.0
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_06_10,7,tfidf,adaptive_modes_06_10,accepted_tbs,27,0.25925925925925924,0.7777777777777778,10.0
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_06_10,8,tfidf,adaptive_modes_06_10,accepted_tbs,27,0.37037037037037035,0.8518518518518519,11.0
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_06_10,9,tfidf,adaptive_modes_06_10,accepted_tbs,27,0.25925925925925924,0.9629629629629629,7.0
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_06_10,10,tfidf,adaptive_modes_06_10,accepted_tbs,27,0.2222222222222222,0.9629629629629629,4.0
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_06_10,11,tfidf,adaptive_modes_06_10,accepted_tbs,27,0.25925925925925924,0.9259259259259259,5.0
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_06_10,12,tfidf,adaptive_modes_06_10,accepted_tbs,27,0.3333333333333333,0.9259259259259259,8.0
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_06_10,13,tfidf,adaptive_modes_06_10,accepted_tbs,27,0.25925925925925924,0.8518518518518519,5.0
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_06_10,14,tfidf,adaptive_modes_06_10,accepted_tbs,27,0.25925925925925924,0.8148148148148148,3.0
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_06_10,15,tfidf,adaptive_modes_06_10,accepted_tbs,27,0.2962962962962963,0.8888888888888888,4.0
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_06_10,16,tfidf,adaptive_modes_06_10,accepted_tbs,27,0.18518518518518517,0.8888888888888888,6.0
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_06_10,17,tfidf,adaptive_modes_06_10,accepted_tbs,27,0.25925925925925924,0.8888888888888888,8.0
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_06_10,18,tfidf,adaptive_modes_06_10,accepted_tbs,27,0.2222222222222222,0.8148148148148148,5.0
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_06_10,19,tfidf,adaptive_modes_06_10,accepted_tbs,27,0.18518518518518517,0.8888888888888888,3.0
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_06_10,20,tfidf,adaptive_modes_06_10,accepted_tbs,27,0.1111111111111111,0.9629629629629629,9.0
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_06_10,21,tfidf,adaptive_modes_06_10,accepted_tbs,27,0.2962962962962963,0.8148148148148148,4.0
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_06_10,22,tfidf,adaptive_modes_06_10,accepted_tbs,27,0.2962962962962963,0.9629629629629629,9.0
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_06_10,23,tfidf,adaptive_modes_06_10,accepted_tbs,27,0.2962962962962963,0.9259259259259259,12.0
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_06_10,24,tfidf,adaptive_modes_06_10,accepted_tbs,27,0.2962962962962963,0.9629629629629629,12.0
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_06_10,25,tfidf,adaptive_modes_06_10,accepted_tbs,27,0.2962962962962963,0.8888888888888888,5.0
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_06_10,26,tfidf,adaptive_modes_06_10,accepted_tbs,27,0.37037037037037035,0.9259259259259259,5.0
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_06_10,27,tfidf,adaptive_modes_06_10,accepted_tbs,27,0.18518518518518517,0.9259259259259259,7.0
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_06_10,28,tfidf,adaptive_modes_06_10,accepted_tbs,27,0.2962962962962963,0.8518518518518519,5.0
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_06_10,29,tfidf,adaptive_modes_06_10,accepted_tbs,27,0.18518518518518517,0.9259259259259259,7.0
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_52_80,0,binary,adaptive_modes_52_80,accepted_tbs,11,0.36363636363636365,0.8181818181818182,5.0
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_52_80,1,binary,adaptive_modes_52_80,accepted_tbs,11,0.09090909090909091,0.8181818181818182,6.0
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_52_80,2,binary,adaptive_modes_52_80,accepted_tbs,11,0.36363636363636365,0.9090909090909091,4.0
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_52_80,3,binary,adaptive_modes_52_80,accepted_tbs,11,0.45454545454545453,0.8181818181818182,11.0
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_52_80,4,binary,adaptive_modes_52_80,accepted_tbs,11,0.2727272727272727,0.9090909090909091,5.0
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_52_80,5,binary,adaptive_modes_52_80,accepted_tbs,11,0.2727272727272727,1.0,10.0
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_52_80,6,binary,adaptive_modes_52_80,accepted_tbs,11,0.36363636363636365,1.0,4.0
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_52_80,7,binary,adaptive_modes_52_80,accepted_tbs,11,0.5454545454545454,1.0,10.0
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_52_80,8,binary,adaptive_modes_52_80,accepted_tbs,11,0.36363636363636365,0.9090909090909091,8.0
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_52_80,9,binary,adaptive_modes_52_80,accepted_tbs,11,0.45454545454545453,1.0,10.0
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_52_80,10,binary,adaptive_modes_52_80,accepted_tbs,11,0.2727272727272727,0.9090909090909091,7.0
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_52_80,11,binary,adaptive_modes_52_80,accepted_tbs,11,0.5454545454545454,1.0,4.0
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_52_80,12,binary,adaptive_modes_52_80,accepted_tbs,11,0.2727272727272727,0.8181818181818182,7.0
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_52_80,13,binary,adaptive_modes_52_80,accepted_tbs,11,0.45454545454545453,0.9090909090909091,14.0
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_52_80,14,binary,adaptive_modes_52_80,accepted_tbs,11,0.2727272727272727,0.8181818181818182,2.0
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_52_80,15,binary,adaptive_modes_52_80,accepted_tbs,11,0.2727272727272727,0.9090909090909091,6.0
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_52_80,16,binary,adaptive_modes_52_80,accepted_tbs,11,0.09090909090909091,1.0,4.0
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_52_80,17,binary,adaptive_modes_52_80,accepted_tbs,11,0.36363636363636365,1.0,7.0
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_52_80,18,binary,adaptive_modes_52_80,accepted_tbs,11,0.36363636363636365,1.0,9.0
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_52_80,19,binary,adaptive_modes_52_80,accepted_tbs,11,0.5454545454545454,0.9090909090909091,7.0
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_52_80,20,binary,adaptive_modes_52_80,accepted_tbs,11,0.36363636363636365,0.9090909090909091,18.0
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_52_80,21,binary,adaptive_modes_52_80,accepted_tbs,11,0.18181818181818182,0.9090909090909091,10.0
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_52_80,22,binary,adaptive_modes_52_80,accepted_tbs,11,0.45454545454545453,0.9090909090909091,12.0
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_52_80,23,binary,adaptive_modes_52_80,accepted_tbs,11,0.36363636363636365,0.8181818181818182,4.0
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_52_80,24,binary,adaptive_modes_52_80,accepted_tbs,11,0.45454545454545453,0.9090909090909091,6.0
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_52_80,25,binary,adaptive_modes_52_80,accepted_tbs,11,0.5454545454545454,1.0,8.0
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_52_80,26,binary,adaptive_modes_52_80,accepted_tbs,11,0.36363636363636365,1.0,9.0
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_52_80,27,binary,adaptive_modes_52_80,accepted_tbs,11,0.36363636363636365,1.0,4.0
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_52_80,28,binary,adaptive_modes_52_80,accepted_tbs,11,0.09090909090909091,1.0,4.0
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_52_80,29,binary,adaptive_modes_52_80,accepted_tbs,11,0.2727272727272727,1.0,4.0
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_63_80,0,tfidf,adaptive_modes_63_80,accepted_tbs,30,0.16666666666666666,0.8666666666666667,6.0
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_63_80,1,tfidf,adaptive_modes_63_80,accepted_tbs,30,0.13333333333333333,0.8333333333333334,5.0
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_63_80,2,tfidf,adaptive_modes_63_80,accepted_tbs,30,0.26666666666666666,0.8666666666666667,7.0
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_63_80,3,tfidf,adaptive_modes_63_80,accepted_tbs,30,0.06666666666666667,0.8666666666666667,4.0
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_63_80,4,tfidf,adaptive_modes_63_80,accepted_tbs,30,0.1,0.9333333333333333,6.0
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_63_80,5,tfidf,adaptive_modes_63_80,accepted_tbs,30,0.26666666666666666,0.8666666666666667,4.5
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_63_80,6,tfidf,adaptive_modes_63_80,accepted_tbs,30,0.26666666666666666,0.9,5.5
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_63_80,7,tfidf,adaptive_modes_63_80,accepted_tbs,30,0.1,0.9,7.0
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_63_80,8,tfidf,adaptive_modes_63_80,accepted_tbs,30,0.1,0.8,4.0
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_63_80,9,tfidf,adaptive_modes_63_80,accepted_tbs,30,0.16666666666666666,0.8,4.5
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_63_80,10,tfidf,adaptive_modes_63_80,accepted_tbs,30,0.26666666666666666,0.8666666666666667,6.0
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_63_80,11,tfidf,adaptive_modes_63_80,accepted_tbs,30,0.23333333333333334,0.9666666666666667,6.0
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_63_80,12,tfidf,adaptive_modes_63_80,accepted_tbs,30,0.26666666666666666,0.9333333333333333,8.0
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_63_80,13,tfidf,adaptive_modes_63_80,accepted_tbs,30,0.23333333333333334,0.9333333333333333,7.5
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_63_80,14,tfidf,adaptive_modes_63_80,accepted_tbs,30,0.13333333333333333,0.6666666666666666,3.5
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_63_80,15,tfidf,adaptive_modes_63_80,accepted_tbs,30,0.2,0.9333333333333333,4.5
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_63_80,16,tfidf,adaptive_modes_63_80,accepted_tbs,30,0.26666666666666666,0.7666666666666667,3.0
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_63_80,17,tfidf,adaptive_modes_63_80,accepted_tbs,30,0.16666666666666666,1.0,9.0
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_63_80,18,tfidf,adaptive_modes_63_80,accepted_tbs,30,0.16666666666666666,0.8,2.5
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_63_80,19,tfidf,adaptive_modes_63_80,accepted_tbs,30,0.23333333333333334,0.8,8.0
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_63_80,20,tfidf,adaptive_modes_63_80,accepted_tbs,30,0.2,0.9,5.5
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_63_80,21,tfidf,adaptive_modes_63_80,accepted_tbs,30,0.1,0.8333333333333334,4.0
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_63_80,22,tfidf,adaptive_modes_63_80,accepted_tbs,30,0.2,0.8,3.5
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_63_80,23,tfidf,adaptive_modes_63_80,accepted_tbs,30,0.16666666666666666,0.8,4.0
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_63_80,24,tfidf,adaptive_modes_63_80,accepted_tbs,30,0.23333333333333334,0.9333333333333333,6.0
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_63_80,25,tfidf,adaptive_modes_63_80,accepted_tbs,30,0.2,0.9,6.5
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_63_80,26,tfidf,adaptive_modes_63_80,accepted_tbs,30,0.23333333333333334,0.9,5.5
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_63_80,27,tfidf,adaptive_modes_63_80,accepted_tbs,30,0.2,0.9666666666666667,5.0
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_63_80,28,tfidf,adaptive_modes_63_80,accepted_tbs,30,0.26666666666666666,0.8666666666666667,5.0
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_63_80,29,tfidf,adaptive_modes_63_80,accepted_tbs,30,0.2,0.8,4.0
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_02_05,0,tfidf,adaptive_modes_02_05,accepted_tbs,4,0.75,0.75,10.5
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_02_05,1,tfidf,adaptive_modes_02_05,accepted_tbs,4,0.5,0.75,10.0
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_02_05,2,tfidf,adaptive_modes_02_05,accepted_tbs,4,0.0,1.0,12.5
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_02_05,3,tfidf,adaptive_modes_02_05,accepted_tbs,4,0.25,1.0,14.0
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_02_05,4,tfidf,adaptive_modes_02_05,accepted_tbs,4,0.0,0.75,4.0
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_02_05,5,tfidf,adaptive_modes_02_05,accepted_tbs,4,0.0,1.0,2.5
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_02_05,6,tfidf,adaptive_modes_02_05,accepted_tbs,4,0.0,1.0,4.5
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_02_05,7,tfidf,adaptive_modes_02_05,accepted_tbs,4,0.25,1.0,4.0
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_02_05,8,tfidf,adaptive_modes_02_05,accepted_tbs,4,0.0,1.0,22.0
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_02_05,9,tfidf,adaptive_modes_02_05,accepted_tbs,4,0.0,0.75,1.0
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_02_05,10,tfidf,adaptive_modes_02_05,accepted_tbs,4,0.25,0.5,1.0
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_02_05,11,tfidf,adaptive_modes_02_05,accepted_tbs,4,0.5,1.0,23.5
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_02_05,12,tfidf,adaptive_modes_02_05,accepted_tbs,4,0.25,0.75,6.0
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_02_05,13,tfidf,adaptive_modes_02_05,accepted_tbs,4,0.75,1.0,8.5
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_02_05,14,tfidf,adaptive_modes_02_05,accepted_tbs,4,0.5,1.0,12.5
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_02_05,15,tfidf,adaptive_modes_02_05,accepted_tbs,4,0.25,0.75,6.5
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_02_05,16,tfidf,adaptive_modes_02_05,accepted_tbs,4,0.5,0.75,4.0
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_02_05,17,tfidf,adaptive_modes_02_05,accepted_tbs,4,0.25,0.5,3.0
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_02_05,18,tfidf,adaptive_modes_02_05,accepted_tbs,4,0.25,0.5,1.0
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_02_05,19,tfidf,adaptive_modes_02_05,accepted_tbs,4,0.25,0.5,1.0
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_02_05,20,tfidf,adaptive_modes_02_05,accepted_tbs,4,0.5,1.0,69.0
