run_id,cluster_id,cluster_size,mean_within_tfidf_cosine
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_02_05,73,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_02_05,74,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_02_05,75,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_02_05,76,2,0.1798718174188645
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_02_05,77,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_02_05,78,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_02_05,79,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_02_05,80,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_02_05,81,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_02_05,82,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_02_05,83,2,0.10280197298938276
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_02_05,84,4,0.10000999148355083
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_02_05,85,2,0.35476792144647606
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_02_05,86,2,0.06717018923549745
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_02_05,87,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_02_05,88,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_02_05,89,3,0.0
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_02_05,90,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_02_05,91,3,0.042543590089489346
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_02_05,92,2,0.07492051372906394
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_02_05,93,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_02_05,94,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_02_05,95,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_02_05,96,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_02_05,97,2,0.38392698403814085
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_02_05,98,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_02_05,99,2,0.4038952425463407
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_02_05,100,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_02_05,101,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_02_05,102,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_02_05,103,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_02_05,104,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_02_05,105,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_02_05,106,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_02_05,107,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_02_05,108,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_02_05,109,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_02_05,110,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_02_05,111,2,0.2572964354432925
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_02_05,112,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_02_05,113,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_02_05,114,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_02_05,115,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_02_05,116,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_02_05,117,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_02_05,118,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_02_05,119,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_02_05,120,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_02_05,121,1,
