case_id,case_category,source_family,feature_representation,samples,features,true_clusters,old_found_clusters,new_found_clusters,directional_metrics_improved,directional_metrics_worse,directional_metrics_tied,quality_metrics_improved,quality_metrics_worse,quality_metrics_tied,fragmentation_metrics_improved,fragmentation_metrics_worse,fragmentation_metrics_tied,unsupervised_metrics_improved,unsupervised_metrics_worse,unsupervised_metrics_tied,ari_delta,nmi_delta,macro_f1_delta,net_directional_score,net_quality_score,net_fragmentation_score
gauss_overlap_dense_8c,overlapping_gaussian,gaussian_blobs,median_binary,800,50,8,8,8,0,0,21,0,0,8,0,0,7,0,0,3,0.0,0.0,0.0,0,0,0
gauss_overlap_3c_small_q3,overlapping_gaussian_quantile,gaussian_blobs,quantile_one_hot,300,90,3,3,3,0,0,21,0,0,8,0,0,7,0,0,3,0.0,0.0,0.0,0,0,0
bar_binary_balanced_4c,method_proof,binary_template,binary,160,200,4,1,1,0,0,18,0,0,8,0,0,7,0,0,0,0.0,0.0,0.0,0,0,0
traversal_deep_signal_under_same_parent,method_proof,planted_hierarchy_binary,binary,240,300,6,1,1,0,0,18,0,0,8,0,0,7,0,0,0,0.0,0.0,0.0,0,0,0
overlap_part_4c_small,overlapping_binary_partial,binary_template,binary,400,60,4,4,4,8,5,8,5,2,1,1,0,6,1,2,0,-4.511564628550957e-07,2.751857317573325e-07,1.2752212744771008e-05,3,3,1
phylo_dna_16taxa_low_mut,phylogenetic_dna,phylogenetic_sequence,categorical_one_hot,240,2000,16,20,16,13,1,7,5,0,3,5,0,2,2,1,0,0.017658635536240808,0.01086932141243202,0.0,12,5,5
dim_diffuse_6c_136f,gaussian_dimensionality_diffuse,dimensional_gaussian,median_binary,180,136,6,1,4,9,3,6,6,1,1,1,1,5,0,0,0,0.0293879041298343,0.0574217972009439,0.1741403943003037,6,5,0
phylo_protein_4taxa,phylogenetic_protein,phylogenetic_sequence,categorical_one_hot,120,1000,4,5,4,12,0,9,5,0,3,3,0,4,3,0,0,0.031269160024524845,0.02847748612986678,0.0,12,5,3
phylo_divergent_8taxa,phylogenetic_divergent,phylogenetic_sequence,categorical_one_hot,160,800,8,11,8,14,0,7,5,0,3,5,0,2,3,0,0,0.040434008646266006,0.028667311512656002,0.0,14,5,5
phylo_dna_8taxa_low_mut,phylogenetic_dna,phylogenetic_sequence,categorical_one_hot,160,800,8,13,8,14,0,7,5,0,3,5,0,2,3,0,0,0.05043062434430445,0.03964459800212161,0.0,14,5,5
phylo_dna_8taxa_med_mut,phylogenetic_dna,phylogenetic_sequence,categorical_one_hot,160,800,8,13,8,14,0,7,5,0,3,5,0,2,3,0,0,0.053660779355444554,0.0416383249804716,0.0,14,5,5
binary_2clusters,improved_binary_edge_cases,binary_template,binary,50,60,2,3,2,12,0,9,5,0,3,3,0,4,3,0,0,0.13758523866827121,0.136872504342184,0.0,12,5,3
dim_consolidated_4c_272f,gaussian_dimensionality_consolidated,dimensional_gaussian,median_binary,160,272,4,1,60,10,7,1,7,1,0,1,5,1,0,0,0,0.0153270173835093,0.2880090287998721,0.5737086977048995,3,6,-4
