case_id,variant,status,found_clusters,ari,nmi,macro_f1,silhouette_score,davies_bouldin_index,calinski_harabasz_index,n_singleton_clusters,singleton_fraction,median_cluster_size,largest_cluster_fraction,effective_cluster_count,cluster_size_entropy,cluster_size_gini,noise_label_fraction,skip_reason
cat_overlap_3cat_4c,hamming_linkage,ok,4,0.9484121212121213,0.939426952729396,0.98,0.04781088575616243,4.326562106195029,15.840588828351226,0.0,0.0,100.0,0.25,4.0,1.3862943611198906,0.0,0.0,
cat_overlap_3cat_4c,hamming_nnls_no_edge_time,ok,4,0.9484121212121213,0.939426952729396,0.98,0.04781088575616243,4.326562106195029,15.840588828351226,0.0,0.0,100.0,0.25,4.0,1.3862943611198906,0.0,0.0,
cat_overlap_3cat_4c,hamming_nnls_edge_time,ok,4,0.9484121212121213,0.939426952729396,0.98,0.04781088575616243,4.326562106195029,15.840588828351226,0.0,0.0,100.0,0.25,4.0,1.3862943611198906,0.0,0.0,
cat_overlap_3cat_4c,pydiffmap_linkage,ok,4,0.8644848643817469,0.897442106959732,0.9417293709305565,0.04581991586262797,4.432011225281688,15.578573479552288,0.0,0.0,100.0,0.3075,3.9469779933630282,1.372950221130084,0.08625,0.0,
cat_overlap_3cat_4c,pydiffmap_nnls_no_edge_time,ok,4,0.8644848643817469,0.897442106959732,0.9417293709305565,0.04581991586262797,4.432011225281688,15.578573479552288,0.0,0.0,100.0,0.3075,3.9469779933630282,1.372950221130084,0.08625,0.0,
cat_overlap_3cat_4c,pydiffmap_nnls_edge_time,ok,4,0.8644848643817469,0.897442106959732,0.9417293709305565,0.04581991586262797,4.432011225281688,15.578573479552288,0.0,0.0,100.0,0.3075,3.9469779933630282,1.372950221130084,0.08625,0.0,
cat_overlap_3cat_4c,graphtools_linkage,ok,3,0.712742980561555,0.8571428571428577,0.6666666666666666,0.06029237195415064,3.6603060621744166,19.825044186276177,0.0,0.0,100.0,0.5,2.82842712474619,1.0397207708399179,0.16666666666666666,0.0,
cat_overlap_3cat_4c,graphtools_nnls_no_edge_time,ok,4,0.8959106431954114,0.9083891339896005,0.957259585166562,0.046313071982722345,4.438253830347983,15.61906063233191,0.0,0.0,100.0,0.2875,3.9774784975956914,1.3806480752053096,0.05625,0.0,
cat_overlap_3cat_4c,graphtools_nnls_edge_time,ok,4,0.8959106431954114,0.9083891339896005,0.957259585166562,0.046313071982722345,4.438253830347983,15.61906063233191,0.0,0.0,100.0,0.2875,3.9774784975956914,1.3806480752053096,0.05625,0.0,
overlap_unbal_4c_small,hamming_linkage,ok,4,0.670168096745273,0.6507028031897798,0.8658312214973046,0.028006430669927605,5.0316170506940505,9.774643580414025,0.0,0.0,99.0,0.305,3.94166473189269,1.3716031548580176,0.09375,0.0,
overlap_unbal_4c_small,hamming_nnls_no_edge_time,ok,4,0.670168096745273,0.6507028031897798,0.8658312214973046,0.028006430669927605,5.0316170506940505,9.774643580414025,0.0,0.0,99.0,0.305,3.94166473189269,1.3716031548580176,0.09375,0.0,
overlap_unbal_4c_small,hamming_nnls_edge_time,ok,4,0.670168096745273,0.6507028031897798,0.8658312214973046,0.028006430669927605,5.0316170506940505,9.774643580414025,0.0,0.0,99.0,0.305,3.94166473189269,1.3716031548580176,0.09375,0.0,
overlap_unbal_4c_small,pydiffmap_linkage,ok,4,0.6024203432333544,0.5873263604020399,0.8292559307673687,0.025513794365641787,4.865472680924568,9.332740198734768,0.0,0.0,102.5,0.3425,3.7899524530296294,1.332353473640873,0.17625,0.0,
overlap_unbal_4c_small,pydiffmap_nnls_no_edge_time,ok,4,0.6024203432333544,0.5873263604020399,0.8292559307673687,0.025513794365641787,4.865472680924568,9.332740198734768,0.0,0.0,102.5,0.3425,3.7899524530296294,1.332353473640873,0.17625,0.0,
overlap_unbal_4c_small,pydiffmap_nnls_edge_time,ok,4,0.6024203432333544,0.5873263604020399,0.8292559307673687,0.025513794365641787,4.865472680924568,9.332740198734768,0.0,0.0,102.5,0.3425,3.7899524530296294,1.332353473640873,0.17625,0.0,
overlap_unbal_4c_small,graphtools_linkage,ok,4,0.6590088044947379,0.61101433984031,0.8595715191459872,0.028006096678279465,4.831153866407739,9.802778937640063,0.0,0.0,97.0,0.2925,3.97875578763971,1.3809691542507978,0.055,0.0,
overlap_unbal_4c_small,graphtools_nnls_no_edge_time,ok,4,0.6590088044947379,0.61101433984031,0.8595715191459872,0.028006096678279465,4.831153866407739,9.802778937640063,0.0,0.0,97.0,0.2925,3.97875578763971,1.3809691542507978,0.055,0.0,
overlap_unbal_4c_small,graphtools_nnls_edge_time,ok,4,0.6590088044947379,0.61101433984031,0.8595715191459872,0.028006096678279465,4.831153866407739,9.802778937640063,0.0,0.0,97.0,0.2925,3.97875578763971,1.3809691542507978,0.055,0.0,
overlap_mod_4c_small,hamming_linkage,ok,4,0.9147290264157265,0.8916759540686316,0.9675630772696553,0.06333020049584132,3.374799408410622,19.255549112873755,0.0,0.0,100.0,0.2675,3.9950989954049554,1.3850683587372445,0.02625,0.0,
overlap_mod_4c_small,hamming_nnls_no_edge_time,ok,4,0.9147290264157265,0.8916759540686316,0.9675630772696553,0.06333020049584132,3.374799408410622,19.255549112873755,0.0,0.0,100.0,0.2675,3.9950989954049554,1.3850683587372445,0.02625,0.0,
overlap_mod_4c_small,hamming_nnls_edge_time,ok,4,0.9147290264157265,0.8916759540686316,0.9675630772696553,0.06333020049584132,3.374799408410622,19.255549112873755,0.0,0.0,100.0,0.2675,3.9950989954049554,1.3850683587372445,0.02625,0.0,
overlap_mod_4c_small,pydiffmap_linkage,ok,4,0.8520629763241513,0.8456496923506176,0.9430518740180429,0.060327432064114436,3.5199532826735336,18.6352275275851,0.0,0.0,98.5,0.29,3.9757657057979903,1.3802173599448755,0.06125,0.0,
overlap_mod_4c_small,pydiffmap_nnls_no_edge_time,ok,4,0.8520629763241513,0.8456496923506176,0.9430518740180429,0.060327432064114436,3.5199532826735336,18.6352275275851,0.0,0.0,98.5,0.29,3.9757657057979903,1.3802173599448755,0.06125,0.0,
overlap_mod_4c_small,pydiffmap_nnls_edge_time,ok,4,0.8520629763241513,0.8456496923506176,0.9430518740180429,0.060327432064114436,3.5199532826735336,18.6352275275851,0.0,0.0,98.5,0.29,3.9757657057979903,1.3802173599448755,0.06125,0.0,
