case_id,generator,source_family,feature_representation,samples,features,unique_rows,variant,method_id,diffusion_family,branch_mode,status,skip_reason,found_clusters,edge_branch_length_variance_policy,branch_length_optimization_method,branch_length_optimization_residual_rmse,branch_length_optimization_branch_length_mean,branch_length_optimization_branch_length_max,adaptive_epsilon,adaptive_neighbor_search_k,graphtools_kernel_nonzero_entries,ari,nmi,ami,purity,homogeneity,completeness,v_measure,fowlkes_mallows,macro_recall,macro_f1,worst_cluster_recall,n_singleton_clusters,singleton_fraction,median_cluster_size,largest_cluster_fraction,effective_cluster_count,cluster_size_entropy,cluster_size_gini,noise_label_fraction,silhouette_score,davies_bouldin_index,calinski_harabasz_index,outlier_precision,outlier_recall,outlier_f1,singleton_outlier_isolated,grouped_outlier_cluster_recovered
overlap_unbal_4c_small,binary,binary_template,binary,400,100,400,hamming_nnls_no_edge_time,tbs_diffusion,hamming,nnls_no_edge_time,ok,,4,none,fixed_topology_nnls,0.19814763472556687,0.3481835383353363,0.9333191491978182,,,,0.670168096745273,0.6507028031897798,0.6477883364852156,0.865,0.6491550311669071,0.6522579735183415,0.6507028031897798,0.7539090246301066,0.8661003314467888,0.8658312214973046,0.7924528301886793,0.0,0.0,99.0,0.305,3.94166473189269,1.3716031548580176,0.09375,0.0,0.028006430669927605,5.0316170506940505,9.774643580414025,,,,,
overlap_unbal_4c_small,binary,binary_template,binary,400,100,400,hamming_nnls_edge_time,tbs_diffusion,hamming,nnls_edge_time,ok,,4,normalized_branch_length,fixed_topology_nnls,0.19814763472556687,0.3481835383353363,0.9333191491978182,,,,0.670168096745273,0.6507028031897798,0.6477883364852156,0.865,0.6491550311669071,0.6522579735183415,0.6507028031897798,0.7539090246301066,0.8661003314467888,0.8658312214973046,0.7924528301886793,0.0,0.0,99.0,0.305,3.94166473189269,1.3716031548580176,0.09375,0.0,0.028006430669927605,5.0316170506940505,9.774643580414025,,,,,
overlap_unbal_4c_small,binary,binary_template,binary,400,100,400,pydiffmap_linkage,tbs_diffusion_adaptive,pydiffmap,linkage,ok,,4,none,linkage_ultrametric,,,,0.022063964298009844,10.0,,0.6024203432333544,0.5873263604020399,0.5838285448761904,0.8325,0.5775658726939491,0.5974224106913211,0.5873263604020399,0.707497097493207,0.821566910355667,0.8292559307673687,0.6395348837209303,0.0,0.0,102.5,0.3425,3.7899524530296294,1.332353473640873,0.17625,0.0,0.025513794365641787,4.865472680924568,9.332740198734768,,,,,
overlap_unbal_4c_small,binary,binary_template,binary,400,100,400,pydiffmap_nnls_no_edge_time,tbs_diffusion_adaptive_nnls,pydiffmap,nnls_no_edge_time,ok,,4,none,fixed_topology_nnls,0.19901413899687712,0.3456914615674276,0.9294275369474243,0.022063964298009844,10.0,,0.6024203432333544,0.5873263604020399,0.5838285448761904,0.8325,0.5775658726939491,0.5974224106913211,0.5873263604020399,0.707497097493207,0.821566910355667,0.8292559307673687,0.6395348837209303,0.0,0.0,102.5,0.3425,3.7899524530296294,1.332353473640873,0.17625,0.0,0.025513794365641787,4.865472680924568,9.332740198734768,,,,,
overlap_unbal_4c_small,binary,binary_template,binary,400,100,400,pydiffmap_nnls_edge_time,tbs_diffusion_adaptive_nnls,pydiffmap,nnls_edge_time,ok,,4,normalized_branch_length,fixed_topology_nnls,0.19901413899687712,0.3456914615674276,0.9294275369474243,0.022063964298009844,10.0,,0.6024203432333544,0.5873263604020399,0.5838285448761904,0.8325,0.5775658726939491,0.5974224106913211,0.5873263604020399,0.707497097493207,0.821566910355667,0.8292559307673687,0.6395348837209303,0.0,0.0,102.5,0.3425,3.7899524530296294,1.332353473640873,0.17625,0.0,0.025513794365641787,4.865472680924568,9.332740198734768,,,,,
overlap_unbal_4c_small,binary,binary_template,binary,400,100,400,graphtools_linkage,tbs_diffusion_graphtools,graphtools,linkage,ok,,4,none,linkage_ultrametric,,,,,,13982.0,0.6590088044947379,0.61101433984031,0.6077806281736019,0.86,0.6116372044174515,0.6103927425686849,0.6110143398403101,0.7447843431268459,0.8634713989764896,0.8595715191459872,0.7830188679245284,0.0,0.0,97.0,0.2925,3.97875578763971,1.3809691542507978,0.055,0.0,0.028006096678279465,4.831153866407739,9.802778937640063,,,,,
overlap_unbal_4c_small,binary,binary_template,binary,400,100,400,graphtools_nnls_no_edge_time,tbs_diffusion_graphtools,graphtools,nnls_no_edge_time,ok,,4,none,fixed_topology_nnls,0.19813577229420665,0.34422085989757806,0.9568013170727026,,,13982.0,0.6590088044947379,0.61101433984031,0.6077806281736019,0.86,0.6116372044174515,0.6103927425686849,0.6110143398403101,0.7447843431268459,0.8634713989764896,0.8595715191459872,0.7830188679245284,0.0,0.0,97.0,0.2925,3.97875578763971,1.3809691542507978,0.055,0.0,0.028006096678279465,4.831153866407739,9.802778937640063,,,,,
overlap_unbal_4c_small,binary,binary_template,binary,400,100,400,graphtools_nnls_edge_time,tbs_diffusion_graphtools,graphtools,nnls_edge_time,ok,,4,normalized_branch_length,fixed_topology_nnls,0.19813577229420665,0.34422085989757806,0.9568013170727026,,,13982.0,0.6590088044947379,0.61101433984031,0.6077806281736019,0.86,0.6116372044174515,0.6103927425686849,0.6110143398403101,0.7447843431268459,0.8634713989764896,0.8595715191459872,0.7830188679245284,0.0,0.0,97.0,0.2925,3.97875578763971,1.3809691542507978,0.055,0.0,0.028006096678279465,4.831153866407739,9.802778937640063,,,,,
overlap_mod_4c_small,binary,binary_template,binary,400,80,400,hamming_linkage,tbs_diffusion,hamming,linkage,ok,,4,none,linkage_ultrametric,,,,,,,0.9147290264157265,0.8916759540686316,0.8907797082508985,0.9675,0.8912816666521578,0.8920705904912097,0.8916759540686315,0.935913348073698,0.9675,0.9675630772696553,0.93,0.0,0.0,100.0,0.2675,3.9950989954049554,1.3850683587372445,0.02625,0.0,0.06333020049584132,3.374799408410622,19.255549112873755,,,,,
overlap_mod_4c_small,binary,binary_template,binary,400,80,400,hamming_nnls_no_edge_time,tbs_diffusion,hamming,nnls_no_edge_time,ok,,4,none,fixed_topology_nnls,0.2175354944227496,0.3245733082625038,1.0052079864661934,,,,0.9147290264157265,0.8916759540686316,0.8907797082508985,0.9675,0.8912816666521578,0.8920705904912097,0.8916759540686315,0.935913348073698,0.9675,0.9675630772696553,0.93,0.0,0.0,100.0,0.2675,3.9950989954049554,1.3850683587372445,0.02625,0.0,0.06333020049584132,3.374799408410622,19.255549112873755,,,,,
