case_id,case_category,source_family,feature_representation,samples,features,true_clusters,old_found_clusters,new_found_clusters,metric,old_value,new_value,delta,direction,metric_orientation
gauss_extreme_noise_many,gaussian_extreme_noise,gaussian_blobs,median_binary,300,2000,30,30,30,singleton_fraction,0.0,0.0,0.0,tie,lower_better
gauss_extreme_noise_many,gaussian_extreme_noise,gaussian_blobs,median_binary,300,2000,30,30,30,median_cluster_size,10.0,10.0,0.0,descriptive_delta,descriptive
gauss_extreme_noise_many,gaussian_extreme_noise,gaussian_blobs,median_binary,300,2000,30,30,30,largest_cluster_fraction,0.0333333333333333,0.0333333333333333,0.0,descriptive_delta,descriptive
gauss_extreme_noise_many,gaussian_extreme_noise,gaussian_blobs,median_binary,300,2000,30,30,30,effective_cluster_count,29.99999999999999,29.99999999999999,0.0,descriptive_delta,descriptive
gauss_extreme_noise_many,gaussian_extreme_noise,gaussian_blobs,median_binary,300,2000,30,30,30,cluster_size_entropy,3.401197381662155,3.401197381662155,0.0,descriptive_delta,descriptive
gauss_extreme_noise_many,gaussian_extreme_noise,gaussian_blobs,median_binary,300,2000,30,30,30,cluster_size_gini,0.0,0.0,0.0,tie,lower_better
gauss_extreme_noise_many,gaussian_extreme_noise,gaussian_blobs,median_binary,300,2000,30,30,30,noise_label_fraction,0.0,0.0,0.0,tie,lower_better
gauss_extreme_noise_many,gaussian_extreme_noise,gaussian_blobs,median_binary,300,2000,30,30,30,silhouette_score,0.4990534216602028,0.4990534216602028,0.0,tie,higher_better
gauss_extreme_noise_many,gaussian_extreme_noise,gaussian_blobs,median_binary,300,2000,30,30,30,davies_bouldin_index,0.7665014185020487,0.7665014185020488,1.1102230246251565e-16,tie,lower_better
gauss_extreme_noise_many,gaussian_extreme_noise,gaussian_blobs,median_binary,300,2000,30,30,30,calinski_harabasz_index,32.328793741915064,32.328793741915064,0.0,tie,higher_better
gauss_extreme_noise_many,gaussian_extreme_noise,gaussian_blobs,median_binary,300,2000,30,30,30,cluster_count_abs_error,0.0,0.0,0.0,tie,lower_better
