axis,axis_name,selection,go_term,go_id,column,support,prevalence,entropy_bits,loading,abs_loading,loading_sign,abs_rank
16,mode_16,top_absolute,Signaling by ALK,,Signaling by ALK,53,0.35333333333333333,0.9370098252692078,-0.0975102213270763,0.0975102213270763,negative,12
16,mode_16,top_absolute,Generic Transcription Pathway,,Generic Transcription Pathway,78,0.52,0.9988455359952018,0.09591439824382501,0.09591439824382501,positive,13
16,mode_16,top_absolute,Epigenetic Regulation by WDR5-containing Histone Modifying Complexes,,Epigenetic Regulation by WDR5-containing Histone Modifying Complexes,33,0.22,0.7601675029619657,0.09138682783683073,0.09138682783683073,positive,14
16,mode_16,top_absolute,Cellular Responses to Stimuli,,Cellular Responses to Stimuli,85,0.5666666666666667,0.9871377743721863,0.09123212898193993,0.09123212898193993,positive,15
16,mode_16,top_absolute,Signaling by WNT in Cancer,,Signaling by WNT in Cancer,9,0.06,0.32744491915447627,-0.08593835426664785,0.08593835426664785,negative,16
16,mode_16,top_absolute,CTNNB1 S45 Mutants Aren'T Phosphorylated,,CTNNB1 S45 Mutants Aren'T Phosphorylated,12,0.08,0.4021791902022728,-0.08381488821782457,0.08381488821782457,negative,17
16,mode_16,top_absolute,CTNNB1 S37 Mutants Aren'T Phosphorylated,,CTNNB1 S37 Mutants Aren'T Phosphorylated,12,0.08,0.4021791902022728,-0.08381488821782457,0.08381488821782457,negative,20
16,mode_16,top_absolute,CTNNB1 S33 Mutants Aren'T Phosphorylated,,CTNNB1 S33 Mutants Aren'T Phosphorylated,12,0.08,0.4021791902022728,-0.08381488821782457,0.08381488821782457,negative,19
16,mode_16,top_absolute,CTNNB1 T41 Mutants Aren'T Phosphorylated,,CTNNB1 T41 Mutants Aren'T Phosphorylated,12,0.08,0.4021791902022728,-0.08381488821782457,0.08381488821782457,negative,21
17,mode_17,top_positive,Formation of the Cornified Envelope,,Formation of the Cornified Envelope,4,0.02666666666666667,0.17738945318599736,0.1653719869334972,0.1653719869334972,positive,1
17,mode_17,top_positive,Developmental Biology,,Developmental Biology,59,0.3933333333333333,0.9669170093596808,0.11699269579154246,0.11699269579154246,positive,4
17,mode_17,top_positive,Post-translational Protein Modification,,Post-translational Protein Modification,76,0.5066666666666667,0.999871756640849,0.10502262879891623,0.10502262879891623,positive,7
17,mode_17,top_positive,Intrinsic Pathway for Apoptosis,,Intrinsic Pathway for Apoptosis,31,0.20666666666666667,0.7350626941249581,0.10237167513465523,0.10237167513465523,positive,8
17,mode_17,top_positive,Activation of BH3-only Proteins,,Activation of BH3-only Proteins,29,0.19333333333333333,0.708392686703044,0.09363473171221466,0.09363473171221466,positive,9
17,mode_17,top_positive,Protein Localization,,Protein Localization,7,0.04666666666666667,0.2720647864044614,0.09321041581157231,0.09321041581157231,positive,10
17,mode_17,top_positive,Fatty Acid Metabolism,,Fatty Acid Metabolism,5,0.03333333333333333,0.21084230031853213,0.0866223193171233,0.0866223193171233,positive,11
17,mode_17,top_positive,Innate Immune System,,Innate Immune System,28,0.18666666666666668,0.6944460704939805,0.0865114230205387,0.0865114230205387,positive,12
17,mode_17,top_positive,Keratinization,,Keratinization,4,0.02666666666666667,0.17738945318599736,0.08293545112601199,0.08293545112601199,positive,13
17,mode_17,top_positive,Pperoxisome,,Pperoxisome,9,0.06,0.32744491915447627,0.08178872768545398,0.08178872768545398,positive,14
17,mode_17,top_positive,Activation of BAD and Translocation to Mitochondria,,Activation of BAD and Translocation to Mitochondria,20,0.13333333333333333,0.5665095065529053,0.08078535236989262,0.08078535236989262,positive,15
17,mode_17,top_positive,Deubiquitination,,Deubiquitination,51,0.34,0.9248187049730301,0.07363690985483838,0.07363690985483838,positive,17
17,mode_17,top_positive,Programmed Cell Death,,Programmed Cell Death,28,0.18666666666666668,0.6944460704939805,0.07024750429047068,0.07024750429047068,positive,19
17,mode_17,top_positive,Processing of Capped Intron-Containing Pre-mRNA,,Processing of Capped Intron-Containing Pre-mRNA,38,0.25333333333333335,0.8165187119538282,0.06970392488345666,0.06970392488345666,positive,20
17,mode_17,top_positive,KEAP1-NFE2L2 Pathway,,KEAP1-NFE2L2 Pathway,37,0.24666666666666667,0.805952041954632,0.06947909314622794,0.06947909314622794,positive,21
17,mode_17,top_positive,ESR-mediated Signaling,,ESR-mediated Signaling,70,0.4666666666666667,0.9967916319816366,0.06545857916447079,0.06545857916447079,positive,27
17,mode_17,top_positive,"Cell Cycle, Mitotic",,"Cell Cycle, Mitotic",73,0.4866666666666667,0.9994869809508898,0.06544887884009958,0.06544887884009958,positive,28
17,mode_17,top_positive,Mitotic G1 Phase and G1 S Transition,,Mitotic G1 Phase and G1 S Transition,47,0.31333333333333335,0.8969838216377446,0.06108448894945357,0.06108448894945357,positive,41
17,mode_17,top_positive,mRNA Splicing - Major Pathway,,mRNA Splicing - Major Pathway,30,0.2,0.7219280948873623,0.06101729179856925,0.06101729179856925,positive,44
17,mode_17,top_positive,mRNA Splicing,,mRNA Splicing,30,0.2,0.7219280948873623,0.06101729179856925,0.06101729179856925,positive,43
17,mode_17,top_negative,RNA Polymerase II Transcription,,RNA Polymerase II Transcription,85,0.5666666666666667,0.9871377743721863,-0.13611335229733576,0.13611335229733576,negative,2
17,mode_17,top_negative,Gene Expression (Transcription),,Gene Expression (Transcription),93,0.62,0.9580420222262995,-0.12641943889545829,0.12641943889545829,negative,3
17,mode_17,top_negative,"Signaling by Rho GTPases, Miro GTPases and RHOBTB3",,"Signaling by Rho GTPases, Miro GTPases and RHOBTB3",32,0.21333333333333335,0.7478061583312325,-0.11121126814515994,0.11121126814515994,negative,5
17,mode_17,top_negative,Signaling by Rho GTPases,,Signaling by Rho GTPases,29,0.19333333333333333,0.708392686703044,-0.10977729501096636,0.10977729501096636,negative,6
17,mode_17,top_negative,Estrogen-stimulated Signaling Through PRKCZ,,Estrogen-stimulated Signaling Through PRKCZ,10,0.06666666666666667,0.35335933502142136,-0.07437803826537073,0.07437803826537073,negative,16
17,mode_17,top_negative,Protein-protein Interactions at Synapses,,Protein-protein Interactions at Synapses,5,0.03333333333333333,0.21084230031853213,-0.07253483008952484,0.07253483008952484,negative,18
17,mode_17,top_negative,Amplification of Signal From Unattached Kinetochores via a MAD2 Inhibitory Signal,,Amplification of Signal From Unattached Kinetochores via a MAD2 Inhibitory Signal,20,0.13333333333333333,0.5665095065529053,-0.06908566185469553,0.06908566185469553,negative,23
17,mode_17,top_negative,Amplification of Signal From the Kinetochores,,Amplification of Signal From the Kinetochores,20,0.13333333333333333,0.5665095065529053,-0.06908566185469553,0.06908566185469553,negative,22
17,mode_17,top_negative,Mitotic Spindle Checkpoint,,Mitotic Spindle Checkpoint,20,0.13333333333333333,0.5665095065529053,-0.06905013894424639,0.06905013894424639,negative,24
17,mode_17,top_negative,Transcriptional Activity of SMAD2 SMAD3 SMAD4 Heterotrimer,,Transcriptional Activity of SMAD2 SMAD3 SMAD4 Heterotrimer,47,0.31333333333333335,0.8969838216377446,-0.06758946146249102,0.06758946146249102,negative,25
17,mode_17,top_negative,RHO GTPase Cycle,,RHO GTPase Cycle,20,0.13333333333333333,0.5665095065529053,-0.06559763261087301,0.06559763261087301,negative,26
17,mode_17,top_negative,Generic Transcription Pathway,,Generic Transcription Pathway,78,0.52,0.9988455359952018,-0.06524089322418726,0.06524089322418726,negative,29
17,mode_17,top_negative,WNT5 FZD7-mediated Leishmania Damping,,WNT5 FZD7-mediated Leishmania Damping,4,0.02666666666666667,0.17738945318599736,-0.06391233606394106,0.06391233606394106,negative,31
17,mode_17,top_negative,Killing Mechanisms,,Killing Mechanisms,4,0.02666666666666667,0.17738945318599736,-0.06391233606394106,0.06391233606394106,negative,30
17,mode_17,top_negative,Degradation of Beta-Catenin by the Destruction Complex,,Degradation of Beta-Catenin by the Destruction Complex,35,0.23333333333333334,0.7837769474847012,-0.06368722902088624,0.06368722902088624,negative,32
17,mode_17,top_negative,Signaling by CTNNB1 Phospho-Site Mutants,,Signaling by CTNNB1 Phospho-Site Mutants,12,0.08,0.4021791902022728,-0.06271965001034223,0.06271965001034223,negative,38
17,mode_17,top_negative,CTNNB1 T41 Mutants Aren'T Phosphorylated,,CTNNB1 T41 Mutants Aren'T Phosphorylated,12,0.08,0.4021791902022728,-0.06271965001034223,0.06271965001034223,negative,37
17,mode_17,top_negative,CTNNB1 S45 Mutants Aren'T Phosphorylated,,CTNNB1 S45 Mutants Aren'T Phosphorylated,12,0.08,0.4021791902022728,-0.06271965001034223,0.06271965001034223,negative,33
17,mode_17,top_negative,Signaling by GSK3beta Mutants,,Signaling by GSK3beta Mutants,12,0.08,0.4021791902022728,-0.06271965001034223,0.06271965001034223,negative,34
17,mode_17,top_negative,CTNNB1 S33 Mutants Aren'T Phosphorylated,,CTNNB1 S33 Mutants Aren'T Phosphorylated,12,0.08,0.4021791902022728,-0.06271965001034223,0.06271965001034223,negative,35
17,mode_17,top_absolute,Formation of the Cornified Envelope,,Formation of the Cornified Envelope,4,0.02666666666666667,0.17738945318599736,0.1653719869334972,0.1653719869334972,positive,1
17,mode_17,top_absolute,RNA Polymerase II Transcription,,RNA Polymerase II Transcription,85,0.5666666666666667,0.9871377743721863,-0.13611335229733576,0.13611335229733576,negative,2
17,mode_17,top_absolute,Gene Expression (Transcription),,Gene Expression (Transcription),93,0.62,0.9580420222262995,-0.12641943889545829,0.12641943889545829,negative,3
17,mode_17,top_absolute,Developmental Biology,,Developmental Biology,59,0.3933333333333333,0.9669170093596808,0.11699269579154246,0.11699269579154246,positive,4
17,mode_17,top_absolute,"Signaling by Rho GTPases, Miro GTPases and RHOBTB3",,"Signaling by Rho GTPases, Miro GTPases and RHOBTB3",32,0.21333333333333335,0.7478061583312325,-0.11121126814515994,0.11121126814515994,negative,5
17,mode_17,top_absolute,Signaling by Rho GTPases,,Signaling by Rho GTPases,29,0.19333333333333333,0.708392686703044,-0.10977729501096636,0.10977729501096636,negative,6
17,mode_17,top_absolute,Post-translational Protein Modification,,Post-translational Protein Modification,76,0.5066666666666667,0.999871756640849,0.10502262879891623,0.10502262879891623,positive,7
17,mode_17,top_absolute,Intrinsic Pathway for Apoptosis,,Intrinsic Pathway for Apoptosis,31,0.20666666666666667,0.7350626941249581,0.10237167513465523,0.10237167513465523,positive,8
17,mode_17,top_absolute,Activation of BH3-only Proteins,,Activation of BH3-only Proteins,29,0.19333333333333333,0.708392686703044,0.09363473171221466,0.09363473171221466,positive,9
17,mode_17,top_absolute,Protein Localization,,Protein Localization,7,0.04666666666666667,0.2720647864044614,0.09321041581157231,0.09321041581157231,positive,10
17,mode_17,top_absolute,Fatty Acid Metabolism,,Fatty Acid Metabolism,5,0.03333333333333333,0.21084230031853213,0.0866223193171233,0.0866223193171233,positive,11
17,mode_17,top_absolute,Innate Immune System,,Innate Immune System,28,0.18666666666666668,0.6944460704939805,0.0865114230205387,0.0865114230205387,positive,12
17,mode_17,top_absolute,Keratinization,,Keratinization,4,0.02666666666666667,0.17738945318599736,0.08293545112601199,0.08293545112601199,positive,13
17,mode_17,top_absolute,Pperoxisome,,Pperoxisome,9,0.06,0.32744491915447627,0.08178872768545398,0.08178872768545398,positive,14
17,mode_17,top_absolute,Activation of BAD and Translocation to Mitochondria,,Activation of BAD and Translocation to Mitochondria,20,0.13333333333333333,0.5665095065529053,0.08078535236989262,0.08078535236989262,positive,15
17,mode_17,top_absolute,Estrogen-stimulated Signaling Through PRKCZ,,Estrogen-stimulated Signaling Through PRKCZ,10,0.06666666666666667,0.35335933502142136,-0.07437803826537073,0.07437803826537073,negative,16
17,mode_17,top_absolute,Deubiquitination,,Deubiquitination,51,0.34,0.9248187049730301,0.07363690985483838,0.07363690985483838,positive,17
17,mode_17,top_absolute,Protein-protein Interactions at Synapses,,Protein-protein Interactions at Synapses,5,0.03333333333333333,0.21084230031853213,-0.07253483008952484,0.07253483008952484,negative,18
17,mode_17,top_absolute,Programmed Cell Death,,Programmed Cell Death,28,0.18666666666666668,0.6944460704939805,0.07024750429047068,0.07024750429047068,positive,19
17,mode_17,top_absolute,Processing of Capped Intron-Containing Pre-mRNA,,Processing of Capped Intron-Containing Pre-mRNA,38,0.25333333333333335,0.8165187119538282,0.06970392488345666,0.06970392488345666,positive,20
18,mode_18,top_positive,RNA Polymerase III Transcription,,RNA Polymerase III Transcription,19,0.12666666666666668,0.5482251174503202,0.12672468295357245,0.12672468295357245,positive,3
18,mode_18,top_positive,RNA Polymerase III Abortive And Retractive Initiation,,RNA Polymerase III Abortive And Retractive Initiation,19,0.12666666666666668,0.5482251174503202,0.12672468295357245,0.12672468295357245,positive,4
18,mode_18,top_positive,RNA Polymerase III Transcription Termination,,RNA Polymerase III Transcription Termination,13,0.08666666666666667,0.42524461248637185,0.10206770221529977,0.10206770221529977,positive,11
18,mode_18,top_positive,Protein Localization,,Protein Localization,7,0.04666666666666667,0.2720647864044614,0.10055650645601553,0.10055650645601553,positive,12
18,mode_18,top_positive,Pperoxisome,,Pperoxisome,9,0.06,0.32744491915447627,0.09986213246440453,0.09986213246440453,positive,15
18,mode_18,top_positive,Fatty Acid Metabolism,,Fatty Acid Metabolism,5,0.03333333333333333,0.21084230031853213,0.09670733033462849,0.09670733033462849,positive,19
18,mode_18,top_positive,Gene Expression (Transcription),,Gene Expression (Transcription),93,0.62,0.9580420222262995,0.08173155461693492,0.08173155461693492,positive,28
18,mode_18,top_positive,RNA Polymerase III Transcription Initiation,,RNA Polymerase III Transcription Initiation,9,0.06,0.32744491915447627,0.07266375525163465,0.07266375525163465,positive,31
18,mode_18,top_positive,Keratinization,,Keratinization,4,0.02666666666666667,0.17738945318599736,0.06723712978557495,0.06723712978557495,positive,35
18,mode_18,top_positive,G1 S Transition,,G1 S Transition,46,0.30666666666666664,0.8892881527272397,0.06502247818363403,0.06502247818363403,positive,39
18,mode_18,top_positive,Cyclin A B1 B2 Associated Events During G2 M Transition,,Cyclin A B1 B2 Associated Events During G2 M Transition,19,0.12666666666666668,0.5482251174503202,0.06497932330781457,0.06497932330781457,positive,40
18,mode_18,top_positive,Peroxisomal Protein Import,,Peroxisomal Protein Import,6,0.04,0.24229218908241482,0.06170533758538468,0.06170533758538468,positive,50
18,mode_18,top_positive,Recruitment of NuMA to Mitotic Centrosomes,,Recruitment of NuMA to Mitotic Centrosomes,15,0.1,0.4689955935892812,0.06066800704504591,0.06066800704504591,positive,51
18,mode_18,top_positive,RNA Polymerase II Transcription,,RNA Polymerase II Transcription,85,0.5666666666666667,0.9871377743721863,0.060525012076543,0.060525012076543,positive,52
18,mode_18,top_positive,Mitotic G1 Phase and G1 S Transition,,Mitotic G1 Phase and G1 S Transition,47,0.31333333333333335,0.8969838216377446,0.060151626652938356,0.060151626652938356,positive,53
18,mode_18,top_positive,Generic Transcription Pathway,,Generic Transcription Pathway,78,0.52,0.9988455359952018,0.058951347167602204,0.058951347167602204,positive,54
18,mode_18,top_positive,Deubiquitination,,Deubiquitination,51,0.34,0.9248187049730301,0.05775556347993648,0.05775556347993648,positive,56
18,mode_18,top_positive,Formation of the Cornified Envelope,,Formation of the Cornified Envelope,4,0.02666666666666667,0.17738945318599736,0.056703965757529826,0.056703965757529826,positive,57
18,mode_18,top_positive,rRNA Processing in the Nucleus and Cytosol,,rRNA Processing in the Nucleus and Cytosol,8,0.05333333333333334,0.30039141736478187,0.05618102198788655,0.05618102198788655,positive,61
18,mode_18,top_positive,Activation of the Pre-Replicative Complex,,Activation of the Pre-Replicative Complex,23,0.15333333333333332,0.6181194891000384,0.05601124993051663,0.05601124993051663,positive,62
18,mode_18,top_negative,Translocation of SLC2A4 (GLUT4) to the Plasma Membrane,,Translocation of SLC2A4 (GLUT4) to the Plasma Membrane,19,0.12666666666666668,0.5482251174503202,-0.1440871665911076,0.1440871665911076,negative,1
18,mode_18,top_negative,G2 M DNA Damage Checkpoint,,G2 M DNA Damage Checkpoint,39,0.26,0.8267463724926178,-0.13070263735370158,0.13070263735370158,negative,2
18,mode_18,top_negative,"Signaling by Rho GTPases, Miro GTPases and RHOBTB3",,"Signaling by Rho GTPases, Miro GTPases and RHOBTB3",32,0.21333333333333335,0.7478061583312325,-0.1176494395679336,0.1176494395679336,negative,5
18,mode_18,top_negative,SARS-CoV-1 Targets Host Intracellular Signalling and Regulatory Pathways,,SARS-CoV-1 Targets Host Intracellular Signalling and Regulatory Pathways,23,0.15333333333333332,0.6181194891000384,-0.11308236655041741,0.11308236655041741,negative,6
