gene,mode_63,mode_64,mode_65,mode_66,mode_67,mode_68,mode_69,mode_70,mode_71,mode_72,mode_73,mode_74,mode_75,mode_76,mode_77,mode_78,mode_79,mode_80
SRSF2,-0.006420404774367678,-0.0011034127209509949,-0.04130216805084873,-0.04889831034692198,0.006010491454949369,0.08992267831102375,0.0005763361286223218,-0.10782040353796801,-0.12618513229345293,-0.022810531019442398,0.10468051156310927,0.06549094098003613,-0.06996212324225715,-0.04235829863769398,-0.030618183163574387,-0.10804704104903329,0.046710647531931354,0.09572038187263147
RARA,-0.0014648356287831215,-0.05410318324395136,-0.027993116098460835,-0.021407355045253474,-0.00995774968961137,-0.07773692964302088,-0.04595578837639499,-0.02915369749885018,-0.05845127741218161,-0.037951431091972083,0.05297109084978902,-0.0028463188837785113,0.03630550091775755,-0.06010483747466799,0.02659166939920636,-0.012416490113570893,0.004760483539888139,-0.015354724749429833
SMC3,0.057967790964148364,0.016260452045322046,-0.05674995992542176,-0.03126185974425328,-0.049424149144436304,0.03950019799336241,-0.04989741728839002,-0.016049065906342162,-0.02216998698312667,0.05491298141612836,-0.02950690917373167,0.006626612595071671,0.06933536708679021,0.03162254611661197,-0.031008718837450527,0.0954662748017324,-0.013475294733148,0.007864837369346454
DEK,-0.05994773513667702,0.046640478994960516,-0.0763833796038069,-0.012878744232821688,-0.07378905825633829,0.13015968153504529,0.04947857223061563,-0.07656039923609013,0.004239869779438437,-0.07315162499028478,-0.004518236933679,-0.04252276368802551,0.08890045730305277,0.002184586191390697,0.012634643649059559,0.08724225559172052,0.03597823006795078,-0.032877657736191696
TET2,0.10960922489018672,-0.0006153361939479888,-0.04380572261086671,-0.023713337328026503,0.05074445236591276,0.07564964655575845,-0.05717168597737254,-0.15615309630735597,0.03940327593148036,0.16804554396077132,-0.027324210167393417,-0.017480579021763035,-0.08581138063514841,0.05608554610438275,-0.02800848286428258,-0.008869138035533481,0.07243977993855949,0.001034631552389488
PML,0.12845065164151082,-0.03131516904357672,0.06202550611640661,0.04493849507361655,0.10245310064983303,-0.013772168994135161,-0.0015103022454938306,0.023577395228074696,-0.1802836675097213,-0.07775997190252866,-0.10929757596789968,0.08619418655920043,-0.004913133482158661,-0.04201046612632202,0.0012143787363160998,0.08857351504214143,0.0408628447276652,-0.0027712855362880917
TP53,0.026516101078233847,-0.14933097318266625,-0.05767699345460122,-0.027895547883213644,-0.12378882565774033,-0.04712314955648888,-0.05707896548589523,-0.05242797493211286,0.01690285110069886,-0.007718178004231257,0.008561774796939725,0.04865917441345935,0.01747391416306494,-0.05360440369497161,0.03896364897891339,0.07498831389553488,-0.04288618884677167,0.07836758366334039
SMC1A,0.04230030574518251,-0.03393628918446771,0.04753606120147677,-0.04617336204559123,-0.022764677085495906,-0.007012787075105025,0.04385828610723543,-0.07863628744213372,-0.03873482686234954,0.013053846304644358,-0.05062833933997451,-0.04133970697225039,0.00785532732516044,-0.056822526706318245,0.060247903989120416,-0.09737685543799271,0.08262481077452499,0.011981992299387333
FLT3,-0.020096821295851667,-0.011128890076590408,0.03201204549053122,0.004107873957389577,-0.017687732643015246,-0.03591450054847627,-0.005892711238916244,0.01367330203657308,0.018826958238470748,0.034740818590069306,-0.0586782205971022,0.10123376898317012,-0.00869929108148472,-0.016619705852932296,-0.025714728541667967,-0.022680504250455504,0.024511141565305292,-0.012362440947901092
RUNX1,-0.008663701751223761,0.03205644817997931,0.007149249675880658,-0.08581729812621731,0.06581181691510832,0.037605856367694875,0.01870763100490653,-0.09897713974261307,-0.0012749378651352766,-0.060056566675805334,0.0037839808851894184,0.061247052594827676,-0.01729683222738653,-0.11909433532881886,-0.0027063896228287656,0.07050124626756142,-0.06162296036575474,-0.001465860136754296
