gene,full_space_axis_1,full_space_axis_2,cluster_id
SRSF2,-1.1390372860544478,-3.802050341244021,80
RARA,-2.2410295901692923,6.637709496818074,88
SMC3,-3.338218135108272,-0.7163928496947264,65
DEK,-2.6184456937472467,1.2949702626437225,9
TET2,-1.3712938103463603,-0.9413091114857403,44
PML,-0.8387025424610516,12.654234172424848,69
TP53,-1.1779924668444142,1.5852101001851353,140
SMC1A,-3.170533917755741,0.4417064157117865,25
FLT3,13.122717629376188,0.22146310421650783,132
RUNX1,-2.6873072260411615,8.126925434578455,58
IDH1,-1.4562129078729387,-2.613239095437339,72
SF3B1,-1.8539874448317826,-3.0137062587666597,33
WT1,-1.003223506375844,-3.446990295710221,21
NRAS,10.468474640859467,-1.0379036454822173,2
KMT2A,-3.3297676158385325,5.901377737346931,15
BCL2,-0.13620137490606635,0.515730708481809,91
IDH2,-1.0276788275769002,-3.6045298242877633,75
EZH2,-2.4744510777984425,0.1435843450525731,120
ZRSR2,-1.1002068484888843,-4.0765371474173895,86
RAD21,-2.869856103643002,-2.4302866778744336,114
KRAS,11.088536903024181,0.04384632535260368,1
DNMT3A,-2.779743757377914,4.469713927038964,122
ASXL1,-1.6151408782343628,0.6825378673532335,123
U2AF1,-1.072954732669222,-3.1513178548777145,144
GATA2,-1.0915388548616536,-2.7571588892158716,19
CEBPA,-3.5502499330683785,9.414016514801343,16
NUP214,-1.9291000502356617,-2.3716223269556798,53
KIT,14.630845679611308,0.800149721257534,135
PTPN11,13.896712528843022,0.6883354233664797,131
STAG2,-2.3182761828072884,-3.0613388361241833,22
MECOM,-3.1997122773018156,2.361921143276879,78
NPM1,-1.0272553736198766,-2.580082136786815,35
WAPL,-2.5794147110623493,-2.831062224973776,112
SMC1B,-3.162318335435972,-1.5072686055472173,115
CDCA5,-2.2311359867996665,-3.304778000945375,27
SGO1,-0.3939481500963514,-0.623532909106425,28
REC8,-2.0896316009122726,-0.15023590794970193,59
MXD4,-1.7719059789173335,-2.977649951584153,95
STAG3,-3.3392092630531103,-0.7167473717030451,65
NIPBL,-3.1677570612247425,-2.240539192058152,64
SPI1,-2.4959893833569256,8.75638746292466,141
