gene,cluster_id,cluster_size
SRSF2,80,1
RARA,88,1
SMC3,65,2
DEK,9,1
TET2,44,1
PML,69,1
TP53,140,1
SMC1A,25,1
FLT3,132,1
RUNX1,58,1
IDH1,72,1
SF3B1,33,1
WT1,21,2
NRAS,2,1
KMT2A,15,1
BCL2,91,1
IDH2,75,1
EZH2,120,1
ZRSR2,86,1
RAD21,114,1
KRAS,1,2
DNMT3A,122,1
ASXL1,123,1
U2AF1,144,1
GATA2,19,1
CEBPA,16,1
NUP214,53,1
KIT,135,1
PTPN11,131,1
STAG2,22,1
MECOM,78,1
NPM1,35,1
WAPL,112,1
SMC1B,115,1
CDCA5,27,1
SGO1,28,1
REC8,59,1
MXD4,95,1
STAG3,65,2
NIPBL,64,1
SPI1,141,1
GPR31,1,2
STAG1,96,1
NXF2,54,1
CARNMT1,83,1
ELF4,60,1
KRTAP10-3,21,2
AIRE,40,1
ZNF513,121,1
SLA,129,1
ZRSR1,36,1
SRRM1,37,1
ANKRD11,98,1
CIRSR,84,1
ZNF207,51,1
U2AF1L4,82,1
USP37,48,1
FMO3,5,1
ADAR,103,1
SH2B3,133,1
SSU72,97,1
SOCS1,134,1
PAF1,10,1
USP13,41,1
TEC,136,1
RGPD2,55,1
WAPAL,113,1
KAT6A,17,1
HLF,38,1
HRK,92,1
BNIPL,90,1
GRB10,43,1
MED1,13,1
NUP93,61,1
PDS5B,94,1
CBL,128,1
OVCA2,130,1
PDS5A,99,1
RBM15,118,1
TFEC,45,1
C19ORF43,14,1
ZFPM1,20,1
RADIL,4,1
HIST1H3A,126,1
ZRSR2P1,81,1
PIK3CG,85,1
IRX4,110,1
CITED1,39,1
GPATCH11,34,1
PPP4R3A,87,1
SUV39H1,124,1
KITLG,137,1
PECAM1,79,1
HIST1H4A,52,1
AVEN,93,1
MAU2,100,1
PAWR,3,1
MATK,138,1
RGL2,6,1
CDK1,62,1
BCOR,106,1
CELA1,76,1
CSN1S1,67,1
CBX7,104,1
ZBTB5,111,1
PCGF5,101,1
HAO2,73,1
KDM2B,102,1
ZBTB7A,142,1
PCGF1,18,1
PCGF3,105,1
L3MBTL1,127,1
CARD8,89,1
NACC1,74,1
PCGF2,7,1
HSPA12A,116,1
MLLT1,11,1
ERP44,56,1
NFIC,29,1
SNAPC4,77,1
MLLT3,12,1
QPRT,108,1
KPNA4,63,1
NFIA,30,1
CBX4,68,1
NFIX,31,1
SHARPIN,70,1
RING1,8,1
C6ORF141,139,2
YAF2,66,1
PPP4R1L,119,1
RNF2,46,1
BCL6,71,1
NAA10,23,1
DCAF7,26,1
RYBP,50,1
CBX8,107,1
PIP,24,1
NCAPH2,139,2
B4GALT2,117,1
SP1,57,1
CTBP1,32,1
CDC16,47,1
CBX3,125,1
BRAF,0,1
CCDC96,145,1
CBX6,109,1
SKP1,49,1
S100P,143,1
USP7,42,1
