left,right,distance,count
61.0,78.0,0.0002527711506158378,2.0
11.0,26.0,0.00025837513180835555,2.0
42.0,138.0,0.0003149439686881868,2.0
77.0,137.0,0.00040246319007172836,2.0
20.0,47.0,0.00047557318959855205,2.0
36.0,63.0,0.00059934608028984,2.0
14.0,108.0,0.0008371916562971589,2.0
71.0,150.0,0.0009653461741245236,3.0
68.0,104.0,0.0010245379890061073,2.0
57.0,145.0,0.0011065296771482882,2.0
49.0,58.0,0.0011680631844831096,2.0
74.0,98.0,0.0012606930575532226,2.0
7.0,100.0,0.0015268517807708278,2.0
118.0,129.0,0.0015762920868107142,2.0
155.0,160.0,0.0019304358146024136,4.0
23.0,31.0,0.001993534260923076,2.0
67.0,72.0,0.002000324522852962,2.0
8.0,43.0,0.002102700830571712,2.0
84.0,128.0,0.002227030311566287,2.0
95.0,97.0,0.0022544494733303198,2.0
79.0,119.0,0.0023358589707297805,2.0
135.0,144.0,0.002529436637551036,2.0
103.0,123.0,0.0025443478464063415,2.0
18.0,88.0,0.0025636930151892957,2.0
44.0,101.0,0.002628841350080944,2.0
4.0,153.0,0.0027399393299669334,3.0
9.0,107.0,0.0031262885129326027,2.0
56.0,162.0,0.003605385876137125,3.0
46.0,106.0,0.003689807445654294,2.0
35.0,154.0,0.003713011431467305,3.0
59.0,151.0,0.004044056251792358,3.0
25.0,54.0,0.004689012637560476,2.0
15.0,139.0,0.004705175224049633,2.0
12.0,53.0,0.005163794073698044,2.0
13.0,94.0,0.0053060893779469515,2.0
64.0,157.0,0.005477121368267532,4.0
120.0,165.0,0.0054847461312114345,3.0
17.0,105.0,0.005506286680730128,2.0
29.0,114.0,0.005973387995900811,2.0
50.0,168.0,0.006198922785493124,3.0
28.0,164.0,0.006232607617285395,5.0
3.0,171.0,0.00706323666600288,3.0
80.0,142.0,0.0071589334071659036,2.0
87.0,109.0,0.007261325480120477,2.0
33.0,45.0,0.007551008506476285,2.0
32.0,111.0,0.008013446026289965,2.0
99.0,140.0,0.008108161750882486,2.0
76.0,175.0,0.008150950486559668,4.0
66.0,149.0,0.008200299773764103,2.0
82.0,184.0,0.008466927312590135,3.0
27.0,41.0,0.008537350032926624,2.0
1.0,2.0,0.008721627862945185,2.0
121.0,167.0,0.008724802342635302,3.0
116.0,180.0,0.008836210849771103,4.0
148.0,159.0,0.009461878605938766,3.0
146.0,161.0,0.009751846109132553,3.0
83.0,132.0,0.009900055078967365,2.0
6.0,22.0,0.010278289761848207,2.0
0.0,186.0,0.01095311938937242,4.0
38.0,124.0,0.010961301283344285,2.0
70.0,192.0,0.011133369742200392,3.0
40.0,125.0,0.011222184519886007,2.0
166.0,193.0,0.011762856408173029,4.0
62.0,110.0,0.011966141438675245,2.0
173.0,189.0,0.012181360560328496,5.0
181.0,196.0,0.013407077656556531,4.0
34.0,122.0,0.013501912293380557,2.0
86.0,158.0,0.013627573223943278,3.0
89.0,126.0,0.013674526896167015,2.0
133.0,178.0,0.013718777561411658,3.0
188.0,198.0,0.014835922891744565,4.0
163.0,191.0,0.014878804151473055,5.0
51.0,204.0,0.015394185715054654,4.0
179.0,197.0,0.015808080120148553,7.0
81.0,92.0,0.015885756469985475,2.0
37.0,182.0,0.016571099256585793,3.0
131.0,141.0,0.0174548419125087,2.0
112.0,169.0,0.017541151094308642,3.0
176.0,177.0,0.017994090641432127,5.0
21.0,194.0,0.018313369694345393,3.0
156.0,211.0,0.01890861581592925,4.0
134.0,212.0,0.019106986366709967,5.0
130.0,210.0,0.019214679022948895,4.0
19.0,93.0,0.02001325896014918,2.0
202.0,203.0,0.02041126495943675,7.0
96.0,183.0,0.02043797582481291,3.0
52.0,195.0,0.020446375758722112,3.0
24.0,152.0,0.020945921571211425,3.0
113.0,225.0,0.02201814712322198,4.0
75.0,90.0,0.022777380036986296,2.0
127.0,206.0,0.022877906296254497,3.0
