diagnosis_schema_version,tree_inference,ok_cells,median_internal_split_count,median_total_branch_length,median_mean_branch_length,median_max_branch_length,median_found_clusters,median_largest_cluster_fraction,skipped_cells,edge_open_cells,sibling_open_cells,min_root_edge_bh_min,min_root_edge_bh_median,active_sibling_corrected_min,active_sibling_corrected_median,median_left_root_branch_length,median_right_root_branch_length,pairwise_comparisons,median_rf_to_other_methods,mean_rf_to_other_methods,median_weighted_split_l1_to_other_methods,median_leaf_path_rmse_to_other_methods,method_role
tree_topology_difference_diagnosis/v1,centroid,14,158.0,124.33709427876411,0.47216613220576864,1.31867995238,1.0,1.0,0,1,0,7.239837197097739e-09,0.1608387683966541,0.0146535473741283,0.0146535473741283,0.0605453905619203,0.0605453905619203,87,0.9827586206896552,0.7359455409440911,2.9067060074132236,0.0026706402197992,nonmonotone_linkage_topology_outlier
tree_topology_difference_diagnosis/v1,median,14,158.0,124.33709427876411,0.47216613220576864,1.31867995238,1.0,1.0,0,1,0,7.873914430206858e-05,0.327625947703393,0.7214019249469923,0.7214019249469923,0.0535855475136505,0.0535855475136505,87,0.9827586206896552,0.7358482863393891,2.9067060074132236,0.0026706402197992,nonmonotone_linkage_topology_outlier
tree_topology_difference_diagnosis/v1,neighbor_joining,4,358.0,239.82682822777832,0.37103456609998986,1.606464081684165,1.0,1.0,10,3,0,1.2470126574767586e-15,1.3804792839827766e-06,0.1080786312221733,0.770515275140873,0.01062985994539325,0.01062985994539325,27,0.6864406779661016,0.6994617522355439,20.74769327536533,0.0485892404216063,additive_distance_mad_rooting_outlier
tree_topology_difference_diagnosis/v1,single,14,158.0,124.11810412635566,0.47286445624673074,1.317866365396772,1.0,1.0,0,3,0,8.828289184319983e-16,0.4855841693187266,0.0125726905933696,0.3268286082538727,0.29314248574046553,0.29314248574046553,87,0.6016949152542372,0.4324074313728288,1.4666961242062873,0.0005077527750508,high_topology_divergence
tree_topology_difference_diagnosis/v1,complete,14,158.0,124.11810412635566,0.47286445624673074,1.317866365396772,1.0,1.0,0,4,0,1.090544719699791e-37,0.4855841693187266,0.1008311860070012,0.5237126278294407,0.2229632910980045,0.2229632910980045,87,0.3813559322033898,0.38903839332271906,1.4666961242062877,0.0005077527750508,stable_linkage_core
tree_topology_difference_diagnosis/v1,average,14,158.0,124.11810412635566,0.47286445624673074,1.317866365396772,1.0,1.0,0,3,0,8.828289184319983e-16,0.4855841693187266,0.0194165156685082,0.3268286082538727,0.2702037257661743,0.2702037257661743,87,0.3220551378446115,0.3786879786100342,1.4666961242062877,0.0005077527750508,stable_linkage_core
tree_topology_difference_diagnosis/v1,weighted,14,158.0,124.11810412635566,0.47286445624673074,1.317866365396772,1.0,1.0,0,2,0,1.0862919374253536e-26,0.4855841693187266,0.3268286082538727,0.6017584789441792,0.2229632910980045,0.2229632910980045,87,0.3220338983050847,0.37772659489511196,1.4666961242062873,0.0005077527750508,stable_linkage_core
tree_topology_difference_diagnosis/v1,ward,13,158.0,121.43428863140328,0.4873281668407898,1.3390751124807825,1.0,1.0,1,3,0,8.828289184319983e-16,0.5156611651102827,0.0491341561260816,0.3268286082538727,0.268877099660921,0.268877099660921,81,0.2966101694915254,0.37194231612592327,1.1253296272880808,2.276799083487085e-05,stable_linkage_core
