diagnosis_schema_version,case_id,test_case,case_category,rooted_subtree_id,subtree_leaf_count,complement_leaf_count,smaller_side_leaf_count,smaller_side_fraction,support_count,method_count,support_fraction,is_unstable,supporting_methods,absent_methods,contrast_type,median_supporting_branch_length,min_supporting_branch_length,max_supporting_branch_length,subtree_leaf_preview,complement_leaf_preview
tree_topology_difference_diagnosis/v1,overlap_heavy_8c_large_feat,88,overlapping_binary_heavy,4d49a8af8f282647,114,686,114,0.1425,1,7,0.14285714285714285,True,centroid,"average,complete,median,neighbor_joining,single,weighted",nonmonotone_specific_subtree,3.2960725906e-08,3.2960725906e-08,3.2960725906e-08,"L114,L116,L123,L130,L135,L145,L160,L164,L166,L173,L181,L184,...(+102)","L1,L10,L100,L101,L102,L103,L104,L105,L106,L107,L108,L109,...(+674)"
tree_topology_difference_diagnosis/v1,overlap_heavy_8c_large_feat,88,overlapping_binary_heavy,6b3de8210e3ef408,114,686,114,0.1425,1,7,0.14285714285714285,True,median,"average,centroid,complete,neighbor_joining,single,weighted",nonmonotone_specific_subtree,0.00162443858768,0.00162443858768,0.00162443858768,"L100,L101,L108,L109,L113,L117,L119,L125,L128,L131,L141,L142,...(+102)","L1,L10,L102,L103,L104,L105,L106,L107,L11,L110,L111,L112,...(+674)"
tree_topology_difference_diagnosis/v1,overlap_heavy_8c_large_feat,88,overlapping_binary_heavy,1d8ad2d71b4179fc,114,686,114,0.1425,1,7,0.14285714285714285,True,median,"average,centroid,complete,neighbor_joining,single,weighted",nonmonotone_specific_subtree,7.32663166816e-06,7.32663166816e-06,7.32663166816e-06,"L11,L110,L114,L123,L130,L135,L145,L16,L160,L166,L173,L184,...(+102)","L1,L10,L100,L101,L102,L103,L104,L105,L106,L107,L108,L109,...(+674)"
tree_topology_difference_diagnosis/v1,overlap_heavy_8c_large_feat,88,overlapping_binary_heavy,30c9bea3c18a4bd0,686,114,114,0.1425,1,7,0.14285714285714285,True,single,"average,centroid,complete,median,neighbor_joining,weighted",single_method_specific_subtree,1.48433838173e-05,1.48433838173e-05,1.48433838173e-05,"L1,L10,L100,L101,L103,L104,L105,L107,L108,L109,L11,L110,...(+674)","L102,L106,L113,L115,L12,L120,L124,L128,L146,L149,L15,L159,...(+102)"
tree_topology_difference_diagnosis/v1,overlap_heavy_8c_large_feat,88,overlapping_binary_heavy,49867d336f20b6de,113,687,113,0.14125,1,7,0.14285714285714285,True,centroid,"average,complete,median,neighbor_joining,single,weighted",nonmonotone_specific_subtree,4.46496667297e-08,4.46496667297e-08,4.46496667297e-08,"L114,L116,L123,L130,L135,L145,L160,L166,L173,L181,L184,L188,...(+101)","L1,L10,L100,L101,L102,L103,L104,L105,L106,L107,L108,L109,...(+675)"
tree_topology_difference_diagnosis/v1,overlap_heavy_8c_large_feat,88,overlapping_binary_heavy,3d050274073ef504,113,687,113,0.14125,1,7,0.14285714285714285,True,median,"average,centroid,complete,neighbor_joining,single,weighted",nonmonotone_specific_subtree,5.41674550885e-06,5.41674550885e-06,5.41674550885e-06,"L11,L110,L114,L123,L130,L135,L145,L16,L160,L166,L173,L184,...(+101)","L1,L10,L100,L101,L102,L103,L104,L105,L106,L107,L108,L109,...(+675)"
tree_topology_difference_diagnosis/v1,overlap_heavy_8c_large_feat,88,overlapping_binary_heavy,b2eed337ca47aea2,112,688,112,0.14,1,7,0.14285714285714285,True,single,"average,centroid,complete,median,neighbor_joining,weighted",single_method_specific_subtree,1.01576241726e-06,1.01576241726e-06,1.01576241726e-06,"L11,L110,L116,L123,L130,L135,L145,L147,L153,L158,L16,L160,...(+100)","L1,L10,L100,L101,L102,L103,L104,L105,L106,L107,L108,L109,...(+676)"
tree_topology_difference_diagnosis/v1,overlap_heavy_8c_large_feat,88,overlapping_binary_heavy,a5b527adefb3169c,111,689,111,0.13875,1,7,0.14285714285714285,True,centroid,"average,complete,median,neighbor_joining,single,weighted",nonmonotone_specific_subtree,5.56242757028e-08,5.56242757028e-08,5.56242757028e-08,"L114,L116,L123,L130,L135,L145,L160,L166,L173,L181,L184,L188,...(+99)","L1,L10,L100,L101,L102,L103,L104,L105,L106,L107,L108,L109,...(+677)"
tree_topology_difference_diagnosis/v1,overlap_heavy_8c_large_feat,88,overlapping_binary_heavy,40a34f14317dd5dd,689,111,111,0.13875,1,7,0.14285714285714285,True,single,"average,centroid,complete,median,neighbor_joining,weighted",single_method_specific_subtree,6.55255799998e-05,6.55255799998e-05,6.55255799998e-05,"L1,L10,L100,L101,L103,L104,L105,L107,L108,L109,L11,L110,...(+677)","L102,L106,L113,L115,L12,L120,L124,L128,L146,L149,L15,L159,...(+99)"
tree_topology_difference_diagnosis/v1,overlap_heavy_8c_large_feat,88,overlapping_binary_heavy,1ddabe18bfeca0b8,110,690,110,0.1375,1,7,0.14285714285714285,True,median,"average,centroid,complete,neighbor_joining,single,weighted",nonmonotone_specific_subtree,3.60092509997e-06,3.60092509997e-06,3.60092509997e-06,"L11,L110,L114,L123,L130,L135,L145,L16,L160,L166,L173,L184,...(+98)","L1,L10,L100,L101,L102,L103,L104,L105,L106,L107,L108,L109,...(+678)"
