weighting,component,eigenvalue,fraction_of_kept_operator_energy
binary,1,27.735608767583756,0.20322993642603207
binary,2,12.938733136143448,0.09480729032222014
binary,3,10.209514248415445,0.07480920822877965
binary,4,6.455314799308325,0.047300682212058215
binary,5,4.480256283118972,0.03282863582409557
binary,6,4.145095362985387,0.03037277725390805
binary,7,3.8692168452704045,0.02835130463773629
binary,8,3.3306261483512,0.024404834451638484
binary,9,2.5154803832410986,0.018431934292515453
binary,10,2.291309966915182,0.01678934768696167
binary,11,2.22799621714782,0.016325422433042115
binary,12,2.0900382541366267,0.015314549072115623
binary,13,1.9149682021287393,0.014031740541110926
binary,14,1.8221068979839143,0.013351308498103157
binary,15,1.8045736320418884,0.013222835222012556
binary,16,1.7086015226547597,0.012519609060551327
binary,17,1.575988690169838,0.011547901616123938
binary,18,1.516582393745291,0.011112607841004882
binary,19,1.4659539737092069,0.010741633088963046
binary,20,1.344178862097616,0.00984933797482005
binary,21,1.2990420825256843,0.009518602676390233
binary,22,1.2559343238438707,0.009202734828318588
binary,23,1.2036164040061401,0.008819380433192019
binary,24,1.1931814203511215,0.008742919120134607
binary,25,1.176347773422623,0.008619572233330541
binary,26,1.124786634980897,0.008241763079207595
binary,27,1.1221274054749435,0.008222277837402887
binary,28,1.0796336534547026,0.007910909062556648
binary,29,1.049006486021462,0.007686491515333322
binary,30,1.0117359162849366,0.007413395093272134
binary,31,0.9989301335588862,0.007319561983960953
binary,32,0.9712079824339381,0.007116430657083398
binary,33,0.9532094337195066,0.006984548067389896
binary,34,0.9273435249739475,0.006795018173382111
binary,35,0.9075492565744536,0.006649977624889423
binary,36,0.8896366485688254,0.006518724757259455
binary,37,0.8445916393755755,0.006188661897223961
binary,38,0.831370319475617,0.006091783980274209
binary,39,0.8101591334637507,0.005936361107791577
binary,40,0.797141564217899,0.005840976153654643
binary,41,0.7773706507609279,0.005696106736198737
binary,42,0.7440966424280708,0.0054522947234611875
binary,43,0.7406250384991945,0.00542685688823377
binary,44,0.709024094576467,0.005195304089871378
binary,45,0.6896382448777365,0.005053256189107712
