run_id,cluster_id,cluster_size,mean_within_tfidf_cosine
current__adaptive_diffusion_cosine_subspace__binary__adaptive_common_mode_01,76,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_common_mode_01,77,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_common_mode_01,78,2,0.34023667598352647
current__adaptive_diffusion_cosine_subspace__binary__adaptive_common_mode_01,79,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_common_mode_01,80,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_common_mode_01,81,2,0.17699429568169756
current__adaptive_diffusion_cosine_subspace__binary__adaptive_common_mode_01,82,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_common_mode_01,83,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_common_mode_01,84,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_common_mode_01,85,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_common_mode_01,86,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_common_mode_01,87,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_common_mode_01,88,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_common_mode_01,89,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_common_mode_01,90,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_common_mode_01,91,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_common_mode_01,92,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_common_mode_01,93,2,0.5398593786065433
current__adaptive_diffusion_cosine_subspace__binary__adaptive_common_mode_01,94,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_common_mode_01,95,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_common_mode_01,96,2,0.16417252000649651
current__adaptive_diffusion_cosine_subspace__binary__adaptive_common_mode_01,97,3,0.12907275399098408
current__adaptive_diffusion_cosine_subspace__binary__adaptive_common_mode_01,98,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_common_mode_01,99,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_common_mode_01,100,2,0.038345900448089054
current__adaptive_diffusion_cosine_subspace__binary__adaptive_common_mode_01,101,4,0.2199897658134701
current__adaptive_diffusion_cosine_subspace__binary__adaptive_common_mode_01,102,2,0.15294335613556953
current__adaptive_diffusion_cosine_subspace__binary__adaptive_common_mode_01,103,3,0.08392371193702448
current__adaptive_diffusion_cosine_subspace__binary__adaptive_common_mode_01,104,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_common_mode_01,105,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_common_mode_01,106,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_common_mode_01,107,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_common_mode_01,108,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_common_mode_01,109,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_common_mode_01,110,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_common_mode_01,111,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_02_05,0,21,0.540717180003816
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_02_05,1,20,0.37944168609730133
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_02_05,2,19,0.2590694242137931
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_02_05,3,43,0.23046459704846048
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_02_05,4,47,0.11832614787292758
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,0,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,1,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,2,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,3,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,4,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,5,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,6,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,7,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,8,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,9,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,10,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,11,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,12,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,13,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,14,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,15,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,16,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,17,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,18,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,19,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,20,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,21,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,22,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,23,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,24,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,25,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,26,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,27,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,28,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,29,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,30,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,31,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,32,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,33,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,34,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,35,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,36,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,37,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,38,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,39,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,40,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,41,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,42,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,43,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,44,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,45,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,46,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,47,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,48,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,49,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,50,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,51,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,52,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,53,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,54,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,55,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,56,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,57,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,58,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,59,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,60,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,61,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,62,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,63,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,64,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,65,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,66,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,67,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,68,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,69,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,70,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,71,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,72,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,73,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,74,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,75,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,76,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,77,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,78,2,0.9897179652757888
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,79,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,80,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,81,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,82,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,83,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,84,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,85,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,86,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,87,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,88,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,89,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,90,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,91,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,92,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,93,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,94,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,95,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,96,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,97,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,98,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,99,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,100,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,101,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,102,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,103,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,104,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,105,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,106,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,107,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,108,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,109,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,110,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,111,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,112,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,113,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,114,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,115,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,116,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,117,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,118,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,119,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,120,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,121,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,122,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,123,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,124,1,
