case_name,case_category,variant,threshold_policy,minimum_projection_dimension,status,error,true_clusters,found_clusters,ari,median_test_projection_dimension,median_raw_mp_signal_count,raw_zero_fraction,median_effective_independent_rows,median_mp_threshold_rows
phylo_protein_12taxa,phylogenetic_protein,leaf_only_floor1,leaf,1,ok,,0,12.0,1.0,1.0,0.0,0.9385474860335196,9.0,9.0
phylo_protein_12taxa,phylogenetic_protein,leaf_only_floor2,leaf,2,error,"Cannot fit sibling inflation model: no strict-null or stopped-edge empirical-null calibration records with positive weight. Found 179 selected non-null positive-weight record(s), which are not valid empirical-null calibration support.",0,,,,,,,
phylo_conserved_4taxa,phylogenetic_conserved,leaf_only_floor0,leaf,0,error,Zero-dimensional spectral context can only be used with a zero projected-Wald contrast.,0,,,,,,,
phylo_conserved_4taxa,phylogenetic_conserved,leaf_only_floor1,leaf,1,ok,,0,13.0,0.878435817512043,1.0,0.0,0.96875,18.0,18.0
phylo_conserved_4taxa,phylogenetic_conserved,leaf_only_floor2,leaf,2,ok,,0,13.0,0.878435817512043,2.0,0.0,0.96875,18.0,18.0
phylo_conserved_8taxa,phylogenetic_conserved,leaf_only_floor0,leaf,0,error,Zero-dimensional spectral context can only be used with a zero projected-Wald contrast.,0,,,,,,,
phylo_conserved_8taxa,phylogenetic_conserved,leaf_only_floor1,leaf,1,ok,,0,8.0,1.0,1.0,0.0,0.9622641509433962,11.0,11.0
phylo_conserved_8taxa,phylogenetic_conserved,leaf_only_floor2,leaf,2,ok,,0,8.0,1.0,2.0,0.0,0.9622641509433962,11.0,11.0
overlap_heavy_4c_med_feat,overlapping_binary_heavy,leaf_only_floor0,leaf,0,error,Zero-dimensional spectral context can only be used with a zero projected-Wald contrast.,4,,,,,,,
overlap_heavy_4c_med_feat,overlapping_binary_heavy,leaf_only_floor1,leaf,1,ok,,4,1.0,0.0,1.0,1.0,0.02404809619238477,3.0,3.0
overlap_heavy_4c_med_feat,overlapping_binary_heavy,leaf_only_floor2,leaf,2,error,"Cannot fit sibling inflation model: no strict-null or stopped-edge empirical-null calibration records with positive weight. Found 499 selected non-null positive-weight record(s), which are not valid empirical-null calibration support.",4,,,,,,,
overlap_extreme_4c,overlapping_binary_heavy,leaf_only_floor0,leaf,0,error,Zero-dimensional spectral context can only be used with a zero projected-Wald contrast.,4,,,,,,,
overlap_extreme_4c,overlapping_binary_heavy,leaf_only_floor1,leaf,1,error,"Cannot fit sibling inflation model: no strict-null or stopped-edge empirical-null calibration records with positive weight. Found 599 selected non-null positive-weight record(s), which are not valid empirical-null calibration support.",4,,,,,,,
overlap_extreme_4c,overlapping_binary_heavy,leaf_only_floor2,leaf,2,error,"Cannot fit sibling inflation model: no strict-null or stopped-edge empirical-null calibration records with positive weight. Found 599 selected non-null positive-weight record(s), which are not valid empirical-null calibration support.",4,,,,,,,
overlap_unbal_4c_small,overlapping_binary_unbalanced,leaf_only_floor0,leaf,0,error,Zero-dimensional spectral context can only be used with a zero projected-Wald contrast.,4,,,,,,,
overlap_unbal_4c_small,overlapping_binary_unbalanced,leaf_only_floor1,leaf,1,ok,,4,4.0,0.5000975768285938,1.0,1.0,0.13283208020050125,3.0,3.0
overlap_unbal_4c_small,overlapping_binary_unbalanced,leaf_only_floor2,leaf,2,ok,,4,4.0,0.5000975768285938,2.0,1.0,0.13283208020050125,3.0,3.0
