# KL-TE Clustering Profiler Results
# Generated: 2026-03-28T14:00:26.388027
# n_samples: 200, n_features: 150, n_clusters: 4
#
Component,Description,Time (ms),Time (s),Percentage (%),Call Count,Time per Call (ms)
tree_decomposition,Top-down traversal with statistical gate evaluation,964.6464159886818,0.9646464159886818,50.29266243899483,1,964.6464159886818
full_annotation_pipeline,Combined Gate 2 + Gate 3 annotation (orchestrator),944.8905000026571,0.9448905000026571,49.26267093393134,1,944.8905000026571
data_generation,Generate synthetic feature matrix,5.6072909937938675,0.0056072909937938675,0.29234089141258945,1,5.6072909937938675
tree_construction,Compute pairwise distances and linkage,2.1021670108893886,0.0021021670108893886,0.10959826742391715,1,2.1021670108893886
distribution_population,Compute node distributions (Bernoulli parameters),0.8195410046027973,0.0008195410046027973,0.0427274682373223,1,0.8195410046027973
