gene,mode_11,mode_12,mode_13,mode_14,mode_15,mode_16,mode_17,mode_18,mode_19,mode_20,mode_21
SRSF2,0.22880320711368304,-0.1308880884613889,0.14642571415998876,-0.060372992191518586,0.03725970122344619,-0.02329293026631762,0.005265718887281504,-0.08584842798877516,0.02863345417359899,-0.026794045616074447,0.03169614393723928
RARA,0.03687991084717743,0.07924385383482757,-0.019267258715460336,0.20700228444461408,-0.07297720164821991,-0.015203596809054797,-0.07085692222138204,-0.04108762271574307,-0.10961723637863395,-0.09814777819409941,0.05106881654903349
SMC3,-0.02006535125956019,-0.1275776862764319,-0.02783685432334623,0.039068203505501456,0.06189259795345653,-0.13114471268405475,-0.18605098302302717,0.011190511937539137,-0.03761684488777607,0.13107985467597916,0.07173279624057563
DEK,-0.07005657738655852,0.06243878346880084,0.059769663845555175,-0.004161013616293187,0.07703540305863861,-0.040636096785378585,0.0489082898544689,0.03338291456661387,-0.18982404143936704,0.14640549529276067,-0.03423450331380934
TET2,-0.014383432701004537,-0.001064319310587811,0.056660549282924265,-0.14121056687218886,-0.05006532061600608,-0.1808749540126921,0.11821198314818805,-0.35234993545894094,-0.011746572581728561,-0.2763048598068277,0.21807789010066864
PML,-0.04347406227411935,-0.05232531457422787,-0.028605520309853482,-0.0400151036417218,0.14606047356968097,-0.0427812876006703,0.131548301464639,0.06094283667559243,-0.03809855084884996,0.07014443019388658,-0.010721013189554164
TP53,-0.05012347572067209,-0.021282620981183567,0.004420684783179385,-0.04889045284020862,0.015122743712847525,-0.0498419161439693,0.09839819089274054,0.03130001190460091,-0.05717630905508299,-0.03994237513646812,0.0026985227237971187
SMC1A,0.03410408064075443,0.05182247422380349,-0.011895869913976011,-0.20515451123424583,0.12349298894326796,0.16826265028671175,-0.07611330629073858,0.04137305914289608,0.05941546857829865,-0.0002481119551744797,-0.005991420101945346
FLT3,-0.02989923085332612,-0.03406779073675543,-0.17227615890070708,-0.0246477675685637,-0.054807571541554745,-0.027668053409447863,-0.026973099368718972,-0.06717213753633744,0.007829840506693183,0.017907362159705967,-0.024561634418148376
RUNX1,-0.031045755047053997,-0.003092054237750517,0.05572723160034405,-0.07275857695371274,-0.0587477547858137,0.03233908471455566,-0.04376703092406829,-0.05451484388031618,-0.06431598581858419,0.09606806261200589,0.0007610415846734682
IDH1,-0.0569103793853242,0.016985875239334643,0.05414853524260153,-0.0422497968293333,-0.09311345654142678,-0.15580544117281886,-0.3429636363916605,0.09663080356351303,-0.08452058382169865,-0.11794925385362245,0.13859805640888087
SF3B1,-0.3806542146444974,0.11963283744220507,-0.22679622099106214,0.013177125002308018,0.025701032411463598,-0.043253205027996115,-0.039763051819867994,0.07154657691740186,-0.006961439858478107,-0.053099517413466385,-0.032539629059879345
WT1,0.05558388394077422,0.023937763641183153,0.06705016296977825,-0.08316890105314707,-0.11215491470957,-0.048555192561272,0.012867426457517423,0.10447547349882927,0.14422160676940082,-0.1062987040063388,-0.003793615101428778
NRAS,0.03335617863675586,0.004146349746873446,0.26372302218921173,0.04295738099372996,0.05949912577412642,0.012723583019444562,0.03902092324828646,0.015056897019208326,0.019007395305855834,-0.012586348720636173,0.018892292787579933
KMT2A,-0.039966168694458196,0.23653083263128621,0.06378626025803928,0.022867032478917252,0.046042029809281876,0.043660151948130076,-0.01028041093425162,-0.033017286192681315,-0.13732584488206873,0.12323155433130606,-0.09467588909339657
BCL2,0.0791130450679088,-0.026617382834002192,-0.09304108487285741,0.04386818365266638,-0.10768676839942848,-0.11767157293703871,-0.14858623402597632,-0.0690421063296263,0.06697188178180837,0.14348723441290176,-0.06546100254018455
IDH2,0.06965693158644701,-0.03618272645892169,0.012467497855128653,0.02518722544212105,-0.05868084016555045,-0.13679038717746947,-0.09479283939511765,0.17984254746029912,-0.20341170206308087,-0.2544582223871173,-0.1748527167065543
EZH2,-0.09478298858385215,-0.3646303848723528,0.11980218428530603,-0.02724240499197706,-0.18437038543579606,0.05367785206873683,0.04889269398452037,-0.015063266181510711,0.0361117790500552,0.09139354776138829,-0.03905599017856567
ZRSR2,0.16101871035496002,-0.10247511943300167,0.11106929958216463,-0.03670475279529874,0.035867547270439705,0.03909147775985759,-0.050212470594164914,-0.13288360862475013,-0.04153035384448594,0.09665408827303232,0.09137323169824989
RAD21,0.026395635022068084,-0.008436782858193775,-0.0069568083727357686,0.029573499874683665,0.04129126086997006,-0.08997279302217813,-0.12189052996866395,0.0020231895168318684,0.013065822679667782,0.00854972080327284,-0.0183695757771205
KRAS,-0.0884841349179042,0.0146107837371133,0.22563820257409758,0.03415053021217237,0.08531056836432976,0.023078337727911586,0.05049666029011352,0.03177349817137735,-0.024904787410559234,-0.026622204837186796,0.017891907991289334
DNMT3A,-0.19209689861625465,-0.2550177782848361,0.12342685016016343,-0.09611203810210736,-0.01766229956921042,0.011393200416226311,0.055581439121909104,0.017653145621269798,-0.12515013277194795,0.1416145737798618,0.05428012180749098
ASXL1,-0.07374591995735023,-0.24114854740962252,0.06144863041397892,0.05899213795706861,-0.08908884805561466,0.08926840377871426,0.025091211984261383,-0.040024499530892016,0.049854762571326636,0.016634549672542343,-0.08597177047945177
U2AF1,0.2269035449867775,-0.13468212752088213,0.024508359686216844,-0.11138995553265171,0.12131929454983316,0.013032791041458505,0.09651528773715247,0.1213690880314587,-0.03689063132025504,-0.1329050423287863,0.04903304832450727
GATA2,0.13379271433688722,0.04927449533025257,0.019052610254238576,-0.36160600801395765,-0.15675287322956297,-0.4028930994918421,0.1767561864167292,0.12839020679622062,0.1297435854459002,0.12288521089902953,-0.1940388272293983
CEBPA,-0.042454130160587085,0.29107845557677453,0.10751944272702844,-0.04160459407539901,0.06233066483738653,0.12106741636559476,-0.01925859324837951,-0.0028480542037690668,-0.07646153704773571,0.06943238690906789,-0.03444510625783527
NUP214,-0.054046529485486085,0.05812619016063712,0.03938816483601081,-0.07287124357219754,0.06759125501611149,-0.09110036432336768,-0.04834287902596399,0.0249186152150174,0.015163050666202153,-0.059471519151994404,-0.01891247253661905
KIT,0.0016968604567406099,-0.021371966996485654,-0.17129969290739397,-0.04163634214781989,-0.03043648410608473,-0.04279329594446618,-0.013308614792173264,-0.050627097201641075,0.0018386362899309582,0.01152300304919623,-0.005940277246481048
PTPN11,-0.012734248263640084,0.0007101556605271825,-0.142146979921653,-0.029234801377816793,-0.02050441384930721,-0.02842718092398031,-0.0214175691995602,-0.05714234301729218,0.019218744843869116,0.00030393821395252883,-0.01653550221722583
STAG2,0.08301956907170137,0.07706409582788384,-0.03622060271186796,-0.09656918587212455,-0.03501218944164905,0.03346610473338962,0.15102725823531898,-0.04484293480367954,-0.00987556917223132,0.018865453288547007,-0.004795748674768743
MECOM,-0.01189476640965712,-0.08214943440725422,0.010892699958236125,0.00508014492879086,-0.006464220721571195,0.083036169058315,-0.027264417306496244,0.008084109446365766,-0.03391976000459907,0.01822518775307879,-0.04859776115262585
NPM1,-0.5295193072783937,0.12189416220432348,-0.31450678762924145,0.04784831931512593,-0.11997370049327877,0.025974369700377847,0.083491591221791,0.1755801678363003,0.041096639102940695,-0.047184191335234306,-0.10424245433817277
WAPL,0.020805307859728863,0.012376699757353834,-0.07207245008940713,0.04691742516144138,-0.017660307913381763,0.002562577546195785,0.014234508360930445,0.06358809873286236,-0.021441917122334567,-0.004148140912746826,-0.06619911866801179
SMC1B,0.020135504703812247,-0.030472626136846984,-0.016434484684023077,0.0438138048291954,0.07274384480715954,-0.05574194380776951,-0.12021030952752833,-0.04136653259444801,0.05770968209233932,-0.008333016833408244,-0.016344895725056086
CDCA5,0.1274317839000019,0.08911482715798763,-0.07785233154738634,-0.23419811638423216,0.08515104020241766,0.25697432242473445,-0.04429526770524303,-0.004972179929329547,0.10769727026324337,-0.04122479297752594,0.028144405139896356
SGO1,0.15150648887292065,0.11347870888045145,-0.05524197477958726,-0.28528599434797386,-0.010457042354488867,0.43827406701835525,0.10522534943187287,0.056141959497174966,0.1802573336184437,-0.062429433151684026,0.09896348973136516
REC8,-0.06576464513650171,0.053123961733012565,0.18591149124749723,0.1110834426047917,-0.1511442096208993,-0.008487019421926915,0.025995185130693793,-0.034144431783739305,0.07273012213234836,0.10363263879801636,0.11185284075215737
MXD4,0.21089818986755987,-0.05151343332028352,-0.09941559881949434,0.19954032309775205,-0.3773222538876798,0.11477928635915635,0.23121363829140024,0.013095065049682986,-0.061816804029437886,0.025778279294785048,0.08813899760115851
STAG3,-0.02004002827591046,-0.12746576402655269,-0.027820936879015594,0.039075709152809425,0.061958444498118985,-0.13131082902494598,-0.18637159570413694,0.01122285997129936,-0.037746399045537504,0.13161086021156804,0.07207141057845096
NIPBL,-0.02523129304134531,-0.08749789757843471,0.05051536905043592,-0.01038834123632128,0.0551153047274767,-0.10895279546999505,-0.10733023436056438,0.013320894205821035,-0.035085676227694415,-0.029882320198835275,0.0047835612139629
SPI1,-0.06071019465089797,-0.11856660162396887,-0.04984518013914915,-0.05285745520572794,0.05537498856635851,0.005475747695954556,0.09936014436713618,0.11341758935901838,-0.1933968703039133,-0.0020868727934681836,0.10602924210212367
GPR31,-0.08769569885685123,0.01686072947528907,0.2272688934848197,0.03662232666417061,0.084453256048672,0.02546209083548351,0.051620365445502595,0.03483292481945627,-0.03410451895766347,-0.020616506933573624,0.013165758094052508
STAG1,0.22001458435620078,-0.004352939913528688,-0.05306110137472267,0.09007077612254882,-0.3936304069670541,-0.008719117274109608,0.4795212847019951,-0.03553200143759066,-0.12054943578101075,0.0801888121778877,0.012167014443908998
NXF2,-0.020453632643757186,0.05435575119625624,0.02419796512690514,-0.06030479134347039,0.06408748466753192,-0.06152589874009729,-0.03145731360088637,0.031845032546223874,0.007616200401149147,-0.010173759513591134,-0.03650600883529499
CARNMT1,0.1796657970754645,-0.0859079901251001,0.08511139172756059,-0.030858051942028706,-0.0048061297140516,-0.026924067607463326,0.01736712762674654,-0.04526825530935212,0.016372589666890973,-0.01241144875025086,-0.04585996364901624
ELF4,-0.10785078691512821,0.02620437451956701,0.2064935728171642,-0.023070291816800162,-0.12706019885686545,0.019785656502856006,-0.08841987565088402,-0.12762113893512933,0.09843653187422531,0.12879275168417367,-0.04651973263639126
KRTAP10-3,0.11391018309748639,-0.01945943740856947,0.06283868235162482,-0.16727454527935195,-0.12087049508774642,-0.21197463553549786,-0.03898962967643841,0.20314227325908263,-0.11373990046089849,-0.2398699807850009,-0.4823399058836416
AIRE,0.024283236868971356,0.055397969450301905,0.0007702156853799438,0.08099262580348243,-0.08008812249074838,0.003254305049630345,-0.010881061789154782,-0.0027294598247295824,-0.0737824333149697,0.022869592047595515,0.02075477307971124
ZNF513,-0.17369146172251687,-0.27403265172561597,0.08954025512937692,-0.0025405480139064148,-0.14823113018875855,-0.07030799060957332,0.07600355062377476,0.06688122684571703,0.007429308168723064,-0.14325467038466866,0.05474264133164218
SLA,0.01328352781307289,0.001920449977290771,-0.14890418588007737,0.08013065837882159,-0.04304721555277446,-0.04309266781648021,-0.029453375001435942,-0.08117991203033967,0.055934247712876174,-0.05516724913339318,-0.0032917803710993945
ZRSR1,-0.4187629467954293,0.08880365316993148,-0.2674970259555327,0.020514852485876006,-0.10201696841800244,0.048140964832734515,0.04161823089762048,0.1031563081301591,0.0185457693441779,-0.021421181777121715,-0.05293168972043564
SRRM1,-0.275112330135466,0.08140733670991551,-0.24302235213070597,0.04084091010740045,-0.09649505352753161,0.07922731425734807,0.07546366023961616,0.06535575530389148,0.0005217143356591983,-0.001317435316715938,-0.0023384606753653198
ANKRD11,0.19412185312830446,-0.11078681630139746,-0.09955611121499594,0.3308659075274878,-0.03477224371641014,0.04277644152781157,0.10977367093321168,0.02520408775941508,0.1346145665376818,-0.14718778528428947,0.06736777685798348
CIRSR,0.3260173176216809,-0.11798646742328857,0.1592565117929618,-0.10044495100630772,0.0030049277642804186,-0.06659078138088194,-0.052102129563300875,0.057834428858162194,-0.058458415535277815,-0.1922507081838333,-0.23562587655271625
ZNF207,-0.1258031703591104,0.18767307806223413,0.10322025926576545,-0.041950725129432945,0.12882104326205474,0.022401607116588534,0.022340121140829727,-0.16517456457468843,0.0854809775479423,-0.12148831125687438,-0.022073873205910487
U2AF1L4,0.21788136027915014,-0.1494823117178671,0.1719981962867224,-0.05556471874702112,-0.02013920588106083,-0.021952009836216625,0.012305729840303625,0.011202522891982843,0.09830888719458047,-0.04043529942603176,-0.0259693263257551
USP37,-0.12242674858535432,0.05579655366291313,0.09108833884711824,0.015500885294694833,0.009782916646784635,0.004912697386795148,0.038032708982146515,0.03179215205908487,0.08278174226883091,-0.06622350344906526,-0.03223072399893522
FMO3,0.07572032127924982,0.010722620453354745,0.3363494021267331,0.12632567379884405,-0.009782072099026156,0.06879223949108584,0.0001665150345958006,0.2367656944980563,0.025901870492232353,0.06480536892245216,-0.027950708853922326
ADAR,0.08313891436988542,-0.04787076483692405,-0.028307095475899297,0.02151715797593966,0.012284579502231266,-0.01926926855038266,-0.03028301785620943,0.0024141458294604434,-0.13038941022358658,0.08348413216788535,0.051649104580651396
SH2B3,0.0044569855958471365,-0.03620869478534397,-0.18323249838385966,-0.022621686135351954,-0.03451637453422677,-0.03243446058630382,-0.0229970502921018,-0.05125675184546992,0.03533121069153581,0.036538439031341796,-0.029544457842233005
SSU72,0.2777369563522517,-0.05241753765906514,-0.029712710805383687,0.09937642603538453,-0.26526675398217175,0.0865259351924999,0.13627560317273216,0.0031782346990238447,0.09229306153008408,0.013648214576914694,0.08355051420944924
SOCS1,-0.02411754195631487,-0.0512934117302426,-0.21539151722240327,-0.08201261334036802,0.004773958754639222,-0.05002007962753007,0.0407143418370291,-0.004196811050453484,-0.0865758426829696,-0.008021058080419897,-0.013628644249447317
PAF1,-0.0906808001802953,0.3286830627046246,0.09848403791133943,0.05041832985762614,-0.10010343047979654,0.021582212714034398,0.07647658295696909,0.11947751197064127,0.00958842254309529,0.047999993581657144,-0.08374547314553062
USP13,0.006165310025715896,0.02113354923926877,0.05811615546498649,0.11366194073689165,-0.1117332054407269,-0.009943258945219203,0.04917398047581203,0.015939042024963688,-0.1533253409946089,-0.00400498792084427,0.10183279481441743
TEC,-0.016317171798302037,-0.02679544552258709,-0.2233441410318134,-0.08005432092933512,-0.023842270843121963,-0.05110398117165713,0.03337720127130547,-0.0419611426991672,-0.04314094810298338,0.015227456216293463,-0.02020046601103681
RGPD2,0.02020492142954069,-0.0014071861839831518,0.026031206065906438,0.014202946439895702,0.0387788843538866,-0.07401482278147078,-0.020017077005304893,-0.0838528015745455,0.019164757780599395,-0.03753391812330028,0.02034183793307037
WAPAL,0.016548075460032542,0.020049921427418082,-0.040477572714472616,0.09300546431165069,-0.004531643555421973,-0.016911472894286614,-0.05166134149258178,0.011303494030694337,-0.0112452442445476,-0.02642241017087361,0.014672315351923145
KAT6A,0.05477199222009766,0.12060285527498404,0.001828659587141204,0.029321551134714737,-0.05154798819111672,0.03677802192817543,-0.11254992480500162,-0.11527359946952757,-0.11736046187183402,-0.0007503472767176198,-0.06397285556818874
HLF,-0.03172823765252644,0.28943299764415137,0.03057524995847182,-0.06471517362170341,-0.14522438399159435,-0.06239383730405517,0.007381343990445688,-0.36219323502903095,-0.17123734173586574,-0.12068797385224399,0.10174182188030087
HRK,0.10246182328929786,-0.04241318234325075,-0.08106908297038846,0.07004986245048388,-0.10137500374014229,-0.07904542901623236,-0.17063118303084165,-0.050686985286104845,0.14160243417409485,0.16329406143855135,-0.04887444756158072
BNIPL,0.05711495669882525,-0.058485306974930824,-0.060520517139600744,0.08410621194227996,-0.11871072983202338,-0.140322657181847,-0.1269168434518931,-0.0821073417390418,0.03424685055990158,0.07023564294979565,-0.02147129619592077
GRB10,-0.0130632010707912,0.003883726507232664,-0.04172481713118004,-0.03357697517283765,-0.024078067105378104,-0.06030661237680481,-0.0026582736435714904,-0.13322924906913075,-0.00270910641004009,-0.01783606900521544,0.02495285857474295
MED1,-0.034938389503706195,0.3171719072873091,0.08299155678039531,0.17423668585912655,0.00937005693069988,-0.11720037580305759,-0.05042435420249461,0.07856326436229556,-0.06152948088896776,0.00899081586143904,0.024293537536377568
NUP93,0.0016194963043069145,0.004149160069201384,-0.0028659384782127764,0.04128712339172661,-0.0026576331430239763,0.0176920927502838,-0.005302812806686272,0.012521330438021094,0.007955417442767902,-0.00860411012188578,-0.0009258935341188966
PDS5B,0.12761933376886841,-0.016577313835541493,-0.062160187742599994,0.03178355063855919,-0.21780808646063005,0.12404729124409085,0.33806347414057053,0.10318074549004862,-0.11962614301921913,0.06044503433579977,-0.13717173063859522
CBL,-0.019346620148023175,-0.014735728341214805,-0.10371764544895218,-0.03040019064504368,0.06243298219011266,-0.0750609646470687,0.06226671534620055,-0.05100808594281122,-0.03859071671848446,-0.07371911016121661,0.036360963578080295
OVCA2,-0.010577866347682098,0.027375404120071566,-0.0967456766462586,-0.020469271741034495,-0.031132055304523194,-0.05704230352113535,-0.013530314050177445,-0.044404659940579974,0.0200179995474893,0.013179990963210458,-0.03319642241612649
PDS5A,0.07303887935666402,0.016387649401415055,-0.06359276085270571,0.04727157568262915,-0.08823173555786239,-0.044615534546971564,0.11013019868433464,0.00018754149274545408,-0.10072815088010172,0.0032309894496284582,-0.010797324656498936
RBM15,0.13928300819231584,0.007174964840915159,-0.04497878445910614,0.07308465026530682,0.15569947256941116,-0.13907662402178328,0.035232907770414774,-0.15442635051914605,0.03370147872828075,-0.015270749262533129,-0.06624001416036188
TFEC,0.05329645217134109,0.06808180668229037,0.08224363488435524,-0.120161119090811,-0.04227325250175113,-0.31585143686939693,0.4152277701598128,-0.271268536426511,-0.10173684233305583,-0.02393185716408139,0.0033052188805049796
C19ORF43,0.08520256746903095,0.3917887457573511,0.14741043982294805,0.06868480617591864,-0.035741076616065126,0.0010706894865295197,0.02819534732940311,-0.06376541641460767,0.024117100758606985,0.056199363981679816,0.016909460983291307
ZFPM1,0.06874985929705896,0.042910488362030125,0.045368763889017796,-0.34387671348906423,-0.06796207427200997,-0.2997778672252513,0.06135907596880595,0.1893788774376139,0.08490766982963563,0.03690900912764057,-0.1560977081630221
RADIL,0.04114176149928107,-0.020804945372688958,0.2045667349986417,0.08046816845390224,-0.0006144727214645065,0.08117771981865403,-0.020269411020147964,0.07615850041397301,0.028908493152929333,0.0022822317496328545,0.017508038577362023
HIST1H3A,-0.21079656188408444,-0.08989967819677167,0.12409077272304482,-0.02531125148710475,-0.0004589926079806612,-0.09040642315193824,0.004014684683729622,0.062093445281896774,-0.02596020725998102,-0.049345111643451595,-0.056745631091209336
ZRSR2P1,0.19785099774822734,-0.0945369489182082,0.11627275986889081,-0.03221933015751662,0.015558204070871488,0.026951289363820956,-0.04845832129099113,-0.09486335538409574,0.021723521426500022,0.07941167558897701,0.06888735713882793
PIK3CG,0.030505253634200334,-0.01595929176901226,0.0688510486888423,0.03955558797786932,0.00034328037840523754,0.030289274321610906,-0.04114669971488381,0.042311764768862496,0.03199533439650187,-0.005111164020624221,-0.009822228053898123
IRX4,0.08593441833367861,0.054049972166699246,-0.072389124671836,0.27722772905885273,0.006667969463693916,-0.04704345230669692,-0.013927932785774685,0.012337437012158961,0.061910368436712965,-0.2311244719315635,0.015139628795855991
CITED1,0.10914661097082164,0.1605280969878581,0.043758286704462954,0.009419469188914707,-0.31125158861803076,0.12227238611386532,-0.026457535774814602,0.02071651114919002,-0.09962257129784136,0.045878815863556174,0.11194826561247784
GPATCH11,-0.09381692122617466,-0.01531728173168376,-0.030221076210447135,0.01082418749348808,-0.002790241600536585,0.07576546899891969,-0.01645041664671069,-0.06129305237191016,-0.05900726094696019,0.11548446306618737,0.07286666595695813
PPP4R3A,-0.035951384114476,-0.05326411821982473,0.07701160585752888,0.09623317701398341,0.04336695299139168,0.1650698127476026,-0.12011441870096375,0.003712415744131869,-0.11251985264194009,0.023307457990571594,0.07653060997989385
SUV39H1,-0.2233005873404413,-0.44281906323334785,0.12914691048329163,0.0033049889708722338,-0.05179258750863576,0.03754408297015321,0.09170332231866521,0.022536654383572174,0.09177843585266965,-0.04886474926040225,-0.030642428036266846
KITLG,-0.002666946033527439,-0.0077093228265552914,-0.038865815021008755,-0.022513372289014594,-0.06878632158624191,0.0006932451515485634,-0.017689830019886457,-0.005333055808880498,0.02140758734202245,0.03318076483410267,-0.05031931825470214
PECAM1,0.027340491186086235,-0.005404827012451844,0.030069928509635833,0.0037780189957893925,-0.03162031665246433,0.080894049454488,-0.07107987562956435,0.042498857996873314,0.020918274304748206,-0.028876499474074346,0.0566173709242344
HIST1H4A,-0.07245484486135377,0.08863640772304121,0.08876814344914133,0.0075604394428026135,0.08665589915866369,-0.14372300026771745,-0.0793589008935741,0.008232071867233766,0.06572742065041437,0.0014279836303625385,-0.03995657444125396
AVEN,0.06128027993109841,-0.04044683486241399,-0.12146410661762741,0.07116058765542112,-0.16449574715063517,-0.0408467339076236,-0.16961328806710468,-0.023761465515533067,0.18381237931347305,0.13602781435441078,-0.06601196626453618
MAU2,0.06589111967816849,0.012420108767473872,-0.11485294962456642,0.073416358399565,-0.08414838439857403,-0.0846505562707819,-0.05632558672152978,0.023351510561857032,-0.010320298032190246,-0.07215193164978244,0.0733963318750913
PAWR,0.06726009535006397,-0.0005721525608215736,0.2273502887917397,0.1404416046067747,0.09867839765602969,0.0462231000855914,-0.0017275483813297856,0.20599203495610885,-0.13317244695462863,-0.017770065814983128,-0.0049090929539207405
MATK,0.004423308833124827,-0.030964731454201665,-0.06381008939062485,-0.004902098689094222,-0.01669811481380538,0.0053070808241607636,-0.0451406095668192,-0.013062884585308812,0.021437676119949612,0.019205123812139468,0.0012236919349180343
RGL2,0.06775688647644117,-0.008308026682619192,0.3174944832076663,0.10928925545156504,0.010650989886674832,0.10152369481646546,-0.07986929726179143,0.22458983369572633,0.061262806619297304,0.03861257155672709,-0.04732545462454647
CDK1,-0.03681262853922215,0.09354693118338989,0.0911215315903613,-0.09427613980403424,0.07429663251525699,0.10414690827247203,-0.09423220546237487,-0.04407335469735417,0.05445338502744731,-0.013287590097514679,0.023035243065389968
BCOR,0.23264085871355467,-0.010765274261611321,-0.2406417102831671,0.15114140289703,0.11013222846013504,0.005701687981454821,-0.07623578506524718,0.0857422087176918,0.08525298865278956,0.00545605973024477,0.04166867679440577
CELA1,0.020490047801333247,-0.026513786208398414,-0.07584985622295692,0.02982181016268579,0.08633822840674972,-0.19820565102478788,0.11363248367271746,0.2561007261683767,0.06476621072735785,0.17356641216106122,0.32809673092928254
CSN1S1,0.03458338019333119,-0.008059378894694103,0.022224222761291875,-0.04984442702471775,0.05841400228906423,0.007519503528462308,0.015488631370582304,0.11712115915316176,-0.06934851855355874,-0.19184889723323564,0.056662318507623884
CBX7,0.1288459890327902,0.0047423398513668285,-0.09079337466721212,0.03589547743568975,-0.02153855694154695,0.08101504314082902,-0.1474245318772808,-0.05190203901964022,-0.13181570960064437,0.07004282404807691,-0.07043148083791279
ZBTB5,0.06249487228411955,-0.06891099203764549,-0.09017741583100058,0.31793247671138686,0.05440752557271991,0.02448769640004333,0.023388382102228017,-0.020953713176281724,0.23261397541980017,-0.2996173889808349,0.004386964149172219
PCGF5,0.18707433470407825,0.0036147002396286886,-0.16709471789908395,-0.09810024784133037,-0.009527267160539497,-0.0037739629519406813,-0.11712583138770302,0.0024954226157702666,-0.010415348205324212,0.07168081980802875,-0.037263097711377154
HAO2,-0.016107954997616844,-0.007368941370668687,0.01067169834572709,0.03729126406361546,-0.07433522546962971,-0.08094750743582277,-0.15397002930216291,0.06913702236370398,-0.08605088026726918,-0.11034331528097868,0.00447878260319093
KDM2B,0.11771334954798411,-0.002108424428528722,-0.10068364325755803,-0.06692505286883722,0.007661583459094931,-0.06944705518893347,-0.04879765050840611,-0.02997571721258566,0.020759914932148047,0.007175396574840779,-0.07614751929564927
ZBTB7A,-0.08518063052890966,-0.12030578111066313,-0.03992369464927831,-0.06331066141907553,0.05023328720713048,0.007084039078821881,0.054634819379728194,0.10304536504224972,-0.13253082816714448,0.03291649499583682,-0.005331883796873867
PCGF1,0.1490319655416999,0.23595337868383465,-0.120675199110368,0.06565842972797532,-0.026998271035212563,0.0025210676870172696,-0.11645413436968542,0.010907931437596642,-0.02491336300261883,0.06259614393084342,-0.012664563340965395
PCGF3,0.1212120790033923,-0.08843350112302717,-0.17859322962649463,0.022804415520108423,0.05484461460758837,0.0869616600843629,-0.040759039375815286,-0.04443529131753443,-0.036535344273352366,0.02703980440249867,-0.04566594367544797
L3MBTL1,-0.2751396094226247,-0.16046123318676603,0.2786115481326843,0.00377115070094732,-0.14169017672260698,0.040400402011133416,0.06733371493055704,-0.08652157938057635,0.23288757813825448,-0.004673503340984093,-0.05714316460374845
CARD8,0.08601235523636107,-0.02463245626494506,-0.008417460925226033,0.20978665702644797,-0.12318807326699852,-0.05273451712611058,-0.1136267325085324,-0.0790742597563841,0.09701487867554814,0.00983143087611872,-0.13409142202164834
NACC1,0.0892546425552711,-0.11110033655149872,-0.09219860594622828,-0.07341251570252151,0.01719293522120203,-0.1542672318619437,-0.029298237432046407,0.12821829589089112,0.2823043554802885,-0.0896424728666689,0.2015355417793414
PCGF2,0.12070599438760944,-0.0002862238928754079,0.027296914900763334,0.06920709522385801,0.06181389427770352,0.02469105814761062,0.030467052450855837,0.12799588728249092,-0.20460380217750934,-0.029529825320782785,0.043629782894006396
HSPA12A,-0.023331973729353105,-0.0011208492953078437,-0.027873106528748488,0.13389169296101247,0.40328665522604207,-0.16344151292664683,0.24372900041570955,-0.1362916903836045,0.06749706539255258,0.16447325993619022,-0.23285208795433954
MLLT1,0.013994697584243432,0.42552048051699737,0.10993284677865038,0.05396012016871157,-0.02312764415151904,-0.04113091401109017,0.09090205391314285,0.13980732020781306,0.20744993631664643,-0.00443798610944386,-0.002555015343419592
ERP44,-0.04437148396777076,0.022736715032268987,0.08892063758806569,-0.1555702342080559,0.043529868100992415,-0.25163846851060434,-0.029985813091499048,-0.1381591392825217,-0.07894842123940855,-0.28227148066258084,0.18101930931201282
NFIC,0.0576453626606082,-0.07878673548418577,-0.013894175954416898,-0.3093183421053853,-0.014821600506956181,0.05520367569472645,-0.0570308565380816,-0.004687155722721607,0.17508768344332143,0.10524012701225428,-0.08248630399648842
