gene,mode_02,mode_03,mode_04,mode_05
SRSF2,0.05318971196877541,-0.19605649195429517,0.5382986972188029,-0.07631920144569666
RARA,0.07787381674383638,0.36138649542845364,-0.0019049950496330924,0.09206416155794366
SMC3,0.22689367411188383,-0.4927008601175286,-0.17489390592207285,0.12822606869741118
DEK,0.13526934580910224,0.08288957481186163,0.15888652762031644,0.029131476581803258
TET2,0.040345339532987835,0.15172844529866725,0.060288498811494104,0.05492837148420014
PML,-0.0015816649582451763,0.1988427703829675,-0.09461561118630282,-0.18086916220778596
TP53,0.010411936943489634,0.12305837223462555,-0.12310898689007124,-0.358511433733071
SMC1A,0.1950785103662586,-0.47015465495455516,-0.09617635860325612,0.057820259256763755
FLT3,-0.7817663436755053,-0.04913217398985105,0.023988697686919865,0.11719310945675529
RUNX1,0.10093628467522014,0.3884649107980174,0.02685222876481813,0.11908739741528389
IDH1,0.0499421076014484,-0.12813452265861303,-0.1356503209738816,-0.18007948707778465
SF3B1,0.1104168648908439,-0.39849039228145894,0.38401199217996423,0.08777958493896977
WT1,-0.00244050573655396,0.05996966519662506,0.03355945620718143,0.03448732085211825
NRAS,-0.6626496942158758,-0.0703057823652549,0.014966454426474797,0.05306006830531406
KMT2A,0.17114612453980313,0.3466198640400009,0.08359664002521842,0.1915447236262253
BCL2,-0.07196964824477098,0.09006792461123957,-0.12066153140486947,-0.47433269596473937
IDH2,0.0013465735522561995,0.023231081480967825,-0.015313209136401194,-0.0676263801861314
EZH2,0.17327421916797042,0.060069421172611506,0.16628391088346064,0.09310412509093131
ZRSR2,0.050232878865708944,-0.18998205196197515,0.6431477988423031,-0.10771937438473
RAD21,0.21516027756837264,-0.5904144974071829,-0.1366481624313585,0.20577813264328543
KRAS,-0.6084005322482282,-0.10802573917726845,0.07556025671129879,0.05348042845392346
DNMT3A,0.13111190063332986,0.22343435588937127,0.02754729966463912,0.14686252037752778
ASXL1,0.06759188849151107,0.16752183676421326,0.03800842038208224,0.12310224026308605
U2AF1,0.012736757886594901,-0.09713493525851544,0.2616486260838176,-0.24020488986010827
GATA2,0.009330839276631742,0.09676517743906482,0.0022566401676000917,0.06135094041575496
CEBPA,0.1606066043483319,0.09045279817021275,0.01838169798999759,0.06596003522327422
NUP214,0.1039015781202718,-0.18847167363012715,0.39761525313736573,-0.2388440875537335
KIT,-0.7819118875926117,-0.0468220062685695,0.04134872156605429,0.11343434913137557
PTPN11,-0.793322474072593,-0.053191197445033415,0.044148527358742695,0.10475909734497803
STAG2,0.15287488555307963,-0.5798858815550895,-0.16939529936886963,0.143573079127843
MECOM,0.1790640979435995,0.011561789455553983,0.33252287153115817,-0.06703995580544829
NPM1,0.017509546427949843,-0.08546011403268798,0.34710390063112684,-0.07993967005857426
WAPL,0.19560169565794916,-0.5945297161610115,-0.24696716807162516,0.23824267792297385
SMC1B,0.23093524548401917,-0.549381075999143,-0.17880801084023917,0.15854957054587115
CDCA5,0.15815497476640056,-0.5785073085972869,-0.17539394076985787,0.1612556824951425
SGO1,-0.039302967890107565,-0.14746910287256573,-0.10973501109779729,-0.24925819306149558
REC8,0.08290869995738662,-0.13866294937987453,-0.21814011381878395,-0.1721269964465033
MXD4,0.09211191580792062,-0.13629067343523404,-0.036822684639246414,0.040983303584358546
STAG3,0.224870695658942,-0.4886226532551144,-0.173670203172224,0.12749299848026296
NIPBL,0.24138361815102008,-0.5566100510514891,-0.025992444278588833,0.24609369756639982
SPI1,0.0859540067793577,0.3468896991168392,0.04329248641928054,-0.006431142348639366
GPR31,-0.6087486503935924,-0.11467560842082974,0.0700878239327948,0.056362546314142704
STAG1,0.05005960807681853,-0.17587009462638323,-0.044987517568455475,0.028270208683635493
NXF2,0.10310233497460036,-0.173437966344565,0.4228630571295557,-0.2601280980222618
CARNMT1,0.03056897879756272,-0.10132351374128039,0.24063659537935067,-0.024344889371443856
ELF4,0.06677599230396698,0.1794689431074683,-0.14428183677987852,-0.11786668733485632
KRTAP10-3,-0.008774488294339685,0.008451930683937911,0.022617261835370973,-0.021504398271793373
AIRE,0.13221373871025788,-0.19343873647704665,0.42156127109322444,-0.1611457036063533
ZNF513,0.1101130139538756,0.11398323351176946,0.004333924268394576,0.07897532258976164
SLA,-0.63080228025508,0.01746037842135878,0.033243484877327006,0.1465019528816271
ZRSR1,0.010678388663886294,-0.15934096755764607,0.5720445302846315,-0.09283719863072729
SRRM1,0.04177182426989117,-0.23603678696581284,0.54709402971231,-0.07193040375291765
ANKRD11,0.1470385694101948,0.0488754404277521,0.12640035281976483,0.0025050549948055943
CIRSR,0.041559543146119655,-0.15270134953113146,0.401703378517348,-0.07734141513686654
ZNF207,0.14573983076406705,-0.05696955469331711,-0.1787115805302121,-0.05724596710169807
U2AF1L4,0.06552127279669867,-0.1724229436230523,0.4565423794422893,-0.046976638177974255
USP37,0.15849089429953625,-0.280958576060458,-0.34371601686872727,-0.18018026216244784
FMO3,-0.5462161572677594,-0.0755878740422527,-0.014827351746871479,0.06847182849161836
ADAR,0.1231279479261611,-0.4138014556678323,0.04068518356255853,0.15444770002147798
SH2B3,-0.7687796723732202,-0.05660566636293805,0.0213633526133193,0.1238830825409718
SSU72,0.10297404510832858,-0.2185503119650165,0.18885041588699866,-0.007393673139573699
SOCS1,-0.6942225239481392,-0.014636418423097444,0.005540768917987194,-0.05167932571621389
PAF1,0.10127323766454183,0.092710737476945,0.05563903844360936,0.15472994805246926
USP13,0.03213072392382893,-0.07437762415409126,-0.162484249900257,-0.13183039113999573
TEC,-0.7126014697400085,-0.014210253963472296,0.01132957572820012,-0.011465662998506352
RGPD2,0.06018132019580283,-0.17866043819396932,0.3801268879921005,-0.25560504007327467
WAPAL,0.18034301228236374,-0.5233036119238385,-0.23999010013874336,0.2358545788209976
KAT6A,0.13922687573267686,0.29506446837532285,0.07738624486002971,0.11622996513727674
HLF,0.0028273769101899776,0.20012372030722791,0.04448230134616064,0.0009332653257511133
HRK,-0.11211606483084484,0.07061761793347925,-0.13670487341159712,-0.5525747280814146
BNIPL,-0.0642031966917656,0.05290631030160087,-0.12728299452729525,-0.5048810183039026
GRB10,-0.7138914233667534,-0.039259738710422425,0.0194680864884156,0.03325939864141202
MED1,0.1301935473372173,0.2438415707441449,0.12317013013633567,0.13158813586485738
NUP93,0.11205967997889711,-0.2745960547546488,0.4182267167746118,-0.2582302131164903
PDS5B,0.10571783501268925,-0.3322111895273695,-0.1419652644268718,0.08274901776984896
CBL,-0.6874921977286906,-0.03229588442691794,-0.03364054535943564,-0.09196317845101214
OVCA2,-0.7382922365745224,-0.03254847281161705,0.023460704642028644,0.10271090322830101
PDS5A,0.1559170043529216,-0.5574834835565949,-0.20716764068445237,0.23473204317774332
RBM15,0.16767399375245776,-0.5188083726086266,0.0017114561508724583,0.11379311995197917
TFEC,-0.03664322127390337,-0.026853675560997353,-0.04585839125430898,-0.0426713201220642
C19ORF43,0.08094323156888063,0.04814880841559165,0.42322211456364384,0.07163876691314833
ZFPM1,0.021240356603054632,0.10775083659713423,0.0035405727985359458,0.0018729291673856318
RADIL,-0.7266567728851533,-0.09190707912373702,0.009313880693306398,0.11711526395330128
HIST1H3A,0.2047465778534896,-0.19959388289122165,-0.09187030373670366,0.2614927636374018
ZRSR2P1,0.06841918604827195,-0.18895976313985335,0.6296490621890962,-0.09711300884574356
PIK3CG,-0.7767451620647275,-0.06766476043475611,0.01943156097239798,0.0944906594298576
IRX4,0.11177343455151044,0.305997754727971,0.03507286729311067,0.15480491479944247
CITED1,0.02093953127785416,0.08262730805808745,-0.0911704146699458,-0.02926191252941634
GPATCH11,0.02995826282042323,-0.17214560262857773,0.5805143743061734,-0.08154242303219117
PPP4R3A,-0.03078328130172058,-0.06674852095499349,0.11797937117467823,-0.13247307910846534
SUV39H1,0.15817325587829753,0.2106410718595568,0.04297789103368823,0.1797050623193853
KITLG,-0.6023551835628895,-0.04377906555841555,0.003880243186223227,0.11335100662132908
PECAM1,-0.47336981366714226,-0.03654240966617064,-0.0005615940255303488,0.06250058770172709
HIST1H4A,0.21383431703618536,-0.40693515572622624,0.06232975183295605,0.04613294028011271
AVEN,-0.10398078658487057,-0.0007920288258877754,-0.12796879149788282,-0.564578541118879
MAU2,0.15597293848005694,-0.5188038757792377,-0.09801232334323148,0.18804413014593946
PAWR,-0.14241502245479604,-0.015076645057730861,-0.022680916499191267,-0.052406791023432195
MATK,-0.7962059387725752,-0.05856445347109766,0.03466489709332526,0.11451404622106416
RGL2,-0.634417798247886,-0.06476818005470629,-0.00615203504378705,0.06520626541455037
CDK1,-0.12589281115308884,-0.15027215546771786,-0.260930323952592,-0.26214655868314446
BCOR,0.17435992033774075,0.3372281287961531,-0.022460189580406072,0.10630953878986067
CELA1,0.0021631032673268494,0.01991145267162455,-0.045476825172332154,-0.07276638039576702
CSN1S1,-0.01429147808519755,-0.004564182259389316,0.0055114623063776125,-0.024958612427317638
CBX7,0.15162589514569186,0.2889766196849124,-0.04515712822369575,0.08398436966357722
ZBTB5,0.1268195745169704,0.28124297199341,0.06794660921024835,0.16096283661500627
PCGF5,0.17034118246480576,0.2803950787208393,-0.02808332641351602,0.11679822706333812
HAO2,-0.0005108083743683401,0.0054562047863539395,-0.023978791450446457,-0.06166908545981528
KDM2B,0.16047755705947672,0.37373474244249255,-0.029680716053632577,0.13562677488292021
ZBTB7A,0.0946046453846985,0.3656257740220982,0.015703759054379426,-0.011114448817571126
PCGF1,0.10532008708220926,0.27529459409786505,-0.032336818171105224,0.05394787324832061
PCGF3,0.140021672725276,0.24122503940579837,0.027306634864063213,0.10326197153131461
L3MBTL1,0.1500050501660718,-0.06442901746357718,-0.16503929988817248,-0.08191899617789268
CARD8,0.09447595736106262,0.15360697664316467,-0.07643174252749796,-0.0790467074072718
NACC1,0.0916907522146881,0.20667870023513568,0.014760670149557764,0.11970366683670612
PCGF2,-0.01233136220096651,0.13868848420429078,-0.11581845008735998,-0.25680024277532393
HSPA12A,-0.024189017898439368,-0.05140024432117887,-0.03239096345016167,-0.08500459889431043
MLLT1,0.11187679091494453,0.18575335219585565,0.09549313301077295,0.14903481613695863
ERP44,-0.012728799376739812,-0.050918062226176106,-0.02433206899701992,-0.036113369338761324
NFIC,0.13383892062132977,0.3419626047904875,0.028883611942531074,0.22120489611457406
SNAPC4,0.044164557141570734,0.022592653489636613,-0.027632309203828684,-0.04480181280273394
MLLT3,0.05921269484704352,0.088423241174782,0.12342935179746062,0.08264256723893236
QPRT,0.11478978869063428,0.1713237170915596,0.13212776008291968,0.10255581441453337
KPNA4,0.13037928594375553,-0.09426854076100569,0.46427401326373785,-0.17686627786966816
NFIA,0.13354476247950392,0.3643670881713111,0.05224262395298664,0.1706963035983396
CBX4,0.13204480320871667,0.2500571807670563,0.04388139683500283,0.09299510796949688
NFIX,0.16117762930383045,0.4281536476075624,0.04197109014538604,0.22880935360021135
SHARPIN,-0.07466058289412612,0.0474439243491905,-0.05540452527133904,-0.2309866298351255
RING1,0.02492869475581049,0.2261895294437434,-0.09337765454007044,-0.11998499227528037
C6ORF141,0.045563943344605624,-0.14224842158675813,-0.14306520668383557,-0.3018790301760826
YAF2,0.03158649022854346,0.13542905685393436,-0.1580922419854805,-0.20045338557094972
PPP4R1L,0.09272214509433231,-0.057327536579412953,-0.13408136932934397,-0.10007825199666003
RNF2,0.1286966559539786,0.1945972290020562,-0.18885335557474375,-0.18177446526169236
BCL6,0.06773226448272063,0.305849520194857,0.0018939288201525893,-0.040754710123285645
NAA10,-0.045347833956873904,-0.012289892289722866,0.01252373100911251,-0.04233211018375117
DCAF7,0.06285759382907603,-0.023483047891378443,-0.10329135289807957,-0.15219696760213464
RYBP,0.0071267050837922575,0.09407812115144586,-0.1689948214855609,-0.20958798535154652
CBX8,0.11107341961939435,0.16634806575208516,0.02238941863301597,0.021806477969508558
PIP,0.013676864194015656,-0.11667547195251138,-0.1728903752259891,-0.21643626540394822
NCAPH2,0.05587988016612663,-0.17191940559613722,-0.15420987638183073,-0.24099117217607816
B4GALT2,0.04939077758857773,-0.0922395941661242,-0.08779255429584051,-0.22383199559340364
SP1,0.08677219655019162,0.3214955201606623,-0.04329609581753357,-0.11316216779938314
CTBP1,0.15661953383841537,0.36233891745534524,0.00827329900552085,0.14187329120207523
CDC16,0.08316355122937238,-0.16154438333212287,-0.21098174808349945,-0.3090772754953253
CBX3,0.21601150138524536,0.10544379174895037,-0.06280780235071187,0.11476074671491483
BRAF,-0.5265308013427695,-0.014965250834173374,-0.04623229947212472,-0.15293996242777858
CCDC96,0.03326333772236015,-0.24349578812216321,-0.1370478233744426,-0.29830512166758144
CBX6,0.07552109973760317,0.06533097736952946,0.11284482896272924,0.006093750759111187
SKP1,0.03282408941667754,0.046436523280934845,-0.20609525942933393,-0.3528516737839852
S100P,0.04660444888819299,-0.19455760848765483,-0.11287626567997357,-0.23301282566537376
USP7,0.1317423069221054,0.02985283523051955,-0.06408073885267661,0.04438604338242344
