schema_version,case_id,test_case,case_category,tree_inference,run_id,status,skip_reason,true_clusters,found_clusters,ari,nmi,macro_f1,purity,n_leaves,n_edges,internal_split_count,total_branch_length,mean_branch_length,max_branch_length,branch_length_missing_count,branch_length_zero_count,cluster_sizes,largest_cluster_fraction,sampled_path_pair_count,sampled_intra_cluster_pair_count,sampled_inter_cluster_pair_count,intra_cluster_path_mean,inter_cluster_path_mean,cluster_path_separation,cluster_path_ratio
brancharchitect_tree_comparison/v1,dim_consolidated_4c_24f_continuous,23,continuous_dimensional_gaussian_examples,weighted,tbs_diffusion_graphtools_adaptive_nnls::graphtools_adaptive_k_tree_strategy__tree_linkage_method_weighted__r0,ok,,4,1,0.0,0.0,0.1,0.25,160,318,158,121.43428863140329,0.3818688321742242,1.571206421619943,0,0,160,1.0,12720,12720,0,1.999708161343757,,,
brancharchitect_tree_comparison/v1,dim_consolidated_4c_72f_continuous,24,continuous_dimensional_gaussian_examples,average,tbs_diffusion_graphtools_adaptive_nnls::graphtools_adaptive_k_tree_strategy__tree_linkage_method_average__r0,ok,,4,1,0.0,0.0,0.1,0.25,160,318,158,145.77143711754962,0.45840074565267175,2.0987893075904336,0,0,160,1.0,12720,12720,0,1.9999384548919514,,,
brancharchitect_tree_comparison/v1,dim_consolidated_4c_72f_continuous,24,continuous_dimensional_gaussian_examples,centroid,tbs_diffusion_graphtools_adaptive_nnls::graphtools_adaptive_k_tree_strategy__tree_linkage_method_centroid__r0,ok,,4,1,0.0,0.0,0.1,0.25,160,318,158,145.238350994396,0.4567243741962138,2.0973894507186013,0,0,160,1.0,12720,12720,0,1.9988590429923763,,,
brancharchitect_tree_comparison/v1,dim_consolidated_4c_72f_continuous,24,continuous_dimensional_gaussian_examples,complete,tbs_diffusion_graphtools_adaptive_nnls::graphtools_adaptive_k_tree_strategy__tree_linkage_method_complete__r0,ok,,4,1,0.0,0.0,0.1,0.25,160,318,158,145.77143711754962,0.45840074565267175,2.0987893075904336,0,0,160,1.0,12720,12720,0,1.9999384548919514,,,
brancharchitect_tree_comparison/v1,dim_consolidated_4c_72f_continuous,24,continuous_dimensional_gaussian_examples,median,tbs_diffusion_graphtools_adaptive_nnls::graphtools_adaptive_k_tree_strategy__tree_linkage_method_median__r0,ok,,4,1,0.0,0.0,0.1,0.25,160,318,158,145.238350994396,0.4567243741962138,2.0973894507186013,0,0,160,1.0,12720,12720,0,1.9988590429923763,,,
brancharchitect_tree_comparison/v1,dim_consolidated_4c_72f_continuous,24,continuous_dimensional_gaussian_examples,neighbor_joining,tbs_diffusion_graphtools_adaptive_nnls::graphtools_adaptive_k_tree_strategy__tree_builder_neighbor_joining__r0,skip,MAD rooting requires positive distances between leaf pairs.,4,0,,,,,0,0,0,,,,0,0,,,0,0,0,,,,
brancharchitect_tree_comparison/v1,dim_consolidated_4c_72f_continuous,24,continuous_dimensional_gaussian_examples,single,tbs_diffusion_graphtools_adaptive_nnls::graphtools_adaptive_k_tree_strategy__tree_linkage_method_single__r0,ok,,4,1,0.0,0.0,0.1,0.25,160,318,158,145.77143711754962,0.45840074565267175,2.0987893075904336,0,0,160,1.0,12720,12720,0,1.9999384548919514,,,
brancharchitect_tree_comparison/v1,dim_consolidated_4c_72f_continuous,24,continuous_dimensional_gaussian_examples,ward,tbs_diffusion_graphtools_adaptive_nnls::graphtools_adaptive_k_tree_strategy__tree_linkage_method_ward__r0,ok,,4,1,0.0,0.0,0.1,0.25,160,318,158,145.77143711754962,0.45840074565267175,2.0987893075904336,0,0,160,1.0,12720,12720,0,1.9999384548919514,,,
brancharchitect_tree_comparison/v1,dim_consolidated_4c_72f_continuous,24,continuous_dimensional_gaussian_examples,weighted,tbs_diffusion_graphtools_adaptive_nnls::graphtools_adaptive_k_tree_strategy__tree_linkage_method_weighted__r0,ok,,4,1,0.0,0.0,0.1,0.25,160,318,158,145.77143711754962,0.45840074565267175,2.0987893075904336,0,0,160,1.0,12720,12720,0,1.9999384548919514,,,
brancharchitect_tree_comparison/v1,dim_diffuse_6c_136f_continuous,25,continuous_dimensional_gaussian_examples,average,tbs_diffusion_graphtools_adaptive_nnls::graphtools_adaptive_k_tree_strategy__tree_linkage_method_average__r0,ok,,6,1,0.0,0.0,0.047619047619047616,0.16666666666666666,180,358,178,174.46348372900275,0.4873281668407898,1.5007395385614533,0,0,180,1.0,16110,16110,0,1.9990413196221433,,,
brancharchitect_tree_comparison/v1,dim_diffuse_6c_136f_continuous,25,continuous_dimensional_gaussian_examples,centroid,tbs_diffusion_graphtools_adaptive_nnls::graphtools_adaptive_k_tree_strategy__tree_linkage_method_centroid__r0,ok,,6,1,0.0,0.0,0.047619047619047616,0.16666666666666666,180,358,178,174.56362469708583,0.4876078902153235,1.5001002686346812,0,0,180,1.0,16110,16110,0,1.9991271963344484,,,
brancharchitect_tree_comparison/v1,dim_diffuse_6c_136f_continuous,25,continuous_dimensional_gaussian_examples,complete,tbs_diffusion_graphtools_adaptive_nnls::graphtools_adaptive_k_tree_strategy__tree_linkage_method_complete__r0,ok,,6,1,0.0,0.0,0.047619047619047616,0.16666666666666666,180,358,178,174.46348372900275,0.4873281668407898,1.5007395385614533,0,0,180,1.0,16110,16110,0,1.9990413196221433,,,
brancharchitect_tree_comparison/v1,dim_diffuse_6c_136f_continuous,25,continuous_dimensional_gaussian_examples,median,tbs_diffusion_graphtools_adaptive_nnls::graphtools_adaptive_k_tree_strategy__tree_linkage_method_median__r0,ok,,6,1,0.0,0.0,0.047619047619047616,0.16666666666666666,180,358,178,174.56362469708583,0.4876078902153235,1.5001002686346812,0,0,180,1.0,16110,16110,0,1.9991271963344484,,,
brancharchitect_tree_comparison/v1,dim_diffuse_6c_136f_continuous,25,continuous_dimensional_gaussian_examples,neighbor_joining,tbs_diffusion_graphtools_adaptive_nnls::graphtools_adaptive_k_tree_strategy__tree_builder_neighbor_joining__r0,skip,MAD rooting requires positive distances between leaf pairs.,6,0,,,,,0,0,0,,,,0,0,,,0,0,0,,,,
brancharchitect_tree_comparison/v1,dim_diffuse_6c_136f_continuous,25,continuous_dimensional_gaussian_examples,single,tbs_diffusion_graphtools_adaptive_nnls::graphtools_adaptive_k_tree_strategy__tree_linkage_method_single__r0,ok,,6,1,0.0,0.0,0.047619047619047616,0.16666666666666666,180,358,178,174.46348372900275,0.4873281668407898,1.5007395385614533,0,0,180,1.0,16110,16110,0,1.9990413196221433,,,
brancharchitect_tree_comparison/v1,dim_diffuse_6c_136f_continuous,25,continuous_dimensional_gaussian_examples,ward,tbs_diffusion_graphtools_adaptive_nnls::graphtools_adaptive_k_tree_strategy__tree_linkage_method_ward__r0,ok,,6,1,0.0,0.0,0.047619047619047616,0.16666666666666666,180,358,178,174.46348372900275,0.4873281668407898,1.5007395385614533,0,0,180,1.0,16110,16110,0,1.9990413196221433,,,
brancharchitect_tree_comparison/v1,dim_diffuse_6c_136f_continuous,25,continuous_dimensional_gaussian_examples,weighted,tbs_diffusion_graphtools_adaptive_nnls::graphtools_adaptive_k_tree_strategy__tree_linkage_method_weighted__r0,ok,,6,1,0.0,0.0,0.047619047619047616,0.16666666666666666,180,358,178,174.46348372900275,0.4873281668407898,1.5007395385614533,0,0,180,1.0,16110,16110,0,1.9990413196221433,,,
brancharchitect_tree_comparison/v1,gauss_single_outlier_4c_continuous,29,continuous_gaussian_outlier_examples,average,tbs_diffusion_graphtools_adaptive_nnls::graphtools_adaptive_k_tree_strategy__tree_linkage_method_average__r0,ok,,5,1,0.0,0.0,0.07960199004975124,0.2484472049689441,161,320,159,156.42283978439613,0.4888213743262379,1.2489815180208776,0,0,161,1.0,12880,12880,0,1.9969666886550723,,,
brancharchitect_tree_comparison/v1,gauss_single_outlier_4c_continuous,29,continuous_gaussian_outlier_examples,centroid,tbs_diffusion_graphtools_adaptive_nnls::graphtools_adaptive_k_tree_strategy__tree_linkage_method_centroid__r0,ok,,5,1,0.0,0.0,0.07960199004975124,0.2484472049689441,161,320,159,156.6557628416238,0.4895492588800744,1.253593713855995,0,0,161,1.0,12880,12880,0,1.9977227688958779,,,
brancharchitect_tree_comparison/v1,gauss_single_outlier_4c_continuous,29,continuous_gaussian_outlier_examples,complete,tbs_diffusion_graphtools_adaptive_nnls::graphtools_adaptive_k_tree_strategy__tree_linkage_method_complete__r0,ok,,5,1,0.0,0.0,0.07960199004975124,0.2484472049689441,161,320,159,156.42283978439613,0.4888213743262379,1.2489815180208776,0,0,161,1.0,12880,12880,0,1.9969666886550723,,,
brancharchitect_tree_comparison/v1,gauss_single_outlier_4c_continuous,29,continuous_gaussian_outlier_examples,median,tbs_diffusion_graphtools_adaptive_nnls::graphtools_adaptive_k_tree_strategy__tree_linkage_method_median__r0,ok,,5,1,0.0,0.0,0.07960199004975124,0.2484472049689441,161,320,159,156.6557628416238,0.4895492588800744,1.253593713855995,0,0,161,1.0,12880,12880,0,1.9977227688958779,,,
brancharchitect_tree_comparison/v1,gauss_single_outlier_4c_continuous,29,continuous_gaussian_outlier_examples,neighbor_joining,tbs_diffusion_graphtools_adaptive_nnls::graphtools_adaptive_k_tree_strategy__tree_builder_neighbor_joining__r0,skip,MAD rooting requires positive distances between leaf pairs.,5,0,,,,,0,0,0,,,,0,0,,,0,0,0,,,,
