case_id,method,tree_inference,sample_id,cluster_label
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L73,3
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L74,3
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L75,3
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L76,3
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L77,3
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L78,3
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L79,3
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L80,3
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L81,3
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L82,3
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L83,3
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L84,3
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L85,3
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L86,3
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L87,3
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L88,3
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L89,3
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L90,3
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L91,3
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L92,3
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L93,2
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L94,3
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L95,3
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L96,3
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L97,3
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L98,3
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L99,3
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L100,3
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L101,0
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L102,0
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L103,0
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L104,0
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L105,0
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L106,0
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L107,0
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L108,0
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L109,0
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L110,0
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L111,0
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L112,0
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L113,0
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L114,0
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L115,0
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L116,0
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L117,0
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L118,0
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L119,0
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L120,0
