case_id,selected_method,selected_tree_inference,selected_sharp_label_free_score,selected_internal_core_rank_mean,selected_cluster_count_rank,selected_dominant_cluster_penalty,selected_method_stability_rank,selected_found_clusters,selected_silhouette_score,selected_calinski_harabasz_index,selected_davies_bouldin_index,selected_largest_cluster_fraction,selected_mean_partition_agreement,selected_ari,selected_nmi,selected_macro_f1,selected_purity,average_ari,average_nmi,average_macro_f1,weighted_ari,weighted_nmi,weighted_macro_f1,external_best_method,external_best_tree_inference,external_best_ari,external_best_nmi,external_best_macro_f1,delta_ari_vs_average,delta_nmi_vs_average,delta_macro_f1_vs_average,delta_ari_vs_weighted,delta_nmi_vs_weighted,delta_macro_f1_vs_weighted,delta_ari_vs_external_best,delta_nmi_vs_external_best,delta_macro_f1_vs_external_best
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls_complete,complete,4.458333333333334,3.3333333333333335,4.5,0.0,1.0,4,0.0474552344027037,15.783837583531238,4.364682325141503,0.255,0.8574255021021132,0.9242354305314692,0.918420911677237,0.96999699969997,0.97,0.8959106431954114,0.9083891339896004,0.957259585166562,0.8066031023196243,0.8565337641909454,0.9286005711954304,tbs_diffusion_graphtools_adaptive_nnls_centroid,centroid,0.9362041386776104,0.9298061238700064,0.9749899959983994,0.02832478733605781,0.010031777687636634,0.012737414533408042,0.11763232821184488,0.06188714748629165,0.04139642850453962,-0.01196870814614126,-0.011385212192769334,-0.00499299629842942
overlap_unbal_4c_small,tbs_diffusion_graphtools_adaptive_nnls,average,2.541666666666667,1.6666666666666667,3.5,0.0,2.0,4,0.0280060966782794,9.802778937640063,4.831153866407739,0.2925,0.3025563055418975,0.6590088044947379,0.61101433984031,0.8595715191459872,0.86,0.6590088044947379,0.61101433984031,0.8595715191459872,0.5650099413437926,0.5476387862649529,0.8161518373211922,tbs_diffusion_graphtools_adaptive_nnls,average,0.6590088044947379,0.61101433984031,0.8595715191459872,0.0,0.0,0.0,0.0939988631509453,0.06337555357535707,0.04341968182479494,0.0,0.0,0.0
overlap_mod_4c_small,tbs_diffusion_graphtools_adaptive_nnls_ward,ward,2.333333333333333,1.3333333333333333,4.0,0.0,4.0,4,0.0637351370274037,19.371557405875674,3.3731905790033703,0.2575,0.7079216735237229,0.9217285793957946,0.8940670956081295,0.9699442530486204,0.97,0.9013124846886036,0.8807296551936105,0.9629543120348024,0.8489930468306586,0.8503830522811758,0.9437276835173818,tbs_diffusion_graphtools_adaptive_nnls_ward,ward,0.9217285793957946,0.8940670956081295,0.9699442530486204,0.020416094707190968,0.013337440414519008,0.006989941013818002,0.07273553256513599,0.04368404332695364,0.02621656953123863,0.0,0.0,0.0
dim_consolidated_4c_24f,tbs_diffusion_graphtools_adaptive_nnls_neighbor_joining,neighbor_joining,3.1666666666666665,2.6666666666666665,2.0,0.0,4.0,4,0.0744510647789595,11.218057429535405,2.767124037816473,0.29375,0.4260134044126892,0.6867739105930168,0.6819923393649624,0.8756624788381003,0.875,0.4035201678286685,0.5758548657517188,0.8454478364173086,0.6012143800799671,0.6554185204447212,0.8652732974910394,tbs_diffusion_graphtools_adaptive_nnls_neighbor_joining,neighbor_joining,0.6867739105930168,0.6819923393649624,0.8756624788381003,0.28325374276434834,0.10613747361324355,0.03021464242079175,0.08555953051304976,0.026573818920241243,0.010389181347060905,0.0,0.0,0.0
cat_highd_3cat_500feat,tbs_diffusion_graphtools_adaptive_nnls_weighted,weighted,5.625,4.5,4.5,0.0,4.5,4,0.1030751602770287,18.09654526534308,2.8477027431230404,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,tbs_diffusion_graphtools_adaptive_nnls,average,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gauss_overlap_3c_small,tbs_diffusion_graphtools_adaptive_nnls_weighted,weighted,3.125,2.5,2.5,0.0,2.5,3,0.2655629237724614,104.68637851600388,1.7161872454423344,0.3333333333333333,0.7677876974347448,1.0,1.0,1.0,1.0,0.4923389076126947,0.7061185318563697,1.0,1.0,1.0,1.0,tbs_diffusion_graphtools_adaptive_nnls_weighted,weighted,1.0,1.0,1.0,0.5076610923873053,0.29388146814363025,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gauss_overlap_8c_highd,tbs_diffusion_graphtools_adaptive_nnls_weighted,weighted,5.625,4.5,4.5,0.0,4.5,8,0.3208861133698408,132.40742248062415,1.28965371641419,0.125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,tbs_diffusion_graphtools_adaptive_nnls,average,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
