case_id,method,tree_inference,valid_internal_metrics,found_clusters,largest_cluster_fraction,effective_cluster_count,silhouette_score,calinski_harabasz_index,davies_bouldin_index,mean_partition_agreement,silhouette_rank,calinski_harabasz_rank,davies_bouldin_rank,cluster_count_rank,method_stability_rank,internal_core_rank_mean,dominant_cluster_penalty,sharp_label_free_score,tree_priority,ari,nmi,macro_f1,purity
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,True,4,0.2875,3.9774784975956914,0.0463130719827223,15.61906063233191,4.438253830347983,0.8427486774177655,6.0,6.0,7.0,4.5,4.0,6.333333333333333,0.0,7.458333333333333,3,0.8959106431954114,0.9083891339896004,0.957259585166562,0.9575
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls_complete,complete,True,4,0.255,3.999599993331066,0.0474552344027037,15.783837583531238,4.364682325141503,0.8574255021021132,3.0,3.0,4.0,4.5,1.0,3.3333333333333335,0.0,4.458333333333334,2,0.9242354305314692,0.918420911677237,0.96999699969997,0.97
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls_weighted,weighted,True,5,0.25,4.894346143102776,0.0404887127410294,12.240178009103776,5.54223257888422,0.7536306952019439,7.0,7.0,8.0,7.0,6.0,7.333333333333333,0.0,9.083333333333332,0,0.8066031023196243,0.8565337641909454,0.9286005711954304,0.93
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls_single,single,True,3,0.5,2.82842712474619,0.0602923719541506,19.825044186276177,3.660306062174417,0.7382704039789483,1.0,1.0,2.0,1.5,7.0,1.3333333333333333,3.0,4.708333333333333,7,0.712742980561555,0.8571428571428577,0.6666666666666666,0.75
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls_centroid,centroid,True,4,0.26,3.998399893188134,0.0473406432524473,15.775367864934562,4.3730963885586025,0.8526754511381673,4.0,4.0,5.0,4.5,3.0,4.333333333333333,0.0,5.458333333333333,4,0.9362041386776104,0.9298061238700064,0.9749899959983994,0.975
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls_median,median,True,6,0.2575,4.1119237220252645,0.0117265326771557,9.75777871115636,3.301206903218734,0.8272579433537618,8.0,8.0,1.0,8.0,5.0,5.666666666666667,0.0,7.666666666666667,5,0.9181342750884922,0.910314000343235,0.9699879951980792,0.97
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls_ward,ward,True,4,0.27,3.9935982840151487,0.0466486089976387,15.666847669979092,4.432715374737449,0.8535598583668975,5.0,5.0,6.0,4.5,2.0,5.333333333333333,0.0,6.458333333333333,1,0.901230183074489,0.9029095843943444,0.9599358974358976,0.96
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls_neighbor_joining,neighbor_joining,True,3,0.4975,2.8332796279521726,0.0600402674678513,19.772633422422597,3.67356769978624,0.735520009589574,2.0,2.0,3.0,1.5,8.0,2.3333333333333335,3.0,5.708333333333334,6,0.7094829374349906,0.8464160681265571,0.6659802991730311,0.75
overlap_unbal_4c_small,tbs_diffusion_graphtools_adaptive_nnls,average,True,4,0.2925,3.97875578763971,0.0280060966782794,9.802778937640063,4.831153866407739,0.3025563055418975,1.0,3.0,1.0,3.5,2.0,1.6666666666666667,0.0,2.541666666666667,3,0.6590088044947379,0.61101433984031,0.8595715191459872,0.86
overlap_unbal_4c_small,tbs_diffusion_graphtools_adaptive_nnls_complete,complete,True,3,0.5425,2.7265094228667985,0.0261629369293411,10.45873897005932,4.977679226150417,0.2813836525089534,3.0,1.0,3.0,2.0,4.0,2.3333333333333335,3.0,5.833333333333334,2,0.494714858631772,0.5656633336987587,0.6137743592759535,0.705
overlap_unbal_4c_small,tbs_diffusion_graphtools_adaptive_nnls_weighted,weighted,True,5,0.29,4.52274138849497,0.0189393474723949,7.633381501432803,5.400356969038951,0.302027319430553,5.0,5.0,5.0,5.0,3.0,5.0,0.0,6.25,0,0.5650099413437926,0.5476387862649529,0.8161518373211922,0.8175
overlap_unbal_4c_small,tbs_diffusion_graphtools_adaptive_nnls_single,single,False,1,1.0,1.0,,,,0.2857142857142857,,,,,,,100.0,,7,0.0,0.0,0.1138996138996139,0.295
overlap_unbal_4c_small,tbs_diffusion_graphtools_adaptive_nnls_centroid,centroid,False,1,1.0,1.0,,,,0.2857142857142857,,,,,,,100.0,,4,0.0,0.0,0.1138996138996139,0.295
overlap_unbal_4c_small,tbs_diffusion_graphtools_adaptive_nnls_median,median,False,1,1.0,1.0,,,,0.2857142857142857,,,,,,,100.0,,5,0.0,0.0,0.1138996138996139,0.295
overlap_unbal_4c_small,tbs_diffusion_graphtools_adaptive_nnls_ward,ward,True,4,0.285,3.979488103704772,0.0264855358592302,9.500490727259926,5.055218221036828,0.3322859761090732,2.0,4.0,4.0,3.5,1.0,3.3333333333333335,0.0,4.208333333333334,1,0.6039779248930247,0.5770330703638863,0.830034704744007,0.83
overlap_unbal_4c_small,tbs_diffusion_graphtools_adaptive_nnls_neighbor_joining,neighbor_joining,True,2,0.7925,1.666333102428072,0.024399710910975,10.324216655312062,4.972930655322003,0.1394505324554799,4.0,2.0,2.0,1.0,5.0,2.6666666666666665,3.0,5.916666666666666,6,0.2129541429654181,0.3725336835806866,0.3524284100724204,0.475
overlap_mod_4c_small,tbs_diffusion_graphtools_adaptive_nnls,average,True,4,0.27,3.9947534296431706,0.0614408086754181,18.854674197139847,3.491618566050064,0.7131216970771809,3.0,4.0,3.0,4.0,3.0,3.3333333333333335,0.0,4.333333333333334,3,0.9013124846886036,0.8807296551936105,0.9629543120348024,0.9625
overlap_mod_4c_small,tbs_diffusion_graphtools_adaptive_nnls_complete,complete,True,5,0.2175,4.964892031532829,0.0459148706440399,13.77389833687578,4.667472936408322,0.5482084948707756,7.0,7.0,7.0,7.0,6.0,7.0,0.0,8.75,2,0.6673807716705011,0.729292581107896,0.8812863928885479,0.875
overlap_mod_4c_small,tbs_diffusion_graphtools_adaptive_nnls_weighted,weighted,True,4,0.305,3.9659947177949633,0.0598995972022914,18.517736871636775,3.555631266438675,0.6894707289079886,5.0,6.0,5.0,4.0,5.0,5.333333333333333,0.0,6.333333333333333,0,0.8489930468306586,0.8503830522811758,0.9437276835173818,0.9425
overlap_mod_4c_small,tbs_diffusion_graphtools_adaptive_nnls_single,single,False,1,1.0,1.0,,,,0.0,,,,,,,100.0,,7,0.0,0.0,0.1,0.25
overlap_mod_4c_small,tbs_diffusion_graphtools_adaptive_nnls_centroid,centroid,True,4,0.2675,3.995327042392855,0.0632644633731817,19.25773553485141,3.4124443045316086,0.719471221763599,2.0,3.0,2.0,4.0,1.0,2.3333333333333335,0.0,3.3333333333333335,4,0.9013024743707592,0.8694773419476969,0.9626748952282438,0.9625
overlap_mod_4c_small,tbs_diffusion_graphtools_adaptive_nnls_median,median,True,4,0.2875,3.985066517222882,0.0610138153692226,18.753450662458192,3.528132396969575,0.715395108493625,4.0,5.0,4.0,4.0,2.0,4.333333333333333,0.0,5.333333333333333,5,0.8747153250696795,0.8574637818118199,0.9532810219102312,0.9525
overlap_mod_4c_small,tbs_diffusion_graphtools_adaptive_nnls_ward,ward,True,4,0.2575,3.9986939275435383,0.0637351370274037,19.371557405875674,3.3731905790033703,0.7079216735237229,1.0,2.0,1.0,4.0,4.0,1.3333333333333333,0.0,2.333333333333333,1,0.9217285793957946,0.8940670956081295,0.9699442530486204,0.97
overlap_mod_4c_small,tbs_diffusion_graphtools_adaptive_nnls_neighbor_joining,neighbor_joining,True,3,0.505,2.8178599858058613,0.0537818038296034,19.50920224069882,3.684410115121292,0.5291785279629507,6.0,1.0,6.0,1.0,7.0,4.333333333333333,3.0,7.583333333333333,6,0.6575486348144913,0.7658787339890647,0.6513037284942171,0.7325
dim_consolidated_4c_24f,tbs_diffusion_graphtools_adaptive_nnls,average,True,9,0.175,8.26823113800074,0.0629105770935823,7.363937430219698,2.7234920993231015,0.4526653711257885,4.0,5.0,2.0,5.0,3.0,3.6666666666666665,0.0,4.916666666666666,3,0.4035201678286685,0.5758548657517188,0.8454478364173086,0.84375
