case_id,left_method,right_method,left_tree_inference,right_tree_inference,partition_ari
overlap_unbal_4c_small,tbs_diffusion_graphtools_adaptive_nnls_complete,tbs_diffusion_graphtools_adaptive_nnls_ward,complete,ward,0.566845728571914
overlap_unbal_4c_small,tbs_diffusion_graphtools_adaptive_nnls_complete,tbs_diffusion_graphtools_adaptive_nnls_neighbor_joining,complete,neighbor_joining,0.3806572906400647
overlap_unbal_4c_small,tbs_diffusion_graphtools_adaptive_nnls_weighted,tbs_diffusion_graphtools_adaptive_nnls_single,weighted,single,0.0
overlap_unbal_4c_small,tbs_diffusion_graphtools_adaptive_nnls_weighted,tbs_diffusion_graphtools_adaptive_nnls_centroid,weighted,centroid,0.0
overlap_unbal_4c_small,tbs_diffusion_graphtools_adaptive_nnls_weighted,tbs_diffusion_graphtools_adaptive_nnls_median,weighted,median,0.0
overlap_unbal_4c_small,tbs_diffusion_graphtools_adaptive_nnls_weighted,tbs_diffusion_graphtools_adaptive_nnls_ward,weighted,ward,0.8123039932200276
overlap_unbal_4c_small,tbs_diffusion_graphtools_adaptive_nnls_weighted,tbs_diffusion_graphtools_adaptive_nnls_neighbor_joining,weighted,neighbor_joining,0.18785511172059882
overlap_unbal_4c_small,tbs_diffusion_graphtools_adaptive_nnls_single,tbs_diffusion_graphtools_adaptive_nnls_centroid,single,centroid,1.0
overlap_unbal_4c_small,tbs_diffusion_graphtools_adaptive_nnls_single,tbs_diffusion_graphtools_adaptive_nnls_median,single,median,1.0
overlap_unbal_4c_small,tbs_diffusion_graphtools_adaptive_nnls_single,tbs_diffusion_graphtools_adaptive_nnls_ward,single,ward,0.0
overlap_unbal_4c_small,tbs_diffusion_graphtools_adaptive_nnls_single,tbs_diffusion_graphtools_adaptive_nnls_neighbor_joining,single,neighbor_joining,0.0
overlap_unbal_4c_small,tbs_diffusion_graphtools_adaptive_nnls_centroid,tbs_diffusion_graphtools_adaptive_nnls_median,centroid,median,1.0
overlap_unbal_4c_small,tbs_diffusion_graphtools_adaptive_nnls_centroid,tbs_diffusion_graphtools_adaptive_nnls_ward,centroid,ward,0.0
overlap_unbal_4c_small,tbs_diffusion_graphtools_adaptive_nnls_centroid,tbs_diffusion_graphtools_adaptive_nnls_neighbor_joining,centroid,neighbor_joining,0.0
overlap_unbal_4c_small,tbs_diffusion_graphtools_adaptive_nnls_median,tbs_diffusion_graphtools_adaptive_nnls_ward,median,ward,0.0
overlap_unbal_4c_small,tbs_diffusion_graphtools_adaptive_nnls_median,tbs_diffusion_graphtools_adaptive_nnls_neighbor_joining,median,neighbor_joining,0.0
overlap_unbal_4c_small,tbs_diffusion_graphtools_adaptive_nnls_ward,tbs_diffusion_graphtools_adaptive_nnls_neighbor_joining,ward,neighbor_joining,0.21273925761272913
overlap_mod_4c_small,tbs_diffusion_graphtools_adaptive_nnls,tbs_diffusion_graphtools_adaptive_nnls_complete,average,complete,0.6703757028614876
overlap_mod_4c_small,tbs_diffusion_graphtools_adaptive_nnls,tbs_diffusion_graphtools_adaptive_nnls_weighted,average,weighted,0.8947245298007876
