case_id,pairwise_agreement_mean,pairwise_agreement_median,pairwise_agreement_min,pairwise_agreement_max
cat_highd_3cat_500feat,1.0,1.0,1.0,1.0
cat_overlap_3cat_4c,0.8076360676436465,0.8091332151825812,0.6067116030543954,0.9919878447288216
dim_consolidated_4c_24f,0.35977143853675436,0.415898641218428,0.0,0.744279925816514
gauss_overlap_3c_small,0.6990188591212202,0.5770375272159669,0.4923389076126947,1.0
gauss_overlap_8c_highd,1.0,1.0,1.0,1.0
overlap_mod_4c_small,0.5778459315749803,0.6714653562716358,0.0,0.9531616653311348
overlap_unbal_4c_small,0.2768558303986018,0.0,0.0,1.0
