case_id,method,tree_inference,status,skip_reason,found_clusters,labels_length,run_sec,selected_k_neighbors,adaptive_neighbor_profile,tree_builder,tree_rooting,tree_linkage_method,branch_length_optimization_method,linkage_topology_only_branch_lengths
dim_consolidated_4c_24f,tbs_diffusion_graphtools_adaptive_nnls_neighbor_joining,neighbor_joining,ok,,4,160,1.419358253479004,,,neighbor_joining,mad,,fixed_topology_nnls,False
cat_highd_3cat_500feat,tbs_diffusion_graphtools_adaptive_nnls,average,ok,,4,200,3.105618715286255,,,linkage,linkage_root,,fixed_topology_nnls,False
cat_highd_3cat_500feat,tbs_diffusion_graphtools_adaptive_nnls_complete,complete,ok,,4,200,3.096196174621582,,,linkage,linkage_root,,fixed_topology_nnls,False
cat_highd_3cat_500feat,tbs_diffusion_graphtools_adaptive_nnls_weighted,weighted,ok,,4,200,3.3178980350494385,,,linkage,linkage_root,,fixed_topology_nnls,False
cat_highd_3cat_500feat,tbs_diffusion_graphtools_adaptive_nnls_single,single,ok,,4,200,3.8387622833251953,,,linkage,linkage_root,,fixed_topology_nnls,False
cat_highd_3cat_500feat,tbs_diffusion_graphtools_adaptive_nnls_centroid,centroid,ok,,4,200,3.2228469848632812,,,linkage,linkage_root,,fixed_topology_nnls,True
cat_highd_3cat_500feat,tbs_diffusion_graphtools_adaptive_nnls_median,median,ok,,4,200,3.1655430793762207,,,linkage,linkage_root,,fixed_topology_nnls,True
cat_highd_3cat_500feat,tbs_diffusion_graphtools_adaptive_nnls_ward,ward,ok,,4,200,3.028357982635498,,,linkage,linkage_root,,fixed_topology_nnls,False
cat_highd_3cat_500feat,tbs_diffusion_graphtools_adaptive_nnls_neighbor_joining,neighbor_joining,ok,,4,200,5.075577020645142,,,neighbor_joining,mad,,fixed_topology_nnls,False
gauss_overlap_3c_small,tbs_diffusion_graphtools_adaptive_nnls,average,ok,,8,300,1.4920623302459717,,,linkage,linkage_root,,fixed_topology_nnls,False
gauss_overlap_3c_small,tbs_diffusion_graphtools_adaptive_nnls_complete,complete,ok,,7,300,1.4707818031311035,,,linkage,linkage_root,,fixed_topology_nnls,False
gauss_overlap_3c_small,tbs_diffusion_graphtools_adaptive_nnls_weighted,weighted,ok,,3,300,1.4661378860473633,,,linkage,linkage_root,,fixed_topology_nnls,False
gauss_overlap_3c_small,tbs_diffusion_graphtools_adaptive_nnls_single,single,ok,,3,300,2.0855679512023926,,,linkage,linkage_root,,fixed_topology_nnls,False
gauss_overlap_3c_small,tbs_diffusion_graphtools_adaptive_nnls_centroid,centroid,ok,,3,300,1.6800181865692139,,,linkage,linkage_root,,fixed_topology_nnls,True
gauss_overlap_3c_small,tbs_diffusion_graphtools_adaptive_nnls_median,median,ok,,8,300,1.650644063949585,,,linkage,linkage_root,,fixed_topology_nnls,True
gauss_overlap_3c_small,tbs_diffusion_graphtools_adaptive_nnls_ward,ward,ok,,7,300,1.4732999801635742,,,linkage,linkage_root,,fixed_topology_nnls,False
gauss_overlap_3c_small,tbs_diffusion_graphtools_adaptive_nnls_neighbor_joining,neighbor_joining,ok,,3,300,7.103325843811035,,,neighbor_joining,mad,,fixed_topology_nnls,False
gauss_overlap_8c_highd,tbs_diffusion_graphtools_adaptive_nnls,average,ok,,8,800,7.2603960037231445,,,linkage,linkage_root,,fixed_topology_nnls,False
gauss_overlap_8c_highd,tbs_diffusion_graphtools_adaptive_nnls_complete,complete,ok,,8,800,8.121508121490479,,,linkage,linkage_root,,fixed_topology_nnls,False
gauss_overlap_8c_highd,tbs_diffusion_graphtools_adaptive_nnls_weighted,weighted,ok,,8,800,8.695894002914429,,,linkage,linkage_root,,fixed_topology_nnls,False
gauss_overlap_8c_highd,tbs_diffusion_graphtools_adaptive_nnls_single,single,ok,,8,800,12.564765930175781,,,linkage,linkage_root,,fixed_topology_nnls,False
gauss_overlap_8c_highd,tbs_diffusion_graphtools_adaptive_nnls_centroid,centroid,ok,,8,800,8.795314073562622,,,linkage,linkage_root,,fixed_topology_nnls,True
gauss_overlap_8c_highd,tbs_diffusion_graphtools_adaptive_nnls_median,median,ok,,8,800,8.835992097854614,,,linkage,linkage_root,,fixed_topology_nnls,True
gauss_overlap_8c_highd,tbs_diffusion_graphtools_adaptive_nnls_ward,ward,ok,,8,800,9.000149011611938,,,linkage,linkage_root,,fixed_topology_nnls,False
gauss_overlap_8c_highd,tbs_diffusion_graphtools_adaptive_nnls_neighbor_joining,neighbor_joining,ok,,8,800,106.43261885643005,,,neighbor_joining,mad,,fixed_topology_nnls,False
