tree_inference,cases,mean_ari,median_ari,mean_nmi,mean_macro_f1,mean_silhouette_score,mean_davies_bouldin_index,mean_calinski_harabasz_index,mean_found_clusters,mean_cluster_count_abs_error,mean_largest_cluster_fraction,mean_partition_agreement,valid_internal_case_count,mean_sharp_score,selection_count
weighted,7,0.8316886386534347,0.8489930468306586,0.8442820175973994,0.9362504842178634,0.1253073160245062,3.296530516450415,43.229027292319174,5.0,0.5714285714285714,0.2576190476190476,0.7120732755017356,7,5.720238095238095,3
ward,7,0.7695837236453287,0.901230183074489,0.8166244530788335,0.9319239439226248,0.0968524279871804,3.3383223532900526,35.2892276135564,5.0,0.5714285714285714,0.2682738095238095,0.693014814123612,7,5.541666666666666,1
average,7,0.764584429688588,0.8959106431954114,0.8117295038045157,0.9464618932520944,0.09607989854575473,3.286150464557142,34.110851127221395,5.857142857142857,1.4285714285714286,0.23047619047619047,0.7009944887809338,7,5.625,1
neighbor_joining,7,0.7523942322582738,0.7094829374349906,0.80954583215161,0.792196416653967,0.12888529205810287,2.99308231614651,45.14492228713429,3.857142857142857,0.5714285714285714,0.3995833333333333,0.6568500245507769,7,5.25,1
complete,7,0.7117004621392743,0.6673807716705011,0.7879612462958236,0.9048143593053203,0.09191599726261149,3.4892117764874064,33.882628925643765,6.285714285714286,2.142857142857143,0.25011904761904763,0.6660130767231652,7,6.583333333333334,1
centroid,7,0.7710603548380425,0.9362041386776104,0.7793104146188501,0.849153127259612,0.1418796078556129,2.6804252827122936,49.48387136279387,4.857142857142857,1.2857142857142858,0.3488690476190476,0.7302995746531238,6,4.833333333333333,0
median,7,0.7199724052363642,0.8747153250696795,0.7392399166200362,0.8302586011526937,0.12276408981413083,2.730247298264135,37.31274581037181,5.0,1.4285714285714286,0.3879761904761905,0.6946479786771734,6,6.770833333333333,0
single,7,0.5303918543659364,0.712742980561555,0.5510204081632654,0.5686523257951829,0.18745414234337038,2.3784624417884954,68.75384761206183,3.0,1.4285714285714286,0.6011904761904762,0.5416817695897113,4,4.770833333333333,0
