case_id,method,tree_inference,mean_partition_agreement,median_partition_agreement,min_partition_agreement,max_partition_agreement,agreement_pair_count
gauss_overlap_3c_small,tbs_diffusion_graphtools_adaptive_nnls_single,single,0.7677876974347448,0.8056580488572368,0.4923389076126947,1.0,7
gauss_overlap_3c_small,tbs_diffusion_graphtools_adaptive_nnls_centroid,centroid,0.7677876974347448,0.8056580488572368,0.4923389076126947,1.0,7
gauss_overlap_3c_small,tbs_diffusion_graphtools_adaptive_nnls_median,median,0.695633989651007,0.8056580488572368,0.49273067769616796,0.8056580488572368,7
gauss_overlap_3c_small,tbs_diffusion_graphtools_adaptive_nnls_ward,ward,0.6173095998184721,0.5175756643111844,0.5175756643111844,0.8708526536359769,7
gauss_overlap_3c_small,tbs_diffusion_graphtools_adaptive_nnls_neighbor_joining,neighbor_joining,0.7677876974347448,0.8056580488572368,0.4923389076126947,1.0,7
gauss_overlap_8c_highd,tbs_diffusion_graphtools_adaptive_nnls,average,1.0,1.0,1.0,1.0,7
gauss_overlap_8c_highd,tbs_diffusion_graphtools_adaptive_nnls_complete,complete,1.0,1.0,1.0,1.0,7
gauss_overlap_8c_highd,tbs_diffusion_graphtools_adaptive_nnls_weighted,weighted,1.0,1.0,1.0,1.0,7
gauss_overlap_8c_highd,tbs_diffusion_graphtools_adaptive_nnls_single,single,1.0,1.0,1.0,1.0,7
gauss_overlap_8c_highd,tbs_diffusion_graphtools_adaptive_nnls_centroid,centroid,1.0,1.0,1.0,1.0,7
gauss_overlap_8c_highd,tbs_diffusion_graphtools_adaptive_nnls_median,median,1.0,1.0,1.0,1.0,7
gauss_overlap_8c_highd,tbs_diffusion_graphtools_adaptive_nnls_ward,ward,1.0,1.0,1.0,1.0,7
gauss_overlap_8c_highd,tbs_diffusion_graphtools_adaptive_nnls_neighbor_joining,neighbor_joining,1.0,1.0,1.0,1.0,7
