case_id,method,run_id,tree_inference,mean_partition_agreement,median_partition_agreement,min_partition_agreement,max_partition_agreement,agreement_pair_count
binary_low_noise_4c::normalized_branch_length,tbs_diffusion_graphtools_adaptive_nnls,family_metric_tree_linkage_method_average,average,1.0,1.0,1.0,1.0,7
binary_low_noise_4c::normalized_branch_length,tbs_diffusion_graphtools_adaptive_nnls,family_metric_tree_linkage_method_complete,complete,1.0,1.0,1.0,1.0,7
binary_low_noise_4c::normalized_branch_length,tbs_diffusion_graphtools_adaptive_nnls,family_metric_tree_linkage_method_weighted,weighted,1.0,1.0,1.0,1.0,7
binary_low_noise_4c::normalized_branch_length,tbs_diffusion_graphtools_adaptive_nnls,family_metric_tree_linkage_method_single,single,1.0,1.0,1.0,1.0,7
binary_low_noise_4c::normalized_branch_length,tbs_diffusion_graphtools_adaptive_nnls,family_metric_tree_linkage_method_centroid,centroid,1.0,1.0,1.0,1.0,7
binary_low_noise_4c::normalized_branch_length,tbs_diffusion_graphtools_adaptive_nnls,family_metric_tree_linkage_method_median,median,1.0,1.0,1.0,1.0,7
binary_low_noise_4c::normalized_branch_length,tbs_diffusion_graphtools_adaptive_nnls,family_metric_tree_linkage_method_ward,ward,1.0,1.0,1.0,1.0,7
binary_low_noise_4c::normalized_branch_length,tbs_diffusion_graphtools_adaptive_nnls,family_metric_tree_builder_neighbor_joining,neighbor_joining,1.0,1.0,1.0,1.0,7
overlap_mod_4c_small::none,tbs_diffusion_graphtools_adaptive_nnls,family_metric_tree_linkage_method_average,average,0.666168224164975,0.7733148069265692,0.0,0.9796737682081731,7
overlap_mod_4c_small::none,tbs_diffusion_graphtools_adaptive_nnls,family_metric_tree_linkage_method_complete,complete,0.5740549638877116,0.7487011685919637,0.0,0.7845974735478051,7
overlap_mod_4c_small::none,tbs_diffusion_graphtools_adaptive_nnls,family_metric_tree_linkage_method_weighted,weighted,0.59927046169215,0.7095449751263401,0.0,0.8519665238745218,7
overlap_mod_4c_small::none,tbs_diffusion_graphtools_adaptive_nnls,family_metric_tree_linkage_method_single,single,0.0,0.0,0.0,0.0,7
overlap_mod_4c_small::none,tbs_diffusion_graphtools_adaptive_nnls,family_metric_tree_linkage_method_centroid,centroid,0.6711654350702076,0.7845974735478051,0.0,0.9934276124471753,7
overlap_mod_4c_small::none,tbs_diffusion_graphtools_adaptive_nnls,family_metric_tree_linkage_method_median,median,0.5644512957656939,0.7487011685919637,0.0,0.7653931375037205,7
overlap_mod_4c_small::none,tbs_diffusion_graphtools_adaptive_nnls,family_metric_tree_linkage_method_ward,ward,0.6672224937916196,0.7774918856524801,0.0,0.9934276124471753,7
overlap_mod_4c_small::none,tbs_diffusion_graphtools_adaptive_nnls,family_metric_tree_builder_neighbor_joining,neighbor_joining,0.24093863058997814,0.253142345791059,0.0,0.3263960446927602,7
overlap_mod_4c_small::normalized_branch_length,tbs_diffusion_graphtools_adaptive_nnls,family_metric_tree_linkage_method_average,average,0.666168224164975,0.7733148069265692,0.0,0.9796737682081731,7
overlap_mod_4c_small::normalized_branch_length,tbs_diffusion_graphtools_adaptive_nnls,family_metric_tree_linkage_method_complete,complete,0.5740549638877116,0.7487011685919637,0.0,0.7845974735478051,7
overlap_mod_4c_small::normalized_branch_length,tbs_diffusion_graphtools_adaptive_nnls,family_metric_tree_linkage_method_weighted,weighted,0.59927046169215,0.7095449751263401,0.0,0.8519665238745218,7
overlap_mod_4c_small::normalized_branch_length,tbs_diffusion_graphtools_adaptive_nnls,family_metric_tree_linkage_method_single,single,0.0,0.0,0.0,0.0,7
overlap_mod_4c_small::normalized_branch_length,tbs_diffusion_graphtools_adaptive_nnls,family_metric_tree_linkage_method_centroid,centroid,0.6711654350702076,0.7845974735478051,0.0,0.9934276124471753,7
overlap_mod_4c_small::normalized_branch_length,tbs_diffusion_graphtools_adaptive_nnls,family_metric_tree_linkage_method_median,median,0.5644512957656939,0.7487011685919637,0.0,0.7653931375037205,7
overlap_mod_4c_small::normalized_branch_length,tbs_diffusion_graphtools_adaptive_nnls,family_metric_tree_linkage_method_ward,ward,0.6672224937916196,0.7774918856524801,0.0,0.9934276124471753,7
overlap_mod_4c_small::normalized_branch_length,tbs_diffusion_graphtools_adaptive_nnls,family_metric_tree_builder_neighbor_joining,neighbor_joining,0.24093863058997814,0.253142345791059,0.0,0.3263960446927602,7
sbm_moderate::none,tbs_diffusion_graphtools_adaptive_nnls,family_metric_tree_linkage_method_average,average,1.0,1.0,1.0,1.0,7
sbm_moderate::none,tbs_diffusion_graphtools_adaptive_nnls,family_metric_tree_linkage_method_complete,complete,1.0,1.0,1.0,1.0,7
sbm_moderate::none,tbs_diffusion_graphtools_adaptive_nnls,family_metric_tree_linkage_method_weighted,weighted,1.0,1.0,1.0,1.0,7
sbm_moderate::none,tbs_diffusion_graphtools_adaptive_nnls,family_metric_tree_linkage_method_single,single,1.0,1.0,1.0,1.0,7
sbm_moderate::none,tbs_diffusion_graphtools_adaptive_nnls,family_metric_tree_linkage_method_centroid,centroid,1.0,1.0,1.0,1.0,7
sbm_moderate::none,tbs_diffusion_graphtools_adaptive_nnls,family_metric_tree_linkage_method_median,median,1.0,1.0,1.0,1.0,7
sbm_moderate::none,tbs_diffusion_graphtools_adaptive_nnls,family_metric_tree_linkage_method_ward,ward,1.0,1.0,1.0,1.0,7
sbm_moderate::none,tbs_diffusion_graphtools_adaptive_nnls,family_metric_tree_builder_neighbor_joining,neighbor_joining,1.0,1.0,1.0,1.0,7
sbm_moderate::normalized_branch_length,tbs_diffusion_graphtools_adaptive_nnls,family_metric_tree_linkage_method_average,average,1.0,1.0,1.0,1.0,7
sbm_moderate::normalized_branch_length,tbs_diffusion_graphtools_adaptive_nnls,family_metric_tree_linkage_method_complete,complete,1.0,1.0,1.0,1.0,7
sbm_moderate::normalized_branch_length,tbs_diffusion_graphtools_adaptive_nnls,family_metric_tree_linkage_method_weighted,weighted,1.0,1.0,1.0,1.0,7
sbm_moderate::normalized_branch_length,tbs_diffusion_graphtools_adaptive_nnls,family_metric_tree_linkage_method_single,single,1.0,1.0,1.0,1.0,7
sbm_moderate::normalized_branch_length,tbs_diffusion_graphtools_adaptive_nnls,family_metric_tree_linkage_method_centroid,centroid,1.0,1.0,1.0,1.0,7
sbm_moderate::normalized_branch_length,tbs_diffusion_graphtools_adaptive_nnls,family_metric_tree_linkage_method_median,median,1.0,1.0,1.0,1.0,7
sbm_moderate::normalized_branch_length,tbs_diffusion_graphtools_adaptive_nnls,family_metric_tree_linkage_method_ward,ward,1.0,1.0,1.0,1.0,7
sbm_moderate::normalized_branch_length,tbs_diffusion_graphtools_adaptive_nnls,family_metric_tree_builder_neighbor_joining,neighbor_joining,1.0,1.0,1.0,1.0,7
cat_clear_3cat_4c::none,tbs_diffusion_graphtools_adaptive_nnls,family_metric_tree_linkage_method_average,average,0.8331226295828066,0.7079646017699115,0.7079646017699115,1.0,7
cat_clear_3cat_4c::none,tbs_diffusion_graphtools_adaptive_nnls,family_metric_tree_linkage_method_complete,complete,0.8331226295828066,0.7079646017699115,0.7079646017699115,1.0,7
