source_case_id,metric_family,geometry_profile,tree_inference,status_none,found_clusters_none,ari_none,nmi_none,macro_f1_none,purity_none,silhouette_score_none,davies_bouldin_index_none,calinski_harabasz_index_none,largest_cluster_fraction_none,singleton_fraction_none,status_branch,found_clusters_branch,ari_branch,nmi_branch,macro_f1_branch,purity_branch,silhouette_score_branch,davies_bouldin_index_branch,calinski_harabasz_index_branch,largest_cluster_fraction_branch,singleton_fraction_branch,delta_found_clusters,delta_ari,delta_nmi,delta_macro_f1,delta_purity,delta_silhouette_score,delta_davies_bouldin_index,delta_calinski_harabasz_index,delta_largest_cluster_fraction,delta_singleton_fraction
binary_low_noise_4c,balanced_binary,hamming_via_binary_euclidean_embedding,weighted,ok,4.0,1.0,1.0,1.0,1.0,0.5640027318832306,0.6595768969356764,87.9128946734153,0.25,0.0,ok,4.0,1.0,1.0,1.0,1.0,0.5640027318832306,0.6595768969356764,87.9128946734153,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binary_low_noise_4c,balanced_binary,hamming_via_binary_euclidean_embedding,single,ok,4.0,1.0,1.0,1.0,1.0,0.5640027318832306,0.6595768969356764,87.9128946734153,0.25,0.0,ok,4.0,1.0,1.0,1.0,1.0,0.5640027318832306,0.6595768969356764,87.9128946734153,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binary_low_noise_4c,balanced_binary,hamming_via_binary_euclidean_embedding,centroid,ok,4.0,1.0,1.0,1.0,1.0,0.5640027318832306,0.6595768969356764,87.9128946734153,0.25,0.0,ok,4.0,1.0,1.0,1.0,1.0,0.5640027318832306,0.6595768969356764,87.9128946734153,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binary_low_noise_4c,balanced_binary,hamming_via_binary_euclidean_embedding,median,ok,4.0,1.0,1.0,1.0,1.0,0.5640027318832306,0.6595768969356764,87.9128946734153,0.25,0.0,ok,4.0,1.0,1.0,1.0,1.0,0.5640027318832306,0.6595768969356764,87.9128946734153,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binary_low_noise_4c,balanced_binary,hamming_via_binary_euclidean_embedding,ward,ok,4.0,1.0,1.0,1.0,1.0,0.5640027318832306,0.6595768969356764,87.9128946734153,0.25,0.0,ok,4.0,1.0,1.0,1.0,1.0,0.5640027318832306,0.6595768969356764,87.9128946734153,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binary_low_noise_4c,balanced_binary,hamming_via_binary_euclidean_embedding,neighbor_joining,ok,4.0,1.0,1.0,1.0,1.0,0.5640027318832306,0.6595768969356764,87.9128946734153,0.25,0.0,ok,4.0,1.0,1.0,1.0,1.0,0.5640027318832306,0.6595768969356764,87.9128946734153,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
overlap_mod_4c_small,sparse_overlap_binary,cosine_via_unit_sphere_embedding,average,ok,4.0,0.9147788543485026,0.8882959279087826,0.9675670496256451,0.9675,0.05521108071486181,3.4904828167534037,17.33007048665285,0.265,0.0,ok,4.0,0.9147788543485026,0.8882959279087826,0.9675670496256451,0.9675,0.05521108071486181,3.4904828167534037,17.33007048665285,0.265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
overlap_mod_4c_small,sparse_overlap_binary,cosine_via_unit_sphere_embedding,complete,ok,6.0,0.7427089542094091,0.7715416426856302,0.9306797467416644,0.93,0.009485444405361509,6.9548250579312265,8.654840641352326,0.2325,0.0,ok,6.0,0.7427089542094091,0.7715416426856302,0.9306797467416644,0.93,0.009485444405361509,6.9548250579312265,8.654840641352326,0.2325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
overlap_mod_4c_small,sparse_overlap_binary,cosine_via_unit_sphere_embedding,weighted,ok,6.0,0.7907713360041502,0.8099202413442246,0.9649652815535568,0.965,0.01785437645297791,6.8348463371476695,9.466427749280378,0.2475,0.0,ok,6.0,0.7907713360041502,0.8099202413442246,0.9649652815535568,0.965,0.01785437645297791,6.8348463371476695,9.466427749280378,0.2475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
overlap_mod_4c_small,sparse_overlap_binary,cosine_via_unit_sphere_embedding,single,ok,1.0,0.0,0.0,0.1,0.25,,,,1.0,0.0,ok,1.0,0.0,0.0,0.1,0.25,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
overlap_mod_4c_small,sparse_overlap_binary,cosine_via_unit_sphere_embedding,centroid,ok,4.0,0.9086762288886977,0.8817441684435953,0.9649652815535568,0.965,0.051664831965342516,3.6163200002204965,16.608173125775938,0.26,0.0,ok,4.0,0.9086762288886977,0.8817441684435953,0.9649652815535568,0.965,0.051664831965342516,3.6163200002204965,16.608173125775938,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
overlap_mod_4c_small,sparse_overlap_binary,cosine_via_unit_sphere_embedding,median,ok,8.0,0.7335740297535105,0.7783946275594964,0.9484041432093301,0.9475,-0.008870394605749326,5.345612580985623,6.355584002537087,0.2275,0.0025,ok,8.0,0.7335740297535105,0.7783946275594964,0.9484041432093301,0.9475,-0.008870394605749326,5.345612580985623,6.355584002537087,0.2275,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
overlap_mod_4c_small,sparse_overlap_binary,cosine_via_unit_sphere_embedding,ward,ok,4.0,0.9025204923564752,0.8765458468157277,0.962442747122749,0.9625,0.05406114518364817,3.612906850416002,17.169304102207438,0.2625,0.0,ok,4.0,0.9025204923564752,0.8765458468157277,0.962442747122749,0.9625,0.05406114518364817,3.612906850416002,17.169304102207438,0.2625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
overlap_mod_4c_small,sparse_overlap_binary,cosine_via_unit_sphere_embedding,neighbor_joining,ok,2.0,0.31285818058991716,0.5195042219415381,0.36909437773538323,0.495,0.03355415737547573,4.474163604290985,14.622044362952217,0.7475,0.0,ok,2.0,0.31285818058991716,0.5195042219415381,0.36909437773538323,0.495,0.03355415737547573,4.474163604290985,14.622044362952217,0.7475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sbm_moderate,sbm,regularized_laplacian_spectral,average,ok,1.0,0.0,0.0,0.19607843137254902,0.4166666666666667,,,,1.0,0.0,ok,1.0,0.0,0.0,0.19607843137254902,0.4166666666666667,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
sbm_moderate,sbm,regularized_laplacian_spectral,complete,ok,1.0,0.0,0.0,0.19607843137254902,0.4166666666666667,,,,1.0,0.0,ok,1.0,0.0,0.0,0.19607843137254902,0.4166666666666667,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
sbm_moderate,sbm,regularized_laplacian_spectral,weighted,ok,1.0,0.0,0.0,0.19607843137254902,0.4166666666666667,,,,1.0,0.0,ok,1.0,0.0,0.0,0.19607843137254902,0.4166666666666667,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
sbm_moderate,sbm,regularized_laplacian_spectral,single,ok,1.0,0.0,0.0,0.19607843137254902,0.4166666666666667,,,,1.0,0.0,ok,1.0,0.0,0.0,0.19607843137254902,0.4166666666666667,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
sbm_moderate,sbm,regularized_laplacian_spectral,centroid,ok,1.0,0.0,0.0,0.19607843137254902,0.4166666666666667,,,,1.0,0.0,ok,1.0,0.0,0.0,0.19607843137254902,0.4166666666666667,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
sbm_moderate,sbm,regularized_laplacian_spectral,median,ok,1.0,0.0,0.0,0.19607843137254902,0.4166666666666667,,,,1.0,0.0,ok,1.0,0.0,0.0,0.19607843137254902,0.4166666666666667,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
