schema_version,test_case,source_case_id,case_id,case_category,method,benchmark_grid,run_id,tree_inference,branch_time_mode,metric_family,geometry_profile,graph_distance,nnls_target,geometry_dimension,elapsed_sec,geometry_constant_columns,status,skip_reason,true_clusters,found_clusters,labels_length,ari,nmi,ami,purity,homogeneity,completeness,v_measure,fowlkes_mallows,macro_recall,macro_f1,worst_cluster_recall,n_singleton_clusters,singleton_fraction,median_cluster_size,largest_cluster_fraction,effective_cluster_count,cluster_size_entropy,cluster_size_gini,noise_label_fraction,silhouette_score,davies_bouldin_index,calinski_harabasz_index,outlier_precision,outlier_recall,outlier_f1,singleton_outlier_isolated,grouped_outlier_cluster_recovered,root_smaller_child_fraction,nnls_normalized_residual_rmse,nnls_residual_rmse,nnls_target_mean,nnls_zero_branch_fraction,trace_edge_open,trace_sibling_open,root_edge_gate_open,root_sibling_p_value_corrected,min_edge_open_sibling_p_value_corrected,min_left_edge_p_value_bh,topology_kcut_ari,topology_kcut_nmi,topology_kcut_macro_f1,topology_kcut_silhouette_score,topology_kcut_largest_cluster_fraction,topology_exact_true_cluster_clade_fraction,topology_weighted_true_cluster_clade_purity,adaptive_neighbor_selected_k,geometry_ledoit_wolf_shrinkage,geometry_embedding_dimension,geometry_dimension_rule,geometry_zero_rows,geometry_regularization_tau,geometry_mean_degree,geometry_retained_eigenvalues,geometry_categorical_blocks,geometry_block_distance_identity,tree_priority,mean_partition_agreement,median_partition_agreement,agreement_pair_count,valid_internal_metrics,dominant_cluster_penalty,silhouette_rank,calinski_harabasz_rank,davies_bouldin_rank,cluster_count_rank,method_stability_rank,internal_core_rank_mean,sharp_label_free_score,sharp_label_free_score_rounded
family_metric_nnls_grid/v1,13,gauss_clear_medium_continuous,gauss_clear_medium_continuous::normalized_branch_length,continuous_gaussian,tbs_diffusion_graphtools_adaptive_nnls,graphtools_adaptive_k_tree_strategy,family_metric_tree_linkage_method_weighted,weighted,normalized_branch_length,continuous_gaussian,standardized_euclidean,euclidean_on_selected_embedding,squared_euclidean,40,0.1954177500001606,0.0,ok,,4.0,1.0,60,0.0,0.0,0.0,0.25,0.0,1.0,0.0,0.4871223004474547,0.25,0.1,0.0,0.0,0.0,60.0,1.0,1.0,-0.0,0.0,0.0,,,,,,,,,0.25,0.03252194684024289,0.06504389368048578,2.0,0.07627118644067797,0.0,0.0,False,,,0.39855934720135744,1.0,1.0,1.0,0.869136284970377,0.25,1.0,1.0,10.0,,,,,,,,,,0,1.0,1.0,7,False,100.0,,,,,,,,
family_metric_nnls_grid/v1,13,gauss_clear_medium_continuous,gauss_clear_medium_continuous::normalized_branch_length,continuous_gaussian,tbs_diffusion_graphtools_adaptive_nnls,graphtools_adaptive_k_tree_strategy,family_metric_tree_linkage_method_single,single,normalized_branch_length,continuous_gaussian,standardized_euclidean,euclidean_on_selected_embedding,squared_euclidean,40,0.1904420000000755,0.0,ok,,4.0,1.0,60,0.0,0.0,0.0,0.25,0.0,1.0,0.0,0.4871223004474547,0.25,0.1,0.0,0.0,0.0,60.0,1.0,1.0,-0.0,0.0,0.0,,,,,,,,,0.25,0.03259306073833059,0.06518612147666118,2.0,0.05084745762711865,0.0,0.0,False,,,0.05164970977868315,1.0,1.0,1.0,0.869136284970377,0.25,1.0,1.0,10.0,,,,,,,,,,7,1.0,1.0,7,False,100.0,,,,,,,,
family_metric_nnls_grid/v1,13,gauss_clear_medium_continuous,gauss_clear_medium_continuous::normalized_branch_length,continuous_gaussian,tbs_diffusion_graphtools_adaptive_nnls,graphtools_adaptive_k_tree_strategy,family_metric_tree_linkage_method_centroid,centroid,normalized_branch_length,continuous_gaussian,standardized_euclidean,euclidean_on_selected_embedding,squared_euclidean,40,0.19885787500015795,0.0,ok,,4.0,1.0,60,0.0,0.0,0.0,0.25,0.0,1.0,0.0,0.4871223004474547,0.25,0.1,0.0,0.0,0.0,60.0,1.0,1.0,-0.0,0.0,0.0,,,,,,,,,0.25,0.03345814122487828,0.06691628244975656,2.0,0.0423728813559322,0.0,0.0,False,,,0.1336785763349228,1.0,1.0,1.0,0.869136284970377,0.25,1.0,1.0,10.0,,,,,,,,,,4,1.0,1.0,7,False,100.0,,,,,,,,
family_metric_nnls_grid/v1,13,gauss_clear_medium_continuous,gauss_clear_medium_continuous::normalized_branch_length,continuous_gaussian,tbs_diffusion_graphtools_adaptive_nnls,graphtools_adaptive_k_tree_strategy,family_metric_tree_linkage_method_median,median,normalized_branch_length,continuous_gaussian,standardized_euclidean,euclidean_on_selected_embedding,squared_euclidean,40,0.1949078340003325,0.0,ok,,4.0,1.0,60,0.0,0.0,0.0,0.25,0.0,1.0,0.0,0.4871223004474547,0.25,0.1,0.0,0.0,0.0,60.0,1.0,1.0,-0.0,0.0,0.0,,,,,,,,,0.25,0.032537661586355,0.06507532317271,2.0,0.09322033898305085,0.0,0.0,False,,,0.06736834325482281,1.0,1.0,1.0,0.869136284970377,0.25,1.0,1.0,10.0,,,,,,,,,,5,1.0,1.0,7,False,100.0,,,,,,,,
family_metric_nnls_grid/v1,13,gauss_clear_medium_continuous,gauss_clear_medium_continuous::normalized_branch_length,continuous_gaussian,tbs_diffusion_graphtools_adaptive_nnls,graphtools_adaptive_k_tree_strategy,family_metric_tree_linkage_method_ward,ward,normalized_branch_length,continuous_gaussian,standardized_euclidean,euclidean_on_selected_embedding,squared_euclidean,40,0.18766312500019922,0.0,ok,,4.0,1.0,60,0.0,0.0,0.0,0.25,0.0,1.0,0.0,0.4871223004474547,0.25,0.1,0.0,0.0,0.0,60.0,1.0,1.0,-0.0,0.0,0.0,,,,,,,,,0.25,0.03345122679648228,0.06690245359296455,2.0,0.025423728813559324,0.0,0.0,False,,,0.1640015744561309,1.0,1.0,1.0,0.869136284970377,0.25,1.0,1.0,10.0,,,,,,,,,,1,1.0,1.0,7,False,100.0,,,,,,,,
family_metric_nnls_grid/v1,13,gauss_clear_medium_continuous,gauss_clear_medium_continuous::normalized_branch_length,continuous_gaussian,tbs_diffusion_graphtools_adaptive_nnls,graphtools_adaptive_k_tree_strategy,family_metric_tree_builder_neighbor_joining,neighbor_joining,normalized_branch_length,continuous_gaussian,standardized_euclidean,euclidean_on_selected_embedding,squared_euclidean,40,0.2604212080000252,0.0,ok,,4.0,1.0,60,0.0,0.0,0.0,0.25,0.0,1.0,0.0,0.4871223004474547,0.25,0.1,0.0,0.0,0.0,60.0,1.0,1.0,-0.0,0.0,0.0,,,,,,,,,0.25,0.032388086000320955,0.06477617200064191,2.0,0.06779661016949153,0.0,0.0,False,,,0.9924466347237149,1.0,1.0,1.0,0.869136284970377,0.25,1.0,1.0,10.0,,,,,,,,,,6,1.0,1.0,7,False,100.0,,,,,,,,
family_metric_nnls_grid/v1,117,cont_lowrank_pggn_shrinkage,cont_lowrank_pggn_shrinkage::none,high_dimensional_continuous,tbs_diffusion_graphtools_adaptive_nnls,graphtools_adaptive_k_tree_strategy,family_metric_tree_linkage_method_average,average,none,high_dimensional_continuous,ledoit_wolf_shrinkage_mahalanobis,euclidean_on_selected_embedding,squared_euclidean,80,0.21225224999989223,0.0,skip,"ValueError: Cannot fit sibling inflation model: no strict-null or stopped-edge empirical-null calibration records with positive weight. Found 79 selected non-null positive-weight record(s), which are not valid empirical-null calibration support.",,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9754405553604388,80.0,all_nonzero_sample_singular_directions,,,,,,,3,,,0,False,100.0,,,,,,,,
family_metric_nnls_grid/v1,117,cont_lowrank_pggn_shrinkage,cont_lowrank_pggn_shrinkage::none,high_dimensional_continuous,tbs_diffusion_graphtools_adaptive_nnls,graphtools_adaptive_k_tree_strategy,family_metric_tree_linkage_method_complete,complete,none,high_dimensional_continuous,ledoit_wolf_shrinkage_mahalanobis,euclidean_on_selected_embedding,squared_euclidean,80,0.1926922080001532,0.0,skip,"ValueError: Cannot fit sibling inflation model: no strict-null or stopped-edge empirical-null calibration records with positive weight. Found 79 selected non-null positive-weight record(s), which are not valid empirical-null calibration support.",,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9754405553604388,80.0,all_nonzero_sample_singular_directions,,,,,,,2,,,0,False,100.0,,,,,,,,
family_metric_nnls_grid/v1,117,cont_lowrank_pggn_shrinkage,cont_lowrank_pggn_shrinkage::none,high_dimensional_continuous,tbs_diffusion_graphtools_adaptive_nnls,graphtools_adaptive_k_tree_strategy,family_metric_tree_linkage_method_weighted,weighted,none,high_dimensional_continuous,ledoit_wolf_shrinkage_mahalanobis,euclidean_on_selected_embedding,squared_euclidean,80,0.19766116599976158,0.0,skip,"ValueError: Cannot fit sibling inflation model: no strict-null or stopped-edge empirical-null calibration records with positive weight. Found 79 selected non-null positive-weight record(s), which are not valid empirical-null calibration support.",,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9754405553604388,80.0,all_nonzero_sample_singular_directions,,,,,,,0,,,0,False,100.0,,,,,,,,
family_metric_nnls_grid/v1,117,cont_lowrank_pggn_shrinkage,cont_lowrank_pggn_shrinkage::none,high_dimensional_continuous,tbs_diffusion_graphtools_adaptive_nnls,graphtools_adaptive_k_tree_strategy,family_metric_tree_linkage_method_single,single,none,high_dimensional_continuous,ledoit_wolf_shrinkage_mahalanobis,euclidean_on_selected_embedding,squared_euclidean,80,0.5669242500002838,0.0,ok,,4.0,1.0,80,0.0,0.0,0.0,0.25,0.0,1.0,0.0,0.49041444627368397,0.25,0.1,0.0,0.0,0.0,80.0,1.0,1.0,-0.0,0.0,0.0,,,,,,,,,0.0125,0.013358139773362398,0.016778685145238854,1.256064499242432,0.012658227848101266,9.0,0.0,True,0.8161126482026393,0.02923796715533885,0.0,0.0019999333355554816,0.06833614784571121,0.12690230731467844,0.006115479841531485,0.9625,0.0,0.28658293460925044,10.0,0.9754405553604388,80.0,all_nonzero_sample_singular_directions,,,,,,,7,0.5,0.5,2,False,100.0,,,,,,,,
