source_case_id,metric_family,geometry_profile,branch_time_mode,ok_cells,mean_found_clusters,mean_ari,median_ari,mean_nmi,median_nmi,mean_macro_f1,median_macro_f1,mean_purity,median_purity,mean_silhouette_score,median_silhouette_score,mean_davies_bouldin_index,median_davies_bouldin_index,mean_calinski_harabasz_index,median_calinski_harabasz_index,mean_largest_cluster_fraction,median_largest_cluster_fraction,mean_singleton_fraction,median_singleton_fraction,mean_nnls_normalized_residual_rmse,median_nnls_normalized_residual_rmse,mean_root_smaller_child_fraction,median_root_smaller_child_fraction,mean_topology_kcut_ari,median_topology_kcut_ari,mean_topology_kcut_nmi,median_topology_kcut_nmi,mean_topology_kcut_macro_f1,median_topology_kcut_macro_f1,mean_topology_kcut_silhouette_score,median_topology_kcut_silhouette_score,mean_topology_kcut_largest_cluster_fraction,median_topology_kcut_largest_cluster_fraction,mean_topology_exact_true_cluster_clade_fraction,median_topology_exact_true_cluster_clade_fraction,mean_topology_weighted_true_cluster_clade_purity,median_topology_weighted_true_cluster_clade_purity,mean_root_sibling_p_value_corrected,median_root_sibling_p_value_corrected,mean_min_edge_open_sibling_p_value_corrected,median_min_edge_open_sibling_p_value_corrected
binary_low_noise_4c,balanced_binary,hamming_via_binary_euclidean_embedding,none,8,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5640027318832306,0.5640027318832306,0.6595768969356764,0.6595768969356764,87.9128946734153,87.9128946734153,0.25,0.25,0.0,0.0,0.05921743259745463,0.059454055818311854,0.25,0.25,1.0,1.0,1.0,1.0,1.0,1.0,0.5640027318832306,0.5640027318832306,0.25,0.25,1.0,1.0,1.0,1.0,0.0009554070281531043,1.1649418121767494e-08,3.539390101026978e-11,2.4866502886933055e-11
binary_low_noise_4c,balanced_binary,hamming_via_binary_euclidean_embedding,normalized_branch_length,8,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5640027318832306,0.5640027318832306,0.6595768969356764,0.6595768969356764,87.9128946734153,87.9128946734153,0.25,0.25,0.0,0.0,0.05921743259745463,0.059454055818311854,0.25,0.25,1.0,1.0,1.0,1.0,1.0,1.0,0.5640027318832306,0.5640027318832306,0.25,0.25,1.0,1.0,1.0,1.0,0.000925655511676039,5.849427994705193e-09,2.5322181383449113e-11,1.5786687005613992e-11
cat_clear_3cat_4c,categorical,block_aware_mismatch_hellinger,none,8,3.5,0.8539823008849557,0.8539823008849557,0.9285714285714286,0.9285714285714286,0.8333333333333333,0.8333333333333333,0.875,0.875,0.10045929317275676,0.1034726054671533,2.778066335329447,2.715476069182927,11.679885898444693,12.010089344272373,0.375,0.375,0.0,0.0,0.08807276402454163,0.0882028239557594,0.25,0.25,-5.6841147938575005e-05,0.0001515763945028,0.05405798714708215,0.0542591399859466,0.14813209331651955,0.1409205548549811,-0.062309667861124504,-0.0615569672089506,0.97,0.97,0.96875,1.0,0.984375,1.0,5.968761999245131e-06,4.938086228593733e-09,5.968761999245131e-06,4.938086228593733e-09
cat_clear_3cat_4c,categorical,block_aware_mismatch_hellinger,normalized_branch_length,8,3.5,0.8539823008849557,0.8539823008849557,0.9285714285714286,0.9285714285714286,0.8333333333333333,0.8333333333333333,0.875,0.875,0.10045929317275676,0.1034726054671533,2.778066335329447,2.715476069182927,11.679885898444693,12.010089344272373,0.375,0.375,0.0,0.0,0.08807276402454163,0.0882028239557594,0.25,0.25,-5.6841147938575005e-05,0.0001515763945028,0.05405798714708215,0.0542591399859466,0.14813209331651955,0.1409205548549811,-0.062309667861124504,-0.0615569672089506,0.97,0.97,0.96875,1.0,0.984375,1.0,5.59711436670078e-06,2.4846709420429888e-09,5.59711436670078e-06,2.4846709420429888e-09
cont_lowrank_pggn_shrinkage,high_dimensional_continuous,ledoit_wolf_shrinkage_mahalanobis,none,3,3.0,0.020901061107046134,0.0,0.05096850739428797,0.0,0.20598035468602605,0.1,0.32083333333333336,0.25,-0.008046454116498,-0.008046454116498,3.71237693133228,3.71237693133228,1.0007987892571308,1.0007987892571308,0.8291666666666666,1.0,0.012499999999999999,0.0,0.013159934131208901,0.0131119656953973,0.08750000000000001,0.025,0.0008296019762303333,0.0002444362965678,0.06719970345715699,0.0666314812628799,0.14277532318769426,0.1507118311242022,0.005224227438502367,0.0050304696922622,0.9625,0.9625,0.0,0.0,0.2675014613869103,0.2659214495514805,0.5306361299038788,0.4946338896111095,0.0598477715966654,0.0292379671553388
cont_lowrank_pggn_shrinkage,high_dimensional_continuous,ledoit_wolf_shrinkage_mahalanobis,normalized_branch_length,3,3.0,0.020901061107046134,0.0,0.05096850739428797,0.0,0.20598035468602605,0.1,0.32083333333333336,0.25,-0.008046454116498,-0.008046454116498,3.71237693133228,3.71237693133228,1.0007987892571308,1.0007987892571308,0.8291666666666666,1.0,0.012499999999999999,0.0,0.013159934131208901,0.0131119656953973,0.08750000000000001,0.025,0.0008296019762303333,0.0002444362965678,0.06719970345715699,0.0666314812628799,0.14277532318769426,0.1507118311242022,0.005224227438502367,0.0050304696922622,0.9625,0.9625,0.0,0.0,0.2675014613869103,0.2659214495514805,0.5298060236707619,0.4944169861100215,0.059450292331432064,0.0280819598953758
gauss_clear_medium_continuous,continuous_gaussian,standardized_euclidean,none,8,1.0,0.0,0.0,0.0,0.0,0.1,0.1,0.25,0.25,,,,,,,1.0,1.0,0.0,0.0,0.03286464965297355,0.03256536116234275,0.25,0.25,1.0,1.0,1.0,1.0,1.0,1.0,0.869136284970377,0.869136284970377,0.25,0.25,1.0,1.0,1.0,1.0,0.17124642591123213,0.1285528805936638,0.14320087805968687,0.1285528805936638
gauss_clear_medium_continuous,continuous_gaussian,standardized_euclidean,normalized_branch_length,8,1.0,0.0,0.0,0.0,0.0,0.1,0.1,0.25,0.25,,,,,,,1.0,1.0,0.0,0.0,0.03286464965297355,0.03256536116234275,0.25,0.25,1.0,1.0,1.0,1.0,1.0,1.0,0.869136284970377,0.869136284970377,0.25,0.25,1.0,1.0,1.0,1.0,,,,
overlap_mod_4c_small,sparse_overlap_binary,cosine_via_unit_sphere_embedding,none,8,4.375,0.6632360095188328,0.7667401451067797,0.6907433345873744,0.7941574344518605,0.7760148284427356,0.9554234451660395,0.8103125,0.9550000000000001,0.030422948784559745,0.0335541573754757,4.904165321106487,4.474163604290985,12.886634924394034,14.622044362952217,0.4053125,0.26125,0.0003125,0.0,0.11155803955298554,0.1114565913325607,0.15125,0.20625,4.398733063611882e-06,8.607592757571454e-06,0.014497419215966137,0.0145018073644612,0.11112342371058032,0.1105046118293922,-0.0314441733721541,-0.02705700327070605,0.9925,0.9925,0.0,0.0,0.29685500067933485,0.29731143129451154,0.182634285387518,3.970812400491941e-09,0.08253131280989527,2.9266988275808214e-11
overlap_mod_4c_small,sparse_overlap_binary,cosine_via_unit_sphere_embedding,normalized_branch_length,8,4.375,0.6632360095188328,0.7667401451067797,0.6907433345873744,0.7941574344518605,0.7760148284427356,0.9554234451660395,0.8103125,0.9550000000000001,0.030422948784559745,0.0335541573754757,4.904165321106487,4.474163604290985,12.886634924394034,14.622044362952217,0.4053125,0.26125,0.0003125,0.0,0.11155803955298554,0.1114565913325607,0.15125,0.20625,4.398733063611882e-06,8.607592757571454e-06,0.014497419215966137,0.0145018073644612,0.11112342371058032,0.1105046118293922,-0.0314441733721541,-0.02705700327070605,0.9925,0.9925,0.0,0.0,0.29685500067933485,0.29731143129451154,0.18232190832976178,7.70344809963277e-09,0.08240556287629087,7.272335211386081e-11
sbm_moderate,sbm,regularized_laplacian_spectral,none,8,1.0,0.0,0.0,0.0,0.0,0.196078431372549,0.196078431372549,0.4166666666666667,0.4166666666666667,,,,,,,1.0,1.0,0.0,0.0,0.688292056205069,0.6900938768786997,0.23333333333333328,0.22083333333333333,0.019313169842774047,-0.00303067192613,0.06377374210929468,0.0281119378220133,0.25068128710213045,0.2107046070460705,0.2069120119874814,0.1606452668087751,0.9281249999999999,0.9833333333333332,0.0,0.0,0.3551447129902102,0.3472222222222222,0.4056941040830396,0.41102156469358586,0.11969723202508847,0.11655544419929365
sbm_moderate,sbm,regularized_laplacian_spectral,normalized_branch_length,8,1.0,0.0,0.0,0.0,0.0,0.196078431372549,0.196078431372549,0.4166666666666667,0.4166666666666667,,,,,,,1.0,1.0,0.0,0.0,0.688292056205069,0.6900938768786997,0.23333333333333328,0.22083333333333333,0.019313169842774047,-0.00303067192613,0.06377374210929468,0.0281119378220133,0.25068128710213045,0.2107046070460705,0.2069120119874814,0.1606452668087751,0.9281249999999999,0.9833333333333332,0.0,0.0,0.3551447129902102,0.3472222222222222,0.31985981713769585,0.3176906467620334,0.21408392811948634,0.2046203267064436
