gene,mode_52,mode_53,mode_54,mode_55,mode_56,mode_57,mode_58,mode_59,mode_60,mode_61,mode_62,mode_63,mode_64,mode_65,mode_66,mode_67,mode_68,mode_69,mode_70,mode_71,mode_72,mode_73,mode_74,mode_75,mode_76,mode_77,mode_78,mode_79,mode_80
SRSF2,0.06715780966956467,0.0577915510339042,-0.002779825395540352,-0.08297805394167745,0.025259312421348937,0.04992523957633918,-0.03170535579144695,-0.031240138539241548,-0.09868375691701524,0.013603324446568508,0.008075894794028855,0.0238223541056332,-0.029591525334802072,-0.0057736583144510694,-0.007087306094187095,-0.09610338462232888,0.08634483168004675,0.024717225553993354,0.003776110915223047,-0.022091973755888256,-0.04844103754426337,-0.011573575827074715,-0.03916299446674578,0.011587055389651478,0.03646101648808855,0.026237455394900557,0.0788565904714889,-0.015021980828130211,-0.026251447813425317
RARA,0.028822814432139576,-0.08217841262382376,-0.03131379222966564,0.01633089049457837,-0.06962891177507344,0.07435106849894878,-0.043273778344175826,-0.005013383556840023,-0.019642435631692254,0.0026435925636812086,-0.0009619896420494293,0.0160757388225716,-0.01830613462632778,-0.054866894375302934,0.029791528922194586,-0.019336300461545775,0.07199232485487551,0.0833984541743288,0.015411108125808192,0.006119608277697531,-0.05134874306738248,0.00706271078417973,0.07408379791875062,-0.0034974412509196444,-0.06795553021329362,-0.08254284980361444,0.02532207646985661,0.003120003765190472,-0.028908650005417626
SMC3,-0.055702407209393824,-0.04910562744020794,-0.026121226884717418,0.044127192720866244,-0.04131226889741163,-0.016223576648596864,-0.0016090884323963332,0.000950983490124025,0.0064261628868760865,0.028306907701835533,0.029314410226526696,-0.012362215773590994,-0.003199988090439282,0.01030496972393143,-0.07306788198259362,0.0018960652537313052,0.0012454765357104397,0.03309050081565396,-0.07496724773636318,0.01397314027085883,0.022677324843686234,-0.002164596798403634,-0.03746330393923897,0.03020725801035134,0.030254960869086262,-0.029106400494649392,0.01665113198856802,-0.004473381467398222,0.03419475264606992
DEK,0.06232678141860117,0.08964919845943155,0.09361658144529422,-0.054239445846133355,0.10610516773167279,-0.021365569141825504,0.009901393968747226,0.015800270827827947,0.043684013301777985,-0.04457323065213051,0.1423597334236264,-0.03106621050266838,-0.060271262852242824,0.11536277434452154,-0.09371463667021375,-0.0257950857093797,0.07034174990072706,-0.020230584620990196,-0.004541640629600367,0.009832991032468331,-0.0034852515282294575,-0.013051748454549768,-0.07526053416204892,-0.03345455779717523,-0.05210124334220495,0.0195021461422443,0.0010746143044036032,-0.015553751287402842,0.08449406466815404
TET2,-0.0018148190141876932,-0.07961994728108421,0.1001508625570038,-0.0002624173110634821,0.019650553535780553,-0.042972831655110455,0.20673978315516991,-0.050911394431444476,-0.05690466550751825,-0.055004217632139286,-0.049408563670729225,0.045622746152289416,-0.06426288943532374,-0.05992984688229719,-0.08009290071636276,-0.02114059552774265,0.03938526787742494,0.054664916450429285,-0.19017939530550756,0.030017922241828063,6.0573859268337335e-05,0.05539502521499541,-0.15716057724958188,-0.040238273066463014,-0.024589711439043472,0.08948145143093905,0.00858812893413627,0.02463037490184707,0.02139663633715618
PML,-0.03597066064514128,-0.012701275262576014,0.11763562290464592,0.0142927890565741,0.020885446332652133,0.013563623155093022,0.07598302019531464,-0.025984986108968888,0.13792172699248278,0.18931855058560088,0.030413379042944062,0.09170115267617127,-0.003528312648731429,0.08008767613464571,0.12231805926698132,-0.07284688309214457,0.03008994389544389,0.105433264083802,-0.02084353206144863,0.0559360848243493,-0.06264028351758281,0.04122319455537668,0.07004252735837518,-0.06141223219720592,0.1007050678288606,-0.021566186060054306,0.08283296480900176,0.026147052120684147,-0.01031977669267927
TP53,-0.08545173809476818,0.017728304461528416,0.04794478615558589,0.005899943328620894,-0.005042593027182213,-0.05974856108017763,-0.05178729736807619,0.04593532956176351,-0.006969367390424836,-0.029991845436859326,0.00100035459007239,0.17350649873331037,-0.026301598437572328,-0.039095709324768524,-0.09271804408867518,0.09200590235745736,0.014354255310858871,0.015855077407380055,-0.013527093397339792,0.014546563093884959,-0.012434638283767289,0.0031804729619717524,0.04446329177121337,-0.02174834271203903,-0.04361776271072566,0.008522843797616527,0.027899503053316902,-0.08564144325231925,-0.011407278698429451
SMC1A,-0.0898538667033476,0.03368212412670805,0.024838754716252923,0.023378536439037038,-0.012070221785517934,-0.02762772159185347,-0.06752843007648218,0.03789098897645115,-0.006336502695040245,-0.0017212879730108775,-0.012586510906150927,0.05195751459036609,0.020930820359403676,0.08614069993206944,0.048681074914725724,0.0399053712788681,0.04015172669196168,0.004124916847901213,0.04725780058383488,-0.01258512638258137,-0.03900011697898026,-0.0019857860903842372,-0.03507603071731253,-0.095230392650104,-0.04777556053969378,0.0452452796411364,0.027045375030643956,0.06251896534323781,-0.05068527561740983
FLT3,-0.004951542638050566,0.0038454560049296844,-0.022389619085334652,-0.03603217988339465,-0.004375115059169383,0.01869931554325496,0.054577035098926724,-0.033724365562947195,0.006814272453275297,-0.011311535306035516,0.02509875252615959,0.009040295590310716,0.004968282580479448,0.011632836604953652,-0.010753915735992763,0.04419730244616279,-0.059925675052561134,-0.0016548289687700775,-0.04320705967037519,-0.028346302986032336,-0.06256995619329013,0.015752164040834852,-0.004802681305789806,-0.01008891232054334,0.023257147228760666,-0.014073250103673647,0.017521841384303894,-0.025766571610894018,-0.0137005563379771
RUNX1,0.011925101034824442,-0.022040563176126304,0.026417067125179085,-0.03558957998706784,0.11006917271642505,0.13414267569490668,0.004880959053295317,0.009893027127167732,0.029566356634493206,-0.013580676544493962,-0.03674707770772806,-0.0944125643991735,0.006309701876016943,-0.010112936358582772,0.050507813500520866,-0.06867851825576855,0.08153307112396643,0.018603382152091997,0.009556340623078897,-0.08464384988804513,-0.018526564854219905,0.10411898652207148,-0.04019595948817366,-0.09022813530890865,-0.011489678683431965,-0.05779064849229098,0.013236723521869607,-0.04043203030095896,-0.04633201343383716
