component,singular_value,explained_variance_ratio,cumulative_explained_variance_ratio
1,73.1209886919599,0.11069291401371906,0.11069291401371906
2,57.00436538774047,0.18099006446720117,0.29168297848092023
3,36.588453977572854,0.07439897393316093,0.36608195241408115
4,28.003693449435065,0.04397036945748704,0.4100523218715682
5,23.29711998524234,0.030977927309949773,0.44103024918151795
6,23.28062585114789,0.03081238493994212,0.47184263412146005
7,22.960560162084114,0.029468030040550593,0.5013106641620106
8,19.050128421972055,0.020664668567276476,0.5219753327292871
9,17.541600937105347,0.01754486627969181,0.5395201990089789
10,17.15597998361535,0.016817601962373994,0.5563378009713529
11,16.527275332644614,0.015345982023110251,0.5716837829944631
12,16.137952635459104,0.014487364596080932,0.586171147590544
13,15.342203558605927,0.01335892730385844,0.5995300748944025
14,15.03131650676802,0.012910069980547393,0.6124401448749499
15,14.182549049280397,0.011368680294778503,0.6238088251697285
16,13.79103522202436,0.010848946184516095,0.6346577713542445
17,13.642295722590372,0.010609689764390922,0.6452674611186354
18,13.473291985808856,0.010230853793008894,0.6554983149116443
19,12.998508575835098,0.009580717379054866,0.6650790322906992
20,12.70965093224529,0.009230016249811167,0.6743090485405103
21,12.481677813087035,0.008900044952601164,0.6832090934931115
22,12.1639112422603,0.008420945915473666,0.6916300394085853
23,11.800527406422342,0.007918102749333328,0.6995481421579186
24,11.529957051139023,0.007596012828604446,0.707144154986523
25,11.28152942205035,0.007262963385389742,0.7144071183719128
26,11.221500804714132,0.007194293180036628,0.7216014115519495
27,11.035581886989347,0.006944128227890909,0.7285455397798404
28,10.86030678935622,0.006687794298258242,0.7352333340780987
29,10.652741888092669,0.006479260825860242,0.7417125949039589
30,10.452713732903973,0.006229465666890971,0.7479420605708499
31,10.35415312760867,0.0061255108250607,0.7540675713959106
32,10.175958606486557,0.0058827828751627405,0.7599503542710734
33,10.098888279602184,0.005823755961095548,0.7657741102321689
34,9.822786081496233,0.005512954556617002,0.771287064788786
35,9.772624918404892,0.005419997252700842,0.7767070620414868
36,9.66855021182518,0.005331163387538232,0.782038225429025
37,9.569198407437806,0.005232186142335944,0.7872704115713609
38,9.440977366374126,0.0050904067754827045,0.7923608183468436
39,9.300274907905237,0.004933350710123302,0.7972941690569669
40,9.285468591954254,0.004924486156851701,0.8022186552138186
41,9.054934600007428,0.004675612873603562,0.8068942680874222
42,8.86043215782355,0.004482369525095733,0.8113766376125179
43,8.833574300473044,0.004456335561399467,0.8158329731739173
44,8.764575062470907,0.004381700564910304,0.8202146737388276
45,8.718653933695133,0.0043402621385057105,0.8245549358773333
46,8.61597484903358,0.004240558954932173,0.8287954948322654
47,8.54302611063493,0.004165813903021088,0.8329613087352865
48,8.43708521303381,0.004065472708936593,0.8370267814442232
49,8.414946402191514,0.004045515741510782,0.841072297185734
50,8.33101716794556,0.003959381297072656,0.8450316784828066
51,8.231590637330903,0.0038717085806872454,0.8489033870634938
52,7.92139888508148,0.0035828794760487796,0.8524862665395425
53,7.896983907893891,0.0035435729399412672,0.8560298394794837
54,7.845814081804448,0.003517314474242327,0.859547153953726
55,7.802063055267523,0.0034743678915996083,0.8630215218453257
56,7.679770200058407,0.00336307379300448,0.8663845956383301
57,7.6432380194283684,0.0033326245026343167,0.8697172201409644
58,7.581092427788282,0.003279174344829317,0.8729963944857937
59,7.535998095057925,0.003234543643205215,0.8762309381289989
60,7.4208735453845405,0.0031296865653266024,0.8793606246943255
61,7.362126800855693,0.0030970001972535554,0.8824576248915791
62,7.301869637524828,0.0030432731901249835,0.8855008980817041
63,7.289695917358349,0.0030351524448272494,0.8885360505265313
64,7.1867490810689265,0.002949874630611092,0.8914859251571424
65,7.040576838719099,0.0028322055301570905,0.8943181306872995
66,6.967101797031579,0.0027722954444709563,0.8970904261317705
67,6.900673688999526,0.002720944009230696,0.8998113701410012
68,6.7690314949315304,0.0026173698973940753,0.9024287400383952
69,6.721751506010028,0.0025716081851476424,0.9050003482235429
70,6.711328681545051,0.002573247374230985,0.907573595597774
71,6.612481229749245,0.0024828080829622868,0.9100564036807363
72,6.58556239965013,0.0024751795729010596,0.9125315832536374
73,6.479326209215348,0.002395163286488454,0.9149267465401258
74,6.429794565839552,0.002362201522479969,0.9172889480626059
75,6.371376267258084,0.002317486563275217,0.9196064346258811
76,6.272535554220311,0.002248137315388004,0.9218545719412691
77,6.228055088761757,0.002213370958146266,0.9240679428994153
78,6.152352917389109,0.002158880400436871,0.9262268232998522
79,6.11043171082214,0.002131162275405794,0.928357985575258
80,5.994339627453468,0.002052799752476861,0.9304107853277348
