duplicate_group_id,n_members,members
28,5,Triglyceride Metabolism;Triglyceride Catabolism;Trafficking of GluR2-containing AMPA Receptors;Proton-coupled Monocarboxylate Transport;VLDL Clearance
36,5,Keratan Sulfate Keratin Metabolism;Keratan Sulfate Biosynthesis;Glycosaminoglycan Metabolism;Synthesis of PIPs at the ER Membrane;N-Glycan Antennae Elongation
104,5,FBXL7 Down-Regulates AURKA During Mitotic Entry and in Early Mitosis;GSK3B and BTRC CUL1-mediated-degradation of NFE2L2;Degradation of GLI1 by the Proteasome;Degradation of GLI2 by the Proteasome;GLI3 Is Processed to GLI3R by the Proteasome
288,5,"Signaling by KIT in Disease;Signaling by NTRK2 (TRKB);Signaling by SCF-KIT;Signaling by Phosphorylated Juxtamembrane, Extracellular and Kinase Domain KIT Mutants;Signaling by ERBB2"
291,5,Defective TPR May Confer Susceptibility Towards Thyroid Papillary Carcinoma (TPC);Export of Viral Ribonucleoproteins From Nucleus;Regulation of Glucokinase by Glucokinase Regulatory Protein;NEP NS2 Interacts With the Cellular Export Machinery;Rev-mediated Nuclear Export of HIV RNA
307,5,Pausing and Recovery of Tat-mediated HIV Elongation;Tat-mediated Elongation of the HIV-1 Transcript;Tat-mediated HIV Elongation Arrest and Recovery;Formation of HIV-1 Elongation Complex Containing HIV-1 Tat;HIV Transcription Elongation
404,5,Signaling by ERBB2 TMD JMD Mutants;SHC1 Events in EGFR Signaling;GRB2 Events in ERBB2 Signaling;Constitutive Signaling by Overexpressed ERBB2;GRB2 Events in EGFR Signaling
485,5,Signaling by RAS Mutants;Signaling Downstream of RAS Mutants;Signaling by Moderate Kinase Activity BRAF Mutants;Paradoxical Activation of RAF Signaling by Kinase Inactive BRAF;Signaling by RAF1 Mutants
701,5,Constitutive Signaling by NOTCH1 PEST Domain Mutants;Signaling by NOTCH1 in Cancer;Signaling by NOTCH1 HD+PEST Domain Mutants in Cancer;Signaling by NOTCH1 PEST Domain Mutants in Cancer;Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants
102,4,"Formation of the Ternary Complex, and Subsequently, the 43S Complex;mRNA Activation Upon Binding of the Cap-Binding Complex and eIFs, and Subsequent Binding to 43S;Ribosomal Scanning and Start Codon Recognition;Translation Initiation Complex Formation"
141,4,Transport of Connexons to the Plasma Membrane;Sealing of the Nuclear Envelope (NE) by ESCRT-III;Microtubule-dependent Trafficking of Connexons From Golgi to the Plasma Membrane;Post-chaperonin Tubulin Folding Pathway
153,4,FCGR Activation;FCGR3A-mediated IL10 Synthesis;Leishmania Parasite Growth and Survival;Anti-inflammatory Response Favouring Leishmania Parasite Infection
177,4,Formyl Peptide Receptors Bind Formyl Peptides and Many Other Ligands;ABC Transporters in Lipid Homeostasis;Axonal Growth Inhibition (RHOA Activation);p75NTR Regulates Axonogenesis
178,4,ATF6 (ATF6-alpha) Activates Chaperones;PERK Regulates Gene Expression;ATF4 Activates Genes in Response to Endoplasmic Reticulum Stress;ATF6 (ATF6-alpha) Activates Chaperone Genes
210,4,Disorders of Developmental Biology;Pervasive Developmental Disorders;Disorders of Nervous System Development;Loss of Function of MECP2 in Rett Syndrome
219,4,"Defective B3GAT3 Causes JDSSDHD;A Tetrasaccharide Linker Sequence Is Required for GAG Synthesis;Defective B3GALT6 Causes EDSP2 and SEMDJL1;Defective B4GALT7 Causes EDS, Progeroid Type"
220,4,Toll Like Receptor TLR1 TLR2 Cascade;Toll Like Receptor 2 (TLR2) Cascade;MyD88 MAL(TIRAP) Cascade Initiated on Plasma Membrane;Toll Like Receptor TLR6 TLR2 Cascade
249,4,SARS-CoV-1 Genome Replication and Transcription;Replication of the SARS-CoV-2 Genome;SARS-CoV-2 Genome Replication and Transcription;Replication of the SARS-CoV-1 Genome
264,4,Chondroitin Sulfate Dermatan Sulfate Metabolism;Attachment and Entry 9694614;Heparan Sulfate Heparin (HS-GAG) Metabolism;HS-GAG Biosynthesis
282,4,CASP8 Activity Is Inhibited;FasL CD95L Signaling;Regulation by c-FLIP;Dimerization of Procaspase-8
286,4,Lysosphingolipid and LPA Receptors;Nucleotide-like (Purinergic) Receptors;Metabolic Disorders of Biological Oxidation Enzymes;Passive Transport by Aquaporins
316,4,Synthesis of Bile Acids and Bile Salts;Endogenous Sterols;Bile Acid and Bile Salt Metabolism;Synthesis of Bile Acids and Bile Salts via 7Alpha-Hydroxycholesterol
337,4,Toxicity of Botulinum Toxin Type B (botB);Neurotoxicity of Clostridium Toxins;Cristae Formation;RHOT1 GTPase Cycle
392,4,TNFR1-mediated Ceramide Production;Other Semaphorin Interactions;Fibronectin Matrix Formation;Laminin Interactions
400,4,Toll Like Receptor 10 (TLR10) Cascade;TRAF6 Mediated Induction of NFkB and MAP Kinases Upon TLR7 8 or 9 Activation;Toll Like Receptor 5 (TLR5) Cascade;MyD88 Cascade Initiated on Plasma Membrane
503,4,Tie2 Signaling;Signaling by MET;Erythropoietin Activates RAS;DAP12 Interactions
505,4,Presynaptic Phase of Homologous DNA Pairing and Strand Exchange;Defective Homologous Recombination Repair (HRR) Due to BRCA2 Loss of Function;Homologous DNA Pairing and Strand Exchange;Diseases of DNA Double-Strand Break Repair
1,3,O2 CO2 Exchange in Erythrocytes;Erythrocytes Take up Carbon Dioxide and Release Oxygen;Erythrocytes Take up Oxygen and Release Carbon Dioxide
20,3,RUNX2 Regulates Chondrocyte Maturation;RUNX1 Regulates Transcription of Genes Involved in Interleukin Signaling;RUNX1 Regulates Transcription of Genes Involved in Differentiation of Keratinocytes
43,3,p53-Independent DNA Damage Response;p53-Independent G1 S DNA Damage Checkpoint;Ubiquitin Mediated Degradation of Phosphorylated Cdc25A
62,3,p53-Dependent G1 S DNA Damage Checkpoint;G1 S DNA Damage Checkpoints;p53-Dependent G1 DNA Damage Response
76,3,IRAK2 Mediated Activation of TAK1 Complex;TRAF6-mediated Induction of TAK1 Complex Within TLR4 Complex;IRAK2 Mediated Activation of TAK1 Complex Upon TLR7 8 or 9 Stimulation
78,3,Regulation of Homotypic Cell-Cell Adhesion;Regulation of Expression and Function of Type II Classical Cadherins;Regulation of CDH11 Expression and Function
80,3,NOTCH4 Activation and Transmission of Signal to the Nucleus;TGFBR3 PTM Regulation;Noncanonical Activation of NOTCH3
98,3,Zinc Transporters;Voltage Gated Potassium Channels;CD22 Mediated BCR Regulation
100,3,GTP Hydrolysis and Joining of the 60S Ribosomal Subunit;Formation of a Pool of Free 40S Subunits;L13a-mediated Translational Silencing of Ceruloplasmin Expression
