left,right,cosine_similarity
SMC1B,CDCA5,0.6407916302701981
RUNX1,SPI1,0.6399686553640772
WAPL,STAG3,0.6390858028665823
MECOM,AIRE,0.6375964316258311
SH2B3,KITLG,0.6366268560665518
BNIPL,AVEN,0.6364810904277011
GRB10,RADIL,0.6355634403421155
NXF2,RGPD2,0.6351703523863669
KIT,RADIL,0.6339035929842373
SMC1B,WAPAL,0.6339000832599205
CDCA5,PDS5A,0.6338303220375694
STAG2,NIPBL,0.6336854786668162
KITLG,MATK,0.6331825015446341
NRAS,GRB10,0.6327673727864984
U2AF1L4,ZRSR2P1,0.6315789473684208
SLA,PIK3CG,0.6311037358991292
SH2B3,RADIL,0.6306260439788236
SLA,SOCS1,0.6299177237328458
RAD21,RBM15,0.629227782134543
CBX7,PCGF3,0.628970902033151
NIPBL,MAU2,0.6286185570937123
KDM2B,NFIX,0.6281523753614108
SP1,CTBP1,0.6274900896406517
SF3B1,SRRM1,0.6269504345122832
NRAS,BRAF,0.6269206644385784
RARA,SP1,0.6260811614120989
RARA,MED1,0.6258905827215244
NXF2,KPNA4,0.6256064410148428
RNF2,RYBP,0.6255205048694258
RBM15,MAU2,0.6251201807529614
OVCA2,RADIL,0.6249745966971545
RUNX1,ZBTB7A,0.6247313064268373
RARA,NFIX,0.6244494430442226
BCOR,CBX7,0.6238363597979438
FLT3,RADIL,0.6236211131083869
SMC1B,PDS5A,0.6228584431644499
PCGF5,KDM2B,0.6227205981308939
