gene,active_terms,active_term_fraction,row_entropy_bits,burden_outlier_iqr
CBL,490,0.29429429429429427,0.8742040512572522,True
CDK1,472,0.28348348348348346,0.8601539909440923,True
PML,457,0.2744744744744745,0.8478122052822081,True
SP1,403,0.24204204204204205,0.7984196646224397,True
TEC,381,0.22882882882882882,0.7759640956523224,True
SOCS1,380,0.22822822822822822,0.7749098981086819,True
BRAF,364,0.21861861861861862,0.7576371075969565,False
ZNF207,357,0.21441441441441442,0.7498364307214589,False
CEBPA,348,0.209009009009009,0.7395842219567104,False
KIT,346,0.2078078078078078,0.7372714956372466,False
GRB10,328,0.196996996996997,0.7158812779408803,False
RYBP,326,0.19579579579579579,0.7134395750105265,False
GPR31,325,0.19519519519519518,0.7122137698053985,False
KRAS,325,0.19519519519519518,0.7122137698053985,False
PTPN11,317,0.19039039039039038,0.7022874123566202,False
OVCA2,303,0.18198198198198198,0.6843937396374563,False
RNF2,286,0.17177177177177178,0.6617418380148417,False
FLT3,285,0.17117117117117117,0.6603769229926888,False
SPI1,279,0.16756756756756758,0.6521100394946476,False
ZBTB7A,279,0.16756756756756758,0.6521100394946476,False
MATK,278,0.16696696696696697,0.6507192292078905,False
SLA,276,0.16576576576576577,0.6479263731172257,False
SH2B3,275,0.16516516516516516,0.6465243056268437,False
USP37,270,0.16216216216216217,0.6394571324851641,False
PIK3CG,266,0.15975975975975976,0.6337345138344165,False
NRAS,255,0.15315315315315314,0.6176751423955682,False
RUNX1,247,0.14834834834834834,0.60569156523367,False
ELF4,231,0.13873873873873874,0.580926127276558,False
MED1,226,0.13573573573573575,0.5729612024180113,False
SMC1A,225,0.13513513513513514,0.5713549744279549,False
YAF2,223,0.13393393393393394,0.568129143347517,False
RARA,212,0.12732732732732732,0.5500625428007166,False
RADIL,203,0.12192192192192192,0.5348602538679013,False
KMT2A,200,0.12012012012012012,0.5297060483288802,False
MECOM,194,0.11651651651651651,0.5192641052858571,False
CTBP1,193,0.11591591591591592,0.5175062172086771,False
SKP1,190,0.11411411411411411,0.5122019915025795,False
NFIX,186,0.11171171171171171,0.5050575061414383,False
NFIA,181,0.1087087087087087,0.49600870552178833,False
DNMT3A,180,0.10810810810810811,0.49418293484978865,False
CBX3,176,0.1057057057057057,0.48682561251183104,False
PCGF2,173,0.1039039039039039,0.4812499098853704,False
STAG3,167,0.1003003003003003,0.46994680086890916,False
SMC3,166,0.0996996996996997,0.4680429407229302,False
HIST1H4A,160,0.0960960960960961,0.4564969175076877,False
DCAF7,159,0.09549549549549549,0.4545518023633474,False
FMO3,159,0.09549549549549549,0.4545518023633474,False
BNIPL,158,0.0948948948948949,0.45260066224697104,False
KDM2B,156,0.0936936936936937,0.4486801702185189,False
RING1,153,0.0918918918918919,0.442753377661785,False
CBX4,153,0.0918918918918919,0.442753377661785,False
USP13,149,0.0894894894894895,0.43476350014707077,False
KITLG,147,0.08828828828828829,0.4307303915852771,False
RGL2,146,0.08768768768768768,0.4287041590846621,False
BCL2,146,0.08768768768768768,0.4287041590846621,False
DEK,145,0.08708708708708708,0.42667142128883095,False
CITED1,142,0.08528528528528528,0.42053376771849776,False
SGO1,141,0.08468468468468468,0.41847459743727156,False
AVEN,141,0.08468468468468468,0.41847459743727156,False
PIP,137,0.08228228228228228,0.4101703390732094,False
REC8,135,0.08108108108108109,0.40597703847557126,False
KPNA4,134,0.08048048048048048,0.40386993441296887,False
BCL6,133,0.07987987987987988,0.4017557980362867,False
SMC1B,133,0.07987987987987988,0.4017557980362867,False
NUP214,130,0.07807807807807808,0.3953707088120626,False
B4GALT2,126,0.07567567567567568,0.38675579049309605,False
PECAM1,125,0.07507507507507508,0.38458359446346113,False
NIPBL,124,0.07447447447447447,0.3824039038401521,False
SF3B1,123,0.07387387387387387,0.3802166630843246,False
BCOR,123,0.07387387387387387,0.3802166630843246,False
HIST1H3A,122,0.07327327327327328,0.37802181574762383,False
NFIC,122,0.07327327327327328,0.37802181574762383,False
ADAR,121,0.07267267267267268,0.37581930444983036,False
RAD21,119,0.07147147147147147,0.3713910556514417,False
NXF2,119,0.07147147147147147,0.3713910556514417,False
ANKRD11,119,0.07147147147147147,0.3713910556514417,False
TP53,117,0.07027027027027027,0.3669314381130956,False
STAG2,116,0.06966966966966967,0.36468971203079276,False
HRK,115,0.06906906906906907,0.36243995678800406,False
PPP4R1L,112,0.06726726726726727,0.3556418644127204,False
HLF,111,0.06666666666666667,0.35335933502142136,False
PCGF1,109,0.06546546546546547,0.34876911409123745,False
KAT6A,109,0.06546546546546547,0.34876911409123745,False
IRX4,106,0.06366366366366366,0.3418197984273658,False
NUP93,106,0.06366366366366366,0.3418197984273658,False
L3MBTL1,105,0.06306306306306306,0.3394860002142789,False
AIRE,105,0.06306306306306306,0.3394860002142789,False
RGPD2,105,0.06306306306306306,0.3394860002142789,False
RBM15,104,0.06246246246246246,0.3371433942143667,False
PAF1,104,0.06246246246246246,0.3371433942143667,False
CDCA5,103,0.061861861861861864,0.33479190143151144,False
WAPL,101,0.06066066066066066,0.33006193178046817,False
WAPAL,97,0.058258258258258255,0.3204916984362234,False
EZH2,94,0.05645645645645646,0.31321472620193963,False
C19ORF43,94,0.05645645645645646,0.31321472620193963,False
CBX7,91,0.054654654654654654,0.3058498147472943,False
ASXL1,88,0.05285285285285285,0.2983942371089448,False
PDS5A,87,0.05225225225225225,0.295888398667287,False
SHARPIN,86,0.05165165165165165,0.2933720513233725,False
PCGF5,81,0.04864864864864865,0.28062854217498706,False
IDH1,79,0.04744744744744745,0.27545331514030563,False
CDC16,77,0.04624624624624624,0.27023202550425557,False
NPM1,75,0.04504504504504504,0.26496353609662915,False
SRRM1,72,0.043243243243243246,0.2569696639504173,False
SUV39H1,67,0.04024024024024024,0.2433925994603796,False
TET2,66,0.03963963963963964,0.24063750386690752,False
PCGF3,64,0.03843843843843844,0.2350860982237732,False
MAU2,64,0.03843843843843844,0.2350860982237732,False
QPRT,63,0.03783783783783784,0.23228937853565262,False
ZRSR1,61,0.03663663663663664,0.22665283215380275,False
ZBTB5,60,0.036036036036036036,0.2238125551345859,False
PDS5B,59,0.03543543543543543,0.2209572961897623,False
USP7,58,0.034834834834834835,0.2180868108515525,False
PAWR,58,0.034834834834834835,0.2180868108515525,False
ZNF513,57,0.03423423423423423,0.21520084620901037,False
STAG1,57,0.03423423423423423,0.21520084620901037,False
CBX8,53,0.03183183183183183,0.2034968150643704,False
MLLT1,53,0.03183183183183183,0.2034968150643704,False
HSPA12A,51,0.03063063063063063,0.19754464708121686,False
SSU72,48,0.02882882882882883,0.188484054167918,False
CARD8,47,0.02822822822822823,0.1854271646730073,False
ZFPM1,47,0.02822822822822823,0.1854271646730073,False
TFEC,46,0.02762762762762763,0.1823513024400198,False
S100P,46,0.02762762762762763,0.1823513024400198,False
MXD4,45,0.02702702702702703,0.1792560669283215,False
U2AF1,41,0.024624624624624624,0.16667273120903442,False
CCDC96,39,0.023423423423423424,0.16025297610299516,False
PPP4R3A,39,0.023423423423423424,0.16025297610299516,False
GATA2,36,0.021621621621621623,0.15045116018085175,False
NACC1,35,0.021021021021021023,0.14713553603902635,False
CBX6,34,0.02042042042042042,0.14379462027118017,False
CARNMT1,29,0.017417417417417418,0.1266835461920175,False
MLLT3,24,0.014414414414414415,0.10880851715183142,False
ERP44,24,0.014414414414414415,0.10880851715183142,False
GPATCH11,23,0.013813813813813814,0.10512904626585172,False
NCAPH2,22,0.013213213213213212,0.1014113626054757,False
ZRSR2,21,0.012612612612612612,0.09765375237841988,False
SRSF2,21,0.012612612612612612,0.09765375237841988,False
ZRSR2P1,19,0.011411411411411412,0.0900110553703819,False
IDH2,19,0.011411411411411412,0.0900110553703819,False
U2AF1L4,19,0.011411411411411412,0.0900110553703819,False
SNAPC4,18,0.010810810810810811,0.08612162048398904,False
C6ORF141,17,0.01021021021021021,0.0821834967338799,False
CIRSR,11,0.006606606606606606,0.05734398237045717,False
CSN1S1,8,0.004804804804804805,0.04391846248358207,False
WT1,8,0.004804804804804805,0.04391846248358207,False
HAO2,6,0.0036036036036036037,0.03443760873333675,False
NAA10,5,0.003003003003003003,0.029489204286940827,False
CELA1,5,0.003003003003003003,0.029489204286940827,False
KRTAP10-3,3,0.0018018018018018018,0.01902295224422444,False
