gene,mode_02,mode_03,mode_04,mode_05
SRSF2,-0.06531121195890174,0.2134263542316097,-0.6785082651205531,0.10977187898955222
RARA,-0.010726443937095907,-0.36526910835995163,0.02816134555222697,-0.03455208652253023
SMC3,-0.2259019496790304,0.47040030764246316,0.12607526483142611,-0.13216621090436276
DEK,-0.12274636994309457,-0.1052631885364048,-0.17628993139554247,-0.027102751035261382
TET2,-0.027028165158689218,-0.205515438336927,-0.09039720980690251,-0.07951483770526357
PML,0.06883960511240597,-0.181810121176832,0.1064411479231478,0.19039513939570957
TP53,0.028402034253906288,-0.11910238416034234,0.12407629126757247,0.37337056042495737
SMC1A,-0.1782738347420294,0.43117040361020464,0.07792177562264122,-0.08935398869195454
FLT3,0.8181960163155398,0.10187640215026161,-0.02540464718133069,-0.12705946143225463
RUNX1,-0.03076669274072687,-0.4088754923682019,-0.020541009362651286,-0.08437202360517236
IDH1,-0.04810710028721392,0.16067776221406077,0.179013560031106,0.2045920638643644
SF3B1,-0.12023042385182987,0.37387378596405896,-0.3909787572806258,-0.10449610109707709
WT1,0.006593778073132183,-0.11230659952228753,-0.11983075909578778,-0.04586079494744704
NRAS,0.7351412163574492,0.11322618936323402,-0.002512415420000224,-0.07177944896302856
KMT2A,-0.10490570359744239,-0.36838282067865175,-0.06484376609697906,-0.14927733154786885
BCL2,0.12528063338319353,-0.0912136779540053,0.13969114827043766,0.48986310047937626
IDH2,0.002374945226280882,-0.017063254008518127,0.014978388313134588,0.06378218006860323
EZH2,-0.1483660665892333,-0.054892810672658304,-0.1674982187686864,-0.07822465329601695
ZRSR2,-0.05001857907881588,0.21269798165260384,-0.7290631114017649,0.15128781109689188
RAD21,-0.23548594269229606,0.5954017844628695,0.12890578098621003,-0.20514598558080296
KRAS,0.6778775607144142,0.13862468061990385,-0.0759084409887463,-0.07044809000445323
DNMT3A,-0.09340804069423485,-0.25664725164039576,0.0011415121220876973,-0.1474299760588231
ASXL1,-0.03388991064350761,-0.21939291203932468,-0.061950621458819514,-0.14584622005092315
U2AF1,-0.019954160377390395,0.1271681305315651,-0.39724316793953307,0.30397216563852136
GATA2,0.0028772067095550386,-0.12908294774750023,-0.04656311945408214,-0.0581547359994462
CEBPA,-0.087535463042805,-0.10602578222873607,-0.0033417657068394438,-0.013328091621977477
NUP214,-0.1038748548227451,0.24989399660355313,-0.3014567865064206,0.2014507835421476
KIT,0.8175743401116339,0.09277999015945906,-0.057106470241227426,-0.12560012806869095
PTPN11,0.8172746845039095,0.093480541891223,-0.059700844203258684,-0.10894316050799191
STAG2,-0.1822937829041361,0.6107785527834453,0.18224105287463627,-0.16968093799094117
MECOM,-0.14887165627473883,-0.02047153605842593,-0.21656858161392845,0.002313881338757095
NPM1,-0.004580314707410608,0.04639554950303122,-0.30985696661971773,0.08555188998569982
WAPL,-0.22234780149031327,0.5828645843486604,0.24208658876832584,-0.2541668259814259
SMC1B,-0.23917241871935635,0.5289308534822742,0.1598098750798033,-0.14884131695720174
CDCA5,-0.18249346274517,0.6025071310403473,0.1615172160104904,-0.18737179451155345
SGO1,0.05983774308588068,0.21054660386736115,0.13855385431118802,0.2519550204265008
REC8,-0.0915650271984917,0.2186801485211645,0.2610783784581587,0.14633723700697712
MXD4,-0.14823098307363897,0.24026207157093638,0.07484466539780271,-0.07578925890148529
STAG3,-0.22532886280777628,0.4692650393493718,0.12581393365033589,-0.1319462604610734
NIPBL,-0.2568132939858854,0.538584914427183,0.019631100714064043,-0.26368033079638453
SPI1,-0.021368910947357187,-0.3635023237962591,-0.04046412653097953,0.04519344972232441
GPR31,0.6818898532495344,0.14831325119366792,-0.06036151328195433,-0.0706912690103785
STAG1,-0.11572636594274596,0.31183592027580337,0.0968260157561412,-0.05577222269084563
NXF2,-0.10432051399299903,0.23764154658907388,-0.3162562242598101,0.21878899057419376
CARNMT1,-0.057580323270214215,0.1500726767199973,-0.4260628867726031,0.07144762486939911
ELF4,-0.0192841244468739,-0.19247705284218686,0.14048483955423505,0.10904035216208262
KRTAP10-3,0.030416260664386283,-0.03403239888926038,-0.035523449618683034,0.004516429660999354
AIRE,-0.14435327941886106,0.2709968276831328,-0.2925482787871024,0.08267409583957881
ZNF513,-0.11891976301093057,-0.1594399365341218,-0.025348567212276227,-0.11616569889207343
SLA,0.6749001728163576,0.0178900541126982,-0.04023827658418209,-0.16348892363643097
ZRSR1,0.00144718927495169,0.15418333946218007,-0.6223344032669474,0.13503412244253846
SRRM1,-0.045679910577163384,0.2665318203922807,-0.5791390061731851,0.08922086237137601
ANKRD11,-0.1637477755642339,-0.011096722340755566,-0.09960275560121784,-0.009932908743421967
CIRSR,-0.05963005917889919,0.1810057312512426,-0.5379598411491352,0.10813140292605344
ZNF207,-0.09953869783967388,0.029323593845986283,0.1685366416061397,0.04090623009835148
U2AF1L4,-0.09383579096524021,0.19086566701718632,-0.5871941625159971,0.07378233023633247
USP37,-0.13898510761831526,0.285239302152914,0.3202631635597491,0.1495891400668533
FMO3,0.6248521839637592,0.11591540795981882,0.017695658598022322,-0.09902891512816266
ADAR,-0.15268682365329564,0.49310624270085107,-0.039259717626265275,-0.15800855013370127
SH2B3,0.8019950177693164,0.10373501771591925,-0.01956782767384538,-0.1387634908983377
SSU72,-0.15891504351895105,0.3159998513714353,-0.14419378479412126,-0.025490454567147276
SOCS1,0.7501540415548351,0.07540022035501937,-0.004371442028353246,0.054424513217372746
PAF1,-0.07712013518955384,-0.1033735303432987,-0.03361721353198474,-0.14704673056520248
USP13,-0.03720338816332732,0.14576277598350063,0.21792021599439246,0.11832816415949533
TEC,0.7579684187932917,0.059184383881755634,-0.013285076627804631,0.01717914947484524
RGPD2,-0.06189514701553064,0.24225895693665533,-0.3298014115226516,0.22732094440853953
WAPAL,-0.20776873802483725,0.5476482927333918,0.2590355440446083,-0.25184723333813225
KAT6A,-0.0834735812996879,-0.331495805835778,-0.09563775111387761,-0.0804487367421989
HLF,0.051424901479134276,-0.22223036618370628,-0.03674391019636612,0.026804090590602736
HRK,0.1576859328467209,-0.059040592455949524,0.15123736511040967,0.5660181316022664
BNIPL,0.1031064926978279,-0.017024740898493658,0.14163345793944246,0.5328698746041588
GRB10,0.7525239024950922,0.08589103022958136,-0.025309288911564767,-0.03242699861662258
MED1,-0.07813486204575953,-0.25949440821056996,-0.12206010302258613,-0.08529310249070886
NUP93,-0.12031904700285143,0.35523000870590776,-0.2964846743057567,0.19193424123448133
PDS5B,-0.1573984593568569,0.43784459813399806,0.18348915026349016,-0.10455857283292304
CBL,0.7342174117707342,0.08272246822667877,0.028432746986078446,0.10837174326572192
OVCA2,0.7844764375087696,0.07850299208329468,-0.0293645223538505,-0.11241501495976067
PDS5A,-0.19817879586724715,0.6005618342039827,0.23465520375921378,-0.2579082824431412
RBM15,-0.195214381194803,0.5549405337936406,-0.04011198701408168,-0.12161328657212439
TFEC,0.06780308999529758,0.01017440497259505,0.04691310412093564,0.07702767314280953
C19ORF43,-0.05579752409616993,-0.05785453210546934,-0.4916130894467817,-0.031704633521861675
ZFPM1,-0.005199533764142085,-0.13352671522283652,-0.014473284693522813,-0.02070733637204963
RADIL,0.7549090576760702,0.14534647793788982,0.004566041379786967,-0.15172916185653543
HIST1H3A,-0.2047798020345615,0.16121640407206542,0.08518109390303641,-0.27572088569690767
ZRSR2P1,-0.08231562208736093,0.17824212914763224,-0.718107443917867,0.12191972439260439
PIK3CG,0.8248147531222986,0.11881225054769116,-0.023240274666808187,-0.11770828981785243
IRX4,-0.08547933624714335,-0.3292809046524459,-0.040492059616069616,-0.13337767863544386
CITED1,-0.0005081614086625256,-0.01158728843437044,0.12757878000366535,0.03954346268332613
GPATCH11,-0.024099865538572525,0.1847900307972671,-0.6572316004726849,0.12319595894932632
PPP4R3A,0.03705553873397624,0.10432137108766856,-0.16006367963930418,0.15866968369629286
SUV39H1,-0.1293286784308156,-0.2609075201943669,-0.06592980640378328,-0.1750566886700946
KITLG,0.6620486233091558,0.07238426211057436,-0.0018409448732426405,-0.12655932211553753
PECAM1,0.5510540394962429,0.072334073480569,0.010569115482051028,-0.08662853791852591
HIST1H4A,-0.22219571298139987,0.3937470685220488,-0.008782164241522918,-0.1071734292994801
AVEN,0.14250285185853137,0.05132965472659231,0.1716093458250344,0.5862947712050006
MAU2,-0.20230416328407338,0.5642636060331231,0.13086934449483437,-0.21869093790285513
PAWR,0.18162280083207663,0.03717028993303997,0.0302920385652705,0.03452392444649189
MATK,0.8356035360745897,0.10999968315348924,-0.03657277777482822,-0.12881928712305812
RGL2,0.6889988343587634,0.11349547674216474,0.013840472827315126,-0.09621481189792017
CDK1,0.18513711476552372,0.1639082082536997,0.25943017573349,0.22648741883339202
BCOR,-0.13058474280585058,-0.33984804908138605,0.040932671774202005,-0.08190800562140042
CELA1,0.008087141779249218,-0.017981726797484106,0.037793126403744916,0.07347823018265524
CSN1S1,0.011751293947862564,0.004976748201009986,-0.006523532985653429,0.02407940840110221
CBX7,-0.11551155027712631,-0.31414669488919994,0.056109533297793286,-0.09082923839921317
ZBTB5,-0.1020315357714909,-0.33079549052819934,-0.06549671937077892,-0.17945134260074436
PCGF5,-0.13591627209534574,-0.30273042338685846,0.0329381462786436,-0.1254690201868999
HAO2,0.0035642340422677634,-0.0026819862315392295,0.0207742417002061,0.05319126061120282
KDM2B,-0.11027645948076596,-0.38368719023213815,0.04183297686030391,-0.12820174916218427
ZBTB7A,-0.0172794059805944,-0.3840245802724602,-0.008637329759866584,0.052737030609291836
PCGF1,-0.0835950696879455,-0.3008023521597706,0.0473099420090721,-0.04888715035468529
PCGF3,-0.1194179947762922,-0.29148165426179534,-0.05155081506576641,-0.13253590340630025
L3MBTL1,-0.1621427734710666,0.07508234884561808,0.13486875259691586,0.028048534630184724
