gene,full_space_axis_1,full_space_axis_2,cluster_id
SRSF2,-1.1390372860544478,-3.802050341244021,1
RARA,-2.2410295901692923,6.637709496818074,3
SMC3,-3.338218135108272,-0.7163928496947264,75
DEK,-2.6184456937472467,1.2949702626437225,50
TET2,-1.3712938103463603,-0.9413091114857403,77
PML,-0.8387025424610516,12.654234172424848,38
TP53,-1.1779924668444142,1.5852101001851353,113
SMC1A,-3.170533917755741,0.4417064157117865,64
FLT3,13.122717629376188,0.22146310421650783,108
RUNX1,-2.6873072260411615,8.126925434578455,66
IDH1,-1.4562129078729387,-2.613239095437339,55
SF3B1,-1.8539874448317826,-3.0137062587666597,111
WT1,-1.003223506375844,-3.446990295710221,105
NRAS,10.468474640859467,-1.0379036454822173,137
KMT2A,-3.3297676158385325,5.901377737346931,25
BCL2,-0.13620137490606635,0.515730708481809,129
IDH2,-1.0276788275769002,-3.6045298242877633,59
EZH2,-2.4744510777984425,0.1435843450525731,76
ZRSR2,-1.1002068484888843,-4.0765371474173895,63
RAD21,-2.869856103643002,-2.4302866778744336,131
KRAS,11.088536903024181,0.04384632535260368,120
DNMT3A,-2.779743757377914,4.469713927038964,36
ASXL1,-1.6151408782343628,0.6825378673532335,78
U2AF1,-1.072954732669222,-3.1513178548777145,11
GATA2,-1.0915388548616536,-2.7571588892158716,142
CEBPA,-3.5502499330683785,9.414016514801343,47
NUP214,-1.9291000502356617,-2.3716223269556798,12
KIT,14.630845679611308,0.800149721257534,91
PTPN11,13.896712528843022,0.6883354233664797,79
STAG2,-2.3182761828072884,-3.0613388361241833,72
MECOM,-3.1997122773018156,2.361921143276879,21
NPM1,-1.0272553736198766,-2.580082136786815,100
WAPL,-2.5794147110623493,-2.831062224973776,39
SMC1B,-3.162318335435972,-1.5072686055472173,132
CDCA5,-2.2311359867996665,-3.304778000945375,57
SGO1,-0.3939481500963514,-0.623532909106425,60
REC8,-2.0896316009122726,-0.15023590794970193,97
MXD4,-1.7719059789173335,-2.977649951584153,119
STAG3,-3.3392092630531103,-0.7167473717030451,75
NIPBL,-3.1677570612247425,-2.240539192058152,27
SPI1,-2.4959893833569256,8.75638746292466,133
GPR31,11.149312364815584,-0.14096380412259782,120
STAG1,-1.600737269181312,-3.56353789389336,143
NXF2,-1.8957809445734835,-2.3750238134406105,13
CARNMT1,-1.2046024938348405,-4.002438796978369,102
ELF4,-2.1632075706751595,6.124528519543286,32
KRTAP10-3,-0.967076144420232,-3.7125797095973825,101
AIRE,-2.1857340257800746,-2.482920197216771,15
ZNF513,-1.9761888782768067,-1.0639257750590614,37
SLA,10.230034548031949,1.3184675429571437,0
ZRSR1,-0.8673349315456066,-3.86550015791026,73
SRRM1,-1.118236361645354,-3.941980555020605,26
ANKRD11,-2.8722566006564287,0.31520985859887785,65
CIRSR,-1.1164368235378683,-4.011484522489951,101
ZNF207,-3.3860244384297715,7.830650207652465,130
