case_id,test_case,tree_inference,internal_nodes,edge_tested_count,edge_significant_count,min_edge_p_value_bh_all_nodes,sibling_bh_different_count,sibling_skipped_count,min_sparse_p_value_all_nodes,min_dense_p_value_all_nodes,min_fixed_coordinate_bh_p_value_all_nodes,min_fixed_global_p_value_all_nodes
gauss_clear_medium_continuous,13,average,59,2,0,0.5320956729358675,0,119,0.009544300502507097,0.22182113505799447,0.009544300502507097,0.22182113505799447
gauss_clear_medium_continuous,13,complete,59,2,0,0.5320956729358675,0,119,0.009544300502507097,0.22182113505799447,0.009544300502507097,0.22182113505799447
gauss_clear_medium_continuous,13,weighted,59,2,0,0.5320956729358675,0,119,0.009544300502507097,0.22182113505799447,0.009544300502507097,0.22182113505799447
gauss_clear_medium_continuous,13,single,59,2,0,0.5320956729358675,0,119,0.009544300502507097,0.22182113505799447,0.009544300502507097,0.22182113505799447
gauss_clear_medium_continuous,13,centroid,59,2,0,0.42115757215160454,0,119,0.006153792357182188,0.16002151363626999,0.006153792357182188,0.16002151363626999
gauss_clear_medium_continuous,13,median,59,2,0,0.42115757215160454,0,119,0.006153792357182188,0.16002151363626999,0.006153792357182188,0.16002151363626999
gauss_clear_medium_continuous,13,ward,59,2,0,0.5320956729358675,0,119,0.009544300502507097,0.22182113505799447,0.009544300502507097,0.22182113505799447
gauss_moderate_3c_continuous,14,average,44,2,0,0.621264137217943,0,89,0.06577111493077245,0.20535061350541858,0.06577111493077245,0.20535061350541858
gauss_moderate_3c_continuous,14,complete,44,2,0,0.621264137217943,0,89,0.06577111493077245,0.20535061350541858,0.06577111493077245,0.20535061350541858
gauss_moderate_3c_continuous,14,weighted,44,2,0,0.621264137217943,0,89,0.06577111493077245,0.20535061350541858,0.06577111493077245,0.20535061350541858
gauss_moderate_3c_continuous,14,single,44,2,0,0.621264137217943,0,89,0.06577111493077245,0.20535061350541858,0.06577111493077245,0.20535061350541858
gauss_moderate_3c_continuous,14,centroid,44,2,0,0.6341516154139265,0,89,0.1683208081536317,0.3014702793254922,0.1683208081536317,0.3014702793254922
gauss_moderate_3c_continuous,14,median,44,2,0,0.6341516154139265,0,89,0.1683208081536317,0.3014702793254922,0.1683208081536317,0.3014702793254922
gauss_moderate_3c_continuous,14,ward,44,2,0,0.621264137217943,0,89,0.06577111493077245,0.20535061350541858,0.06577111493077245,0.20535061350541858
dim_consolidated_4c_24f_continuous,23,average,159,2,0,0.8375045126629709,0,319,0.0007004301957844401,0.00023315454116730862,0.0007004301957844401,0.00023315454116730862
dim_consolidated_4c_24f_continuous,23,complete,159,2,0,0.8375045126629709,0,319,0.0007004301957844401,0.00023315454116730862,0.0007004301957844401,0.00023315454116730862
dim_consolidated_4c_24f_continuous,23,weighted,159,2,0,0.8375045126629709,0,319,0.0007004301957844401,0.00023315454116730862,0.0007004301957844401,0.00023315454116730862
dim_consolidated_4c_24f_continuous,23,single,159,2,0,0.8375045126629709,0,319,0.0007004301957844401,0.00023315454116730862,0.0007004301957844401,0.00023315454116730862
dim_consolidated_4c_24f_continuous,23,centroid,159,2,0,0.08070879707185981,0,319,3.682527389093285e-06,0.0001166734684735203,3.682527389093285e-06,0.0001166734684735203
dim_consolidated_4c_24f_continuous,23,median,159,2,0,0.08070879707185981,0,319,3.682527389093285e-06,0.0001166734684735203,3.682527389093285e-06,0.0001166734684735203
dim_consolidated_4c_24f_continuous,23,ward,159,2,0,0.8375045126629709,0,319,0.0007004301957844401,0.00023315454116730862,0.0007004301957844401,0.00023315454116730862
dim_consolidated_4c_72f_continuous,24,average,159,2,0,0.5156611651102827,0,319,0.0008717986171987047,0.06881486671629322,0.0008717986171987047,0.06881486671629322
dim_consolidated_4c_72f_continuous,24,complete,159,2,0,0.5156611651102827,0,319,0.0008717986171987047,0.06881486671629322,0.0008717986171987047,0.06881486671629322
dim_consolidated_4c_72f_continuous,24,weighted,159,2,0,0.5156611651102827,0,319,0.0008717986171987047,0.06881486671629322,0.0008717986171987047,0.06881486671629322
dim_consolidated_4c_72f_continuous,24,single,159,2,0,0.5156611651102827,0,319,0.0008717986171987047,0.06881486671629322,0.0008717986171987047,0.06881486671629322
dim_consolidated_4c_72f_continuous,24,centroid,159,2,0,0.17366206087444175,0,319,0.00020776569933091243,0.08660794118687261,0.00020776569933091243,0.08660794118687261
