case_id,test_case,case_category,source_family,feature_representation,true_clusters,samples,features,tree_inference,run_id,status,skip_reason,found_clusters,labels_length,ari,nmi,macro_f1,largest_cluster_fraction,cluster_count_abs_error,under_split,tree_build_sec,edge_gate_sec,sibling_gate_sec,traversal_sec,root_node,root_decision,edge_stop_reason,left_edge_p_value,right_edge_p_value,left_edge_p_value_bh,right_edge_p_value_bh,min_root_edge_p_value_bh,edge_gate_open,left_edge_open,right_edge_open,sibling_p_value_corrected,sibling_sparse_p_value,sibling_dense_p_value,sibling_fixed_coordinate_bh_p_value,sibling_fixed_global_p_value,sibling_gate_open,sibling_skipped,passthrough_reason,passthrough_candidate,passthrough_supported,left_branch_length,right_branch_length,audit_stats_file
gauss_moderate_3c_continuous,14,continuous_gaussian_examples,gaussian_blobs,continuous,3,45,30,weighted,tbs_diffusion_graphtools_adaptive_nnls::graphtools_adaptive_k_tree_strategy__tree_linkage_method_weighted__r0,ok,,1,45,0.0,0.0,0.16666666666666666,1.0,2.0,1.0,0.0002664579951670021,0.018616250017657876,0.007905332982772961,0.0003311669861432165,N88,boundary,edge_closed,0.6212641371537723,0.621264137217943,0.621264137217943,0.621264137217943,0.621264137217943,False,False,False,,0.6315967650793155,0.3448454121945471,0.6315967650793155,0.3448454121945471,False,True,split_prerequisites_closed,False,True,0.6086778708608883,0.6086778708608883,reports/tree_consensus_fail_closed_pvalues_20260709/cells/case_0014_gauss_moderate_3c_continuous/weighted/audit/case_14_tbs_diffusion_graphtools_adaptive_nnls_stats.csv
gauss_moderate_3c_continuous,14,continuous_gaussian_examples,gaussian_blobs,continuous,3,45,30,single,tbs_diffusion_graphtools_adaptive_nnls::graphtools_adaptive_k_tree_strategy__tree_linkage_method_single__r0,ok,,1,45,0.0,0.0,0.16666666666666666,1.0,2.0,1.0,0.00025779198040254414,0.017795124993426725,0.00749304099008441,0.0003227500128559768,N88,boundary,edge_closed,0.6212641371537723,0.621264137217943,0.621264137217943,0.621264137217943,0.621264137217943,False,False,False,,0.6315967650793155,0.3448454121945471,0.6315967650793155,0.3448454121945471,False,True,split_prerequisites_closed,False,True,0.6086778708608883,0.6086778708608883,reports/tree_consensus_fail_closed_pvalues_20260709/cells/case_0014_gauss_moderate_3c_continuous/single/audit/case_14_tbs_diffusion_graphtools_adaptive_nnls_stats.csv
gauss_moderate_3c_continuous,14,continuous_gaussian_examples,gaussian_blobs,continuous,3,45,30,centroid,tbs_diffusion_graphtools_adaptive_nnls::graphtools_adaptive_k_tree_strategy__tree_linkage_method_centroid__r0,ok,,1,45,0.0,0.0,0.16666666666666666,1.0,2.0,1.0,0.00026112498017027974,0.017751667008269578,0.007299499993678182,0.00031279202084988356,N88,boundary,edge_closed,0.6341516154139265,0.6341516153512126,0.6341516154139265,0.6341516154139265,0.6341516154139265,False,False,False,,0.5311938363092268,0.3014702793254922,0.5311938363092268,0.3014702793254922,False,True,split_prerequisites_closed,False,True,0.0009756374874690737,0.0009756374874690737,reports/tree_consensus_fail_closed_pvalues_20260709/cells/case_0014_gauss_moderate_3c_continuous/centroid/audit/case_14_tbs_diffusion_graphtools_adaptive_nnls_stats.csv
gauss_moderate_3c_continuous,14,continuous_gaussian_examples,gaussian_blobs,continuous,3,45,30,median,tbs_diffusion_graphtools_adaptive_nnls::graphtools_adaptive_k_tree_strategy__tree_linkage_method_median__r0,ok,,1,45,0.0,0.0,0.16666666666666666,1.0,2.0,1.0,0.0002547919866628945,0.017605917004402727,0.0073057920089922845,0.0003216250042896718,N88,boundary,edge_closed,0.6341516154139265,0.6341516153512126,0.6341516154139265,0.6341516154139265,0.6341516154139265,False,False,False,,0.5311938363092268,0.3014702793254922,0.5311938363092268,0.3014702793254922,False,True,split_prerequisites_closed,False,True,0.0009756374874690737,0.0009756374874690737,reports/tree_consensus_fail_closed_pvalues_20260709/cells/case_0014_gauss_moderate_3c_continuous/median/audit/case_14_tbs_diffusion_graphtools_adaptive_nnls_stats.csv
gauss_moderate_3c_continuous,14,continuous_gaussian_examples,gaussian_blobs,continuous,3,45,30,ward,tbs_diffusion_graphtools_adaptive_nnls::graphtools_adaptive_k_tree_strategy__tree_linkage_method_ward__r0,ok,,1,45,0.0,0.0,0.16666666666666666,1.0,2.0,1.0,0.0002667499938979745,0.01770500000566244,0.007514500000979751,0.00031508298707194626,N88,boundary,edge_closed,0.6212641371537723,0.621264137217943,0.621264137217943,0.621264137217943,0.621264137217943,False,False,False,,0.6315967650793155,0.3448454121945471,0.6315967650793155,0.3448454121945471,False,True,split_prerequisites_closed,False,True,0.6086778708608883,0.6086778708608883,reports/tree_consensus_fail_closed_pvalues_20260709/cells/case_0014_gauss_moderate_3c_continuous/ward/audit/case_14_tbs_diffusion_graphtools_adaptive_nnls_stats.csv
gauss_moderate_3c_continuous,14,continuous_gaussian_examples,gaussian_blobs,continuous,3,45,30,neighbor_joining,tbs_diffusion_graphtools_adaptive_nnls::graphtools_adaptive_k_tree_strategy__tree_builder_neighbor_joining__r0,skip,MAD rooting requires positive distances between leaf pairs.,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dim_consolidated_4c_24f_continuous,23,continuous_dimensional_gaussian_examples,dimensional_gaussian,continuous,4,160,24,average,tbs_diffusion_graphtools_adaptive_nnls::graphtools_adaptive_k_tree_strategy__tree_linkage_method_average__r0,ok,,1,160,0.0,0.0,0.1,1.0,3.0,1.0,0.0007306670013349503,0.05347854198771529,0.0187568329856731,0.00044104098924435675,N318,boundary,edge_closed,0.8375045119930354,0.8375045126629709,0.8375045126629709,0.8375045126629709,0.8375045126629709,False,False,False,,0.6566565049503695,0.45431792577594016,0.6566565049503695,0.45431792577594016,False,True,split_prerequisites_closed,False,True,0.17704948253508807,0.17704948253508807,reports/tree_consensus_fail_closed_pvalues_20260709/cells/case_0023_dim_consolidated_4c_24f_continuous/average/audit/case_23_tbs_diffusion_graphtools_adaptive_nnls_stats.csv
dim_consolidated_4c_24f_continuous,23,continuous_dimensional_gaussian_examples,dimensional_gaussian,continuous,4,160,24,complete,tbs_diffusion_graphtools_adaptive_nnls::graphtools_adaptive_k_tree_strategy__tree_linkage_method_complete__r0,ok,,1,160,0.0,0.0,0.1,1.0,3.0,1.0,0.0007356670103035867,0.05312216599122621,0.0189434589992743,0.00042916700476780534,N318,boundary,edge_closed,0.8375045119930354,0.8375045126629709,0.8375045126629709,0.8375045126629709,0.8375045126629709,False,False,False,,0.6566565049503695,0.45431792577594016,0.6566565049503695,0.45431792577594016,False,True,split_prerequisites_closed,False,True,0.17704948253508807,0.17704948253508807,reports/tree_consensus_fail_closed_pvalues_20260709/cells/case_0023_dim_consolidated_4c_24f_continuous/complete/audit/case_23_tbs_diffusion_graphtools_adaptive_nnls_stats.csv
dim_consolidated_4c_24f_continuous,23,continuous_dimensional_gaussian_examples,dimensional_gaussian,continuous,4,160,24,weighted,tbs_diffusion_graphtools_adaptive_nnls::graphtools_adaptive_k_tree_strategy__tree_linkage_method_weighted__r0,ok,,1,160,0.0,0.0,0.1,1.0,3.0,1.0,0.0007359159935731441,0.054017792019294575,0.020417874999111518,0.00042804100667126477,N318,boundary,edge_closed,0.8375045119930354,0.8375045126629709,0.8375045126629709,0.8375045126629709,0.8375045126629709,False,False,False,,0.6566565049503695,0.45431792577594016,0.6566565049503695,0.45431792577594016,False,True,split_prerequisites_closed,False,True,0.17704948253508807,0.17704948253508807,reports/tree_consensus_fail_closed_pvalues_20260709/cells/case_0023_dim_consolidated_4c_24f_continuous/weighted/audit/case_23_tbs_diffusion_graphtools_adaptive_nnls_stats.csv
dim_consolidated_4c_24f_continuous,23,continuous_dimensional_gaussian_examples,dimensional_gaussian,continuous,4,160,24,single,tbs_diffusion_graphtools_adaptive_nnls::graphtools_adaptive_k_tree_strategy__tree_linkage_method_single__r0,ok,,1,160,0.0,0.0,0.1,1.0,3.0,1.0,0.000686999992467463,0.054005083977244794,0.01937137500499375,0.0004248750046826899,N318,boundary,edge_closed,0.8375045119930354,0.8375045126629709,0.8375045126629709,0.8375045126629709,0.8375045126629709,False,False,False,,0.6566565049503695,0.45431792577594016,0.6566565049503695,0.45431792577594016,False,True,split_prerequisites_closed,False,True,0.17704948253508807,0.17704948253508807,reports/tree_consensus_fail_closed_pvalues_20260709/cells/case_0023_dim_consolidated_4c_24f_continuous/single/audit/case_23_tbs_diffusion_graphtools_adaptive_nnls_stats.csv
