axis,axis_name,go_term,go_id,column,support,prevalence,entropy_bits,loading,abs_loading,loading_sign,abs_rank
1,mode_01,Caspase Activation via Death Receptors in the Presence of Ligand,,Caspase Activation via Death Receptors in the Presence of Ligand,1,0.006666666666666667,0.05777796017013378,-0.0032993636619716156,0.0032993636619716156,negative,1445
1,mode_01,FCERI Mediated NF-kB Activation,,FCERI Mediated NF-kB Activation,3,0.02,0.14144054254182067,-0.0060625842960276765,0.0060625842960276765,negative,1262
1,mode_01,TNF-alpha Signaling via NF-kB,,TNF-alpha Signaling via NF-kB,14,0.09333333333333334,0.4474992550368635,-0.02246948021567417,0.02246948021567417,negative,465
1,mode_01,Defective B3GALT6 Causes EDSP2 and SEMDJL1,,Defective B3GALT6 Causes EDSP2 and SEMDJL1,2,0.013333333333333334,0.10215803640865039,-0.004571361494957105,0.004571361494957105,negative,1359
1,mode_01,ESR-mediated Signaling,,ESR-mediated Signaling,70,0.4666666666666667,0.9967916319816366,-0.0654565826245708,0.0654565826245708,negative,31
1,mode_01,Nef Mediated CD4 Down-regulation,,Nef Mediated CD4 Down-regulation,2,0.013333333333333334,0.10215803640865039,-0.007026656027999461,0.007026656027999461,negative,1205
1,mode_01,NR1H3 & NR1H2 Regulate Gene Expression Linked to Cholesterol Transport and Efflux,,NR1H3 & NR1H2 Regulate Gene Expression Linked to Cholesterol Transport and Efflux,20,0.13333333333333333,0.5665095065529053,-0.03732943237988457,0.03732943237988457,negative,227
1,mode_01,Cyclin A B1 B2 Associated Events During G2 M Transition,,Cyclin A B1 B2 Associated Events During G2 M Transition,19,0.12666666666666668,0.5482251174503202,-0.028420788813641486,0.028420788813641486,negative,359
1,mode_01,mRNA Splicing,,mRNA Splicing,30,0.2,0.7219280948873623,-0.04564441010850327,0.04564441010850327,negative,134
1,mode_01,Translation of Structural Proteins 9683701,,Translation of Structural Proteins 9683701,2,0.013333333333333334,0.10215803640865039,-0.0057088012231113015,0.0057088012231113015,negative,1288
1,mode_01,Axon Guidance,,Axon Guidance,24,0.16,0.6343095546405662,-0.02106715725177768,0.02106715725177768,negative,497
1,mode_01,JNK (c-Jun Kinases) Phosphorylation and Activation Mediated by Activated Human TAK1,,JNK (c-Jun Kinases) Phosphorylation and Activation Mediated by Activated Human TAK1,3,0.02,0.14144054254182067,-0.004994211923528509,0.004994211923528509,negative,1333
1,mode_01,Long-term Potentiation,,Long-term Potentiation,2,0.013333333333333334,0.10215803640865039,-0.0027077468171113517,0.0027077468171113517,negative,1513
1,mode_01,Prolactin Receptor Signaling,,Prolactin Receptor Signaling,16,0.10666666666666667,0.48977901368693755,-0.02029044361246036,0.02029044361246036,negative,526
1,mode_01,Organic Cation Transport,,Organic Cation Transport,2,0.013333333333333334,0.10215803640865039,-0.004351927479576179,0.004351927479576179,negative,1368
1,mode_01,Signaling by Nuclear Receptors,,Signaling by Nuclear Receptors,67,0.44666666666666666,0.9917770334127776,-0.0635228747752491,0.0635228747752491,negative,32
1,mode_01,Intrinsic Pathway for Apoptosis,,Intrinsic Pathway for Apoptosis,31,0.20666666666666667,0.7350626941249581,-0.03736059044112305,0.03736059044112305,negative,226
1,mode_01,Death Receptor Signaling,,Death Receptor Signaling,19,0.12666666666666668,0.5482251174503202,-0.025282351876849445,0.025282351876849445,negative,407
1,mode_01,SUMOylation of RNA Binding Proteins,,SUMOylation of RNA Binding Proteins,31,0.20666666666666667,0.7350626941249581,-0.053345840232756736,0.053345840232756736,negative,81
1,mode_01,Plasma Lipoprotein Remodeling,,Plasma Lipoprotein Remodeling,1,0.006666666666666667,0.05777796017013378,-0.0007176696663490437,0.0007176696663490437,negative,1659
1,mode_01,TGFBR3 Regulates TGF-beta Signaling,,TGFBR3 Regulates TGF-beta Signaling,3,0.02,0.14144054254182067,-0.006654878484366476,0.006654878484366476,negative,1225
1,mode_01,Defective RIPK1-mediated Regulated Necrosis,,Defective RIPK1-mediated Regulated Necrosis,1,0.006666666666666667,0.05777796017013378,-0.0032993636619716156,0.0032993636619716156,negative,1446
1,mode_01,Loss of Function of MECP2 in Rett Syndrome,,Loss of Function of MECP2 in Rett Syndrome,29,0.19333333333333333,0.708392686703044,-0.04687820584138228,0.04687820584138228,negative,126
1,mode_01,MET Activates PTK2 Signaling,,MET Activates PTK2 Signaling,5,0.03333333333333333,0.21084230031853213,-0.006284458705939478,0.006284458705939478,negative,1248
1,mode_01,TNFR2 Non-Canonical NF-kB Pathway,,TNFR2 Non-Canonical NF-kB Pathway,4,0.02666666666666667,0.17738945318599736,-0.00704029393718231,0.00704029393718231,negative,1202
1,mode_01,Methylation,,Methylation,2,0.013333333333333334,0.10215803640865039,-0.0043900993468773625,0.0043900993468773625,negative,1366
1,mode_01,RAC3 GTPase Cycle,,RAC3 GTPase Cycle,12,0.08,0.4021791902022728,-0.01244005653359488,0.01244005653359488,negative,933
1,mode_01,InlB-mediated Entry of Listeria Monocytogenes Into Host Cell,,InlB-mediated Entry of Listeria Monocytogenes Into Host Cell,15,0.1,0.4689955935892812,-0.015306827813162345,0.015306827813162345,negative,771
1,mode_01,Recycling of eIF2 GDP,,Recycling of eIF2 GDP,2,0.013333333333333334,0.10215803640865039,-0.004314940560394816,0.004314940560394816,negative,1370
1,mode_01,Conversion From APC C Cdc20 to APC C Cdh1 in Late Anaphase,,Conversion From APC C Cdc20 to APC C Cdh1 in Late Anaphase,9,0.06,0.32744491915447627,-0.017245533561959743,0.017245533561959743,negative,665
1,mode_01,Costimulation by the CD28 Family,,Costimulation by the CD28 Family,26,0.17333333333333334,0.6652735227649414,-0.024918962845252725,0.024918962845252725,negative,412
1,mode_01,VEGF Binds to VEGFR Leading to Receptor Dimerization,,VEGF Binds to VEGFR Leading to Receptor Dimerization,3,0.02,0.14144054254182067,-0.003980412218997768,0.003980412218997768,negative,1398
1,mode_01,IRS-related Events Triggered by IGF1R,,IRS-related Events Triggered by IGF1R,21,0.14,0.584238811642856,-0.01823540958528625,0.01823540958528625,negative,617
1,mode_01,Metabolism of Non-Coding RNA,,Metabolism of Non-Coding RNA,17,0.11333333333333333,0.5098891423431209,-0.02623020974240854,0.02623020974240854,negative,391
1,mode_01,Signaling by Moderate Kinase Activity BRAF Mutants,,Signaling by Moderate Kinase Activity BRAF Mutants,16,0.10666666666666667,0.48977901368693755,-0.01654319701747979,0.01654319701747979,negative,709
1,mode_01,APC C-mediated Degradation of Cell Cycle Proteins,,APC C-mediated Degradation of Cell Cycle Proteins,19,0.12666666666666668,0.5482251174503202,-0.029667221647864526,0.029667221647864526,negative,331
1,mode_01,Interleukin-2 Signaling,,Interleukin-2 Signaling,12,0.08,0.4021791902022728,-0.013561733471015908,0.013561733471015908,negative,865
1,mode_01,UCH Proteinases,,UCH Proteinases,7,0.04666666666666667,0.2720647864044614,-0.01732006638715792,0.01732006638715792,negative,661
1,mode_01,Inhib of Proteolytic Activity of APC C Required for Onset of Anaphase by Mitotic Spindle Checkpoint,,Inhib of Proteolytic Activity of APC C Required for Onset of Anaphase by Mitotic Spindle Checkpoint,7,0.04666666666666667,0.2720647864044614,-0.01469847649645309,0.01469847649645309,negative,803
1,mode_01,Signaling by PDGFR in Disease,,Signaling by PDGFR in Disease,19,0.12666666666666668,0.5482251174503202,-0.017079914664848775,0.017079914664848775,negative,675
1,mode_01,Interleukin-15 Signaling,,Interleukin-15 Signaling,13,0.08666666666666667,0.42524461248637185,-0.014258584405553712,0.014258584405553712,negative,828
1,mode_01,Platelet Aggregation (Plug Formation),,Platelet Aggregation (Plug Formation),16,0.10666666666666667,0.48977901368693755,-0.01707317430196095,0.01707317430196095,negative,677
1,mode_01,mRNA Decay by 5' to 3' Exoribonuclease,,mRNA Decay by 5' to 3' Exoribonuclease,2,0.013333333333333334,0.10215803640865039,-0.004259636486593703,0.004259636486593703,negative,1372
1,mode_01,Allograft Rejection,,Allograft Rejection,19,0.12666666666666668,0.5482251174503202,-0.020378124165711935,0.020378124165711935,negative,523
1,mode_01,TFAP2 (AP-2) Family Regulates Transcription of Growth Factors and Their Receptors,,TFAP2 (AP-2) Family Regulates Transcription of Growth Factors and Their Receptors,18,0.12,0.5293608652873644,-0.02290911937709922,0.02290911937709922,negative,456
1,mode_01,Processing of Capped Intron-Containing Pre-mRNA,,Processing of Capped Intron-Containing Pre-mRNA,38,0.25333333333333335,0.8165187119538282,-0.050800134451620065,0.050800134451620065,negative,92
1,mode_01,Formation of the Early Elongation Complex,,Formation of the Early Elongation Complex,6,0.04,0.24229218908241482,-0.013829597551243569,0.013829597551243569,negative,856
1,mode_01,Interaction Between L1 and Ankyrins,,Interaction Between L1 and Ankyrins,4,0.02666666666666667,0.17738945318599736,-0.006209425255263082,0.006209425255263082,negative,1253
1,mode_01,Pre-NOTCH Transcription and Translation,,Pre-NOTCH Transcription and Translation,27,0.18,0.6800770457282798,-0.045388220476505016,0.045388220476505016,negative,138
1,mode_01,Biological Oxidations,,Biological Oxidations,2,0.013333333333333334,0.10215803640865039,-0.0028021786296405847,0.0028021786296405847,negative,1504
1,mode_01,Interleukin-20 Family Signaling,,Interleukin-20 Family Signaling,8,0.05333333333333334,0.30039141736478187,-0.00915344505019194,0.00915344505019194,negative,1086
1,mode_01,Translation,,Translation,7,0.04666666666666667,0.2720647864044614,-0.010084522976276432,0.010084522976276432,negative,1037
1,mode_01,Non-integrin membrane-ECM Interactions,,Non-integrin membrane-ECM Interactions,1,0.006666666666666667,0.05777796017013378,-0.0022437995895486997,0.0022437995895486997,negative,1563
1,mode_01,MAPK Family Signaling Cascades,,MAPK Family Signaling Cascades,28,0.18666666666666668,0.6944460704939805,-0.026746530871170654,0.026746530871170654,negative,381
1,mode_01,Interleukin-21 Signaling,,Interleukin-21 Signaling,10,0.06666666666666667,0.35335933502142136,-0.0125331277991197,0.0125331277991197,negative,923
1,mode_01,TGF-beta Receptor Signaling in EMT (Epithelial to Mesenchymal Transition),,TGF-beta Receptor Signaling in EMT (Epithelial to Mesenchymal Transition),3,0.02,0.14144054254182067,-0.005117321208833698,0.005117321208833698,negative,1325
1,mode_01,RUNX1 Regulates Transcription of Genes Involved in WNT Signaling,,RUNX1 Regulates Transcription of Genes Involved in WNT Signaling,4,0.02666666666666667,0.17738945318599736,-0.010250990555382634,0.010250990555382634,negative,1028
1,mode_01,Downregulation of TGF-beta Receptor Signaling,,Downregulation of TGF-beta Receptor Signaling,6,0.04,0.24229218908241482,-0.009887429248064612,0.009887429248064612,negative,1044
1,mode_01,Organelle Biogenesis and Maintenance,,Organelle Biogenesis and Maintenance,25,0.16666666666666666,0.6500224216483541,-0.03575196819304277,0.03575196819304277,negative,245
1,mode_01,NFE2L2 Regulating Inflammation Associated Genes,,NFE2L2 Regulating Inflammation Associated Genes,15,0.1,0.4689955935892812,-0.030338549033831496,0.030338549033831496,negative,320
1,mode_01,Formation of TC-NER Pre-Incision Complex,,Formation of TC-NER Pre-Incision Complex,10,0.06666666666666667,0.35335933502142136,-0.018330396063350796,0.018330396063350796,negative,604
1,mode_01,"Defective B4GALT7 Causes EDS, Progeroid Type",,"Defective B4GALT7 Causes EDS, Progeroid Type",2,0.013333333333333334,0.10215803640865039,-0.004571361494957105,0.004571361494957105,negative,1360
1,mode_01,"Synthesis And Processing Of GAG, GAGPOL Polyproteins",,"Synthesis And Processing Of GAG, GAGPOL Polyproteins",3,0.02,0.14144054254182067,-0.005117321208833698,0.005117321208833698,negative,1326
1,mode_01,SARS-CoV-1 Modulates Host Translation Machinery,,SARS-CoV-1 Modulates Host Translation Machinery,3,0.02,0.14144054254182067,-0.004552703257562926,0.004552703257562926,negative,1361
1,mode_01,Regulation of TP53 Activity Through Methylation,,Regulation of TP53 Activity Through Methylation,23,0.15333333333333332,0.6181194891000384,-0.03981635539995334,0.03981635539995334,negative,187
1,mode_01,NOTCH2 Activation and Transmission of Signal to the Nucleus,,NOTCH2 Activation and Transmission of Signal to the Nucleus,1,0.006666666666666667,0.05777796017013378,-0.00187088600962905,0.00187088600962905,negative,1576
1,mode_01,Energy Dependent Regulation of mTOR by LKB1-AMPK,,Energy Dependent Regulation of mTOR by LKB1-AMPK,3,0.02,0.14144054254182067,-0.005858469221391615,0.005858469221391615,negative,1282
1,mode_01,Pyruvate Metabolism,,Pyruvate Metabolism,4,0.02666666666666667,0.17738945318599736,-0.00930271856032159,0.00930271856032159,negative,1075
