case_id,test_case,tree_inference,sibling_alpha,edge_alpha,status,found_clusters,labels_length,largest_cluster_fraction,ari,nmi,macro_f1,live_nodes_visited,live_internal_tuples,live_split_count,live_pass_through_count,live_boundary_count,live_passthrough_candidate_count,live_passthrough_support_blocked_count,full_edge_nodes_visited,full_edge_internal_tuples,full_edge_continue_count,full_edge_stop_count,full_edge_leaf_stop_count,full_edge_non_binary_stop_count,full_edge_closed_stop_count,full_edge_passthrough_candidate_count,full_edge_passthrough_support_blocked_count,full_edge_missing_branch_length_count
overlap_extreme_4c,89,ward,0.05,0.001,ok,1,600,1.0,0.0,0.0,0.1,1,1,0,0,1,0,0,495,251,247,248,244,0,4,0,0,0
cont_lowrank_pggn_shrinkage,117,average,0.05,0.001,ok,1,80,1.0,0.0,0.0,0.1,1,1,0,0,1,0,0,15,8,7,8,7,0,1,0,0,0
cont_lowrank_pggn_shrinkage,117,complete,0.05,0.001,ok,1,80,1.0,0.0,0.0,0.1,1,1,0,0,1,0,0,15,8,7,8,7,0,1,0,0,0
cont_lowrank_pggn_shrinkage,117,single,0.05,0.001,ok,1,80,1.0,0.0,0.0,0.1,1,1,0,0,1,0,0,15,8,7,8,7,0,1,0,0,0
cont_lowrank_pggn_shrinkage,117,ward,0.05,0.001,ok,1,80,1.0,0.0,0.0,0.1,1,1,0,0,1,0,0,15,8,7,8,7,0,1,0,0,0
cont_lowrank_pggn_shrinkage,117,weighted,0.05,0.001,ok,1,80,1.0,0.0,0.0,0.1,1,1,0,0,1,0,0,15,8,7,8,7,0,1,0,0,0
sbm_moderate,60,complete,0.1,0.001,ok,3,120,0.9,0.03182149187287891,0.08072173590545437,0.3489897685196058,5,5,1,1,3,1,0,7,7,3,4,0,0,4,1,0,0
sbm_moderate,60,neighbor_joining,0.1,0.001,ok,1,120,1.0,0.0,0.0,0.19607843137254902,1,1,0,0,1,0,0,13,10,6,7,3,0,4,0,0,0
sbm_moderate,60,ward,0.1,0.001,ok,4,120,0.8333333333333334,0.0741480916041158,0.15815616929709317,0.4559694107062528,7,7,3,0,4,0,0,13,12,6,7,1,0,6,0,0,0
sbm_hard,61,average,0.1,0.001,ok,2,120,0.9833333333333333,-0.000277815373875382,0.011540140491496742,0.18464938718103277,3,3,1,0,2,0,0,3,3,1,2,0,0,2,0,0,0
sbm_hard,61,centroid,0.1,0.001,ok,2,120,0.9833333333333333,-0.000277815373875382,0.011540140491496742,0.18464938718103277,3,3,1,0,2,0,0,3,3,1,2,0,0,2,0,0,0
sbm_hard,61,single,0.1,0.001,ok,2,120,0.9833333333333333,-0.000277815373875382,0.011540140491496742,0.18464938718103277,3,3,1,0,2,0,0,3,3,1,2,0,0,2,0,0,0
overlap_heavy_8c_large_feat,88,average,0.1,0.001,ok,1,800,1.0,0.0,0.0,0.027777777777777776,1,1,0,0,1,0,0,171,88,85,86,83,0,3,0,0,0
overlap_heavy_8c_large_feat,88,complete,0.1,0.001,ok,1,800,1.0,0.0,0.0,0.027777777777777776,1,1,0,0,1,0,0,707,356,353,354,351,0,3,0,0,0
overlap_heavy_8c_large_feat,88,neighbor_joining,0.1,0.001,ok,1,800,1.0,0.0,0.0,0.027777777777777776,1,1,0,0,1,0,0,1517,760,758,759,757,0,2,0,0,0
overlap_heavy_8c_large_feat,88,single,0.1,0.001,ok,4,800,0.99625,4.516801119029379e-06,0.007420655382594331,0.032821175094098036,7,4,1,2,4,2,0,7,4,3,4,3,0,1,2,0,0
overlap_heavy_8c_large_feat,88,weighted,0.1,0.001,ok,1,800,1.0,0.0,0.0,0.027777777777777776,1,1,0,0,1,0,0,1543,778,771,772,765,0,7,0,0,0
overlap_extreme_4c,89,complete,0.1,0.001,ok,1,600,1.0,0.0,0.0,0.1,1,1,0,0,1,0,0,11,6,5,6,5,0,1,0,0,0
overlap_extreme_4c,89,median,0.1,0.001,ok,1,600,1.0,0.0,0.0,0.1,1,1,0,0,1,0,0,21,11,10,11,10,0,1,0,0,0
overlap_extreme_4c,89,neighbor_joining,0.1,0.001,ok,1,600,1.0,0.0,0.0,0.1,1,1,0,0,1,0,0,111,56,55,56,55,0,1,0,0,0
overlap_extreme_4c,89,ward,0.1,0.001,ok,1,600,1.0,0.0,0.0,0.1,1,1,0,0,1,0,0,495,251,247,248,244,0,4,0,0,0
cont_lowrank_pggn_shrinkage,117,average,0.1,0.001,ok,3,80,0.975,0.0006551541523124212,0.04687327231038562,0.12585034013605442,5,3,1,1,3,1,0,15,8,7,8,7,0,1,1,0,0
cont_lowrank_pggn_shrinkage,117,complete,0.1,0.001,ok,3,80,0.975,0.0006551541523124212,0.04687327231038562,0.12585034013605442,5,3,1,1,3,1,0,15,8,7,8,7,0,1,1,0,0
cont_lowrank_pggn_shrinkage,117,single,0.1,0.001,ok,3,80,0.975,0.0006551541523124212,0.04687327231038562,0.12585034013605442,5,3,1,1,3,1,0,15,8,7,8,7,0,1,1,0,0
cont_lowrank_pggn_shrinkage,117,ward,0.1,0.001,ok,3,80,0.975,0.0006551541523124212,0.04687327231038562,0.12585034013605442,5,3,1,1,3,1,0,15,8,7,8,7,0,1,1,0,0
cont_lowrank_pggn_shrinkage,117,weighted,0.1,0.001,ok,3,80,0.975,0.0006551541523124212,0.04687327231038562,0.12585034013605442,5,3,1,1,3,1,0,15,8,7,8,7,0,1,1,0,0
sbm_moderate,60,complete,0.2,0.001,ok,3,120,0.9,0.03182149187287891,0.08072173590545437,0.3489897685196058,5,5,2,0,3,0,0,7,7,3,4,0,0,4,0,0,0
sbm_moderate,60,neighbor_joining,0.2,0.001,ok,2,120,0.8916666666666667,0.020825702612649166,0.047989095767954605,0.3170292032207667,3,3,1,0,2,0,0,13,10,6,7,3,0,4,0,0,0
sbm_moderate,60,ward,0.2,0.001,ok,6,120,0.8333333333333334,0.07184074845494588,0.17160209595221293,0.47296277860737784,11,11,5,0,6,0,0,13,12,6,7,1,0,6,0,0,0
sbm_hard,61,average,0.2,0.001,ok,2,120,0.9833333333333333,-0.000277815373875382,0.011540140491496742,0.18464938718103277,3,3,1,0,2,0,0,3,3,1,2,0,0,2,0,0,0
sbm_hard,61,centroid,0.2,0.001,ok,2,120,0.9833333333333333,-0.000277815373875382,0.011540140491496742,0.18464938718103277,3,3,1,0,2,0,0,3,3,1,2,0,0,2,0,0,0
sbm_hard,61,single,0.2,0.001,ok,2,120,0.9833333333333333,-0.000277815373875382,0.011540140491496742,0.18464938718103277,3,3,1,0,2,0,0,3,3,1,2,0,0,2,0,0,0
overlap_heavy_8c_large_feat,88,average,0.2,0.001,ok,1,800,1.0,0.0,0.0,0.027777777777777776,1,1,0,0,1,0,0,171,88,85,86,83,0,3,0,0,0
overlap_heavy_8c_large_feat,88,complete,0.2,0.001,ok,3,800,0.95125,0.0017308811646721846,0.039355984924178015,0.07978657614482185,5,5,1,1,3,1,0,707,356,353,354,351,0,3,1,0,0
overlap_heavy_8c_large_feat,88,neighbor_joining,0.2,0.001,ok,22,800,0.23875,0.07647956745703172,0.1550296556367919,0.3266159409959484,43,35,1,20,22,20,0,1517,760,758,759,757,0,2,20,0,0
overlap_heavy_8c_large_feat,88,single,0.2,0.001,ok,4,800,0.99625,4.516801119029379e-06,0.007420655382594331,0.032821175094098036,7,4,1,2,4,2,0,7,4,3,4,3,0,1,2,0,0
overlap_heavy_8c_large_feat,88,weighted,0.2,0.001,ok,1,800,1.0,0.0,0.0,0.027777777777777776,1,1,0,0,1,0,0,1543,778,771,772,765,0,7,0,0,0
overlap_extreme_4c,89,complete,0.2,0.001,ok,1,600,1.0,0.0,0.0,0.1,1,1,0,0,1,0,0,11,6,5,6,5,0,1,0,0,0
overlap_extreme_4c,89,median,0.2,0.001,ok,7,600,0.9833333333333333,0.00010703401929106098,0.022903252157972318,0.12722419836755638,13,9,1,5,7,5,0,21,11,10,11,10,0,1,5,0,0
overlap_extreme_4c,89,neighbor_joining,0.2,0.001,ok,1,600,1.0,0.0,0.0,0.1,1,1,0,0,1,0,0,111,56,55,56,55,0,1,0,0,0
overlap_extreme_4c,89,ward,0.2,0.001,ok,1,600,1.0,0.0,0.0,0.1,1,1,0,0,1,0,0,495,251,247,248,244,0,4,0,0,0
cont_lowrank_pggn_shrinkage,117,average,0.2,0.001,ok,3,80,0.975,0.0006551541523124212,0.04687327231038562,0.12585034013605442,5,3,1,1,3,1,0,15,8,7,8,7,0,1,1,0,0
cont_lowrank_pggn_shrinkage,117,complete,0.2,0.001,ok,3,80,0.975,0.0006551541523124212,0.04687327231038562,0.12585034013605442,5,3,1,1,3,1,0,15,8,7,8,7,0,1,1,0,0
cont_lowrank_pggn_shrinkage,117,single,0.2,0.001,ok,3,80,0.975,0.0006551541523124212,0.04687327231038562,0.12585034013605442,5,3,1,1,3,1,0,15,8,7,8,7,0,1,1,0,0
cont_lowrank_pggn_shrinkage,117,ward,0.2,0.001,ok,3,80,0.975,0.0006551541523124212,0.04687327231038562,0.12585034013605442,5,3,1,1,3,1,0,15,8,7,8,7,0,1,1,0,0
cont_lowrank_pggn_shrinkage,117,weighted,0.2,0.001,ok,3,80,0.975,0.0006551541523124212,0.04687327231038562,0.12585034013605442,5,3,1,1,3,1,0,15,8,7,8,7,0,1,1,0,0
