cluster_id,cluster_size
0,2
1,1
2,2
3,4
4,3
5,3
6,1
7,4
8,2
9,1
10,3
11,3
12,3
13,3
14,2
15,1
16,1
17,3
18,3
19,2
20,2
21,1
22,3
23,1
24,10
25,3
26,3
27,1
28,1
29,3
30,3
31,1
32,2
33,1
34,3
35,4
36,3
37,1
38,5
39,3
40,5
41,2
42,1
43,3
44,3
45,2
46,1
47,3
48,5
49,1
50,2
51,1
52,3
53,3
54,2
55,1
56,3
57,2
58,6
