gene,cluster_id,cluster_size
SRSF2,56,1
RARA,114,1
SMC3,105,2
DEK,137,1
TET2,122,1
PML,58,1
TP53,33,1
SMC1A,119,1
FLT3,93,1
RUNX1,67,1
IDH1,95,1
SF3B1,35,1
WT1,90,1
NRAS,134,1
KMT2A,128,1
BCL2,31,1
IDH2,62,1
EZH2,97,1
ZRSR2,81,2
RAD21,18,1
KRAS,30,2
DNMT3A,53,1
ASXL1,60,1
U2AF1,36,1
GATA2,102,1
CEBPA,143,1
NUP214,21,1
KIT,64,1
PTPN11,68,1
STAG2,43,1
MECOM,127,1
NPM1,23,1
WAPL,117,1
SMC1B,19,1
CDCA5,28,1
SGO1,75,1
REC8,83,1
MXD4,73,1
STAG3,105,2
NIPBL,136,1
SPI1,132,1
GPR31,30,2
STAG1,44,1
NXF2,20,1
CARNMT1,88,1
ELF4,69,1
KRTAP10-3,78,1
AIRE,139,1
ZNF513,63,1
SLA,112,1
ZRSR1,91,1
SRRM1,74,1
ANKRD11,89,1
CIRSR,77,1
ZNF207,9,1
U2AF1L4,61,1
USP37,124,1
FMO3,133,1
ADAR,54,1
SH2B3,94,1
SSU72,129,1
SOCS1,5,1
PAF1,86,1
USP13,11,1
TEC,0,1
RGPD2,46,1
WAPAL,1,1
KAT6A,140,1
HLF,116,1
HRK,7,1
BNIPL,123,1
GRB10,40,1
MED1,113,1
NUP93,96,1
PDS5B,120,1
CBL,14,1
OVCA2,110,1
PDS5A,47,1
RBM15,34,1
TFEC,104,1
C19ORF43,85,1
ZFPM1,65,1
RADIL,135,1
HIST1H3A,71,1
ZRSR2P1,81,2
PIK3CG,82,1
IRX4,115,1
CITED1,51,1
GPATCH11,80,1
PPP4R3A,101,1
SUV39H1,48,1
KITLG,45,1
PECAM1,76,1
HIST1H4A,138,1
AVEN,13,1
MAU2,130,1
PAWR,32,1
MATK,87,1
RGL2,131,1
CDK1,26,1
BCOR,24,1
CELA1,49,1
CSN1S1,99,2
CBX7,55,1
ZBTB5,66,1
PCGF5,4,1
HAO2,99,2
KDM2B,125,1
ZBTB7A,6,1
PCGF1,27,1
PCGF3,38,1
L3MBTL1,2,1
CARD8,98,1
NACC1,25,1
PCGF2,92,1
HSPA12A,52,1
MLLT1,37,1
ERP44,59,1
NFIC,12,1
SNAPC4,79,1
MLLT3,70,1
QPRT,39,1
KPNA4,41,1
NFIA,10,1
CBX4,42,1
NFIX,8,1
SHARPIN,103,1
RING1,107,1
C6ORF141,141,2
YAF2,16,1
PPP4R1L,121,1
RNF2,15,1
BCL6,142,1
NAA10,144,1
DCAF7,111,1
RYBP,17,1
CBX8,72,1
PIP,118,1
NCAPH2,141,2
B4GALT2,50,1
SP1,22,1
CTBP1,29,1
CDC16,3,1
CBX3,106,1
BRAF,57,1
CCDC96,108,1
CBX6,100,1
SKP1,126,1
S100P,109,1
USP7,84,1
