gene,cluster_id,cluster_size
SRSF2,31,6
RARA,18,5
SMC3,8,2
DEK,58,2
TET2,23,1
PML,13,1
TP53,35,1
SMC1A,46,3
FLT3,64,4
RUNX1,18,5
IDH1,12,4
SF3B1,32,5
WT1,28,3
NRAS,26,3
KMT2A,53,4
BCL2,37,3
IDH2,42,4
EZH2,54,1
ZRSR2,31,6
RAD21,38,8
KRAS,27,3
DNMT3A,53,4
ASXL1,53,4
U2AF1,32,5
GATA2,41,3
CEBPA,34,2
NUP214,5,3
KIT,64,4
PTPN11,62,1
STAG2,39,1
MECOM,3,1
NPM1,20,1
WAPL,38,8
SMC1B,40,3
CDCA5,38,8
SGO1,46,3
REC8,47,3
MXD4,46,3
STAG3,8,2
NIPBL,38,8
SPI1,15,3
GPR31,27,3
STAG1,28,3
NXF2,5,3
CARNMT1,30,1
ELF4,49,2
KRTAP10-3,42,4
AIRE,4,1
ZNF513,57,4
SLA,59,1
ZRSR1,32,5
SRRM1,32,5
ANKRD11,18,5
CIRSR,31,6
ZNF207,7,1
U2AF1L4,31,6
USP37,47,3
FMO3,26,3
ADAR,38,8
SH2B3,64,4
SSU72,65,3
SOCS1,61,2
PAF1,57,4
USP13,48,4
TEC,61,2
RGPD2,2,1
WAPAL,34,2
KAT6A,43,2
HLF,16,1
HRK,37,3
BNIPL,37,3
GRB10,44,1
MED1,14,1
NUP93,5,3
PDS5B,45,4
CBL,65,3
OVCA2,64,4
PDS5A,38,8
RBM15,32,5
TFEC,24,1
C19ORF43,29,1
ZFPM1,41,3
RADIL,25,1
HIST1H3A,55,1
ZRSR2P1,31,6
PIK3CG,45,4
IRX4,18,5
CITED1,41,3
GPATCH11,31,6
PPP4R3A,12,4
SUV39H1,57,4
KITLG,60,1
PECAM1,45,4
HIST1H4A,0,1
AVEN,36,1
MAU2,38,8
PAWR,22,1
MATK,63,1
RGL2,26,3
CDK1,40,3
BCOR,52,3
CELA1,12,4
CSN1S1,43,2
CBX7,50,4
ZBTB5,19,5
PCGF5,50,4
HAO2,45,4
KDM2B,49,2
ZBTB7A,15,3
PCGF1,51,3
PCGF3,50,4
L3MBTL1,65,3
CARD8,40,3
NACC1,42,4
PCGF2,51,3
HSPA12A,28,3
MLLT1,57,4
ERP44,21,1
NFIC,19,5
SNAPC4,12,4
MLLT3,56,1
QPRT,19,5
KPNA4,1,1
NFIA,19,5
CBX4,52,3
NFIX,19,5
SHARPIN,38,8
RING1,51,3
C6ORF141,10,4
YAF2,48,4
PPP4R1L,11,2
RNF2,48,4
BCL6,15,3
NAA10,42,4
DCAF7,6,1
RYBP,48,4
CBX8,50,4
PIP,33,1
NCAPH2,10,4
B4GALT2,9,1
SP1,17,1
CTBP1,18,5
CDC16,11,2
CBX3,53,4
BRAF,27,3
CCDC96,10,4
CBX6,52,3
SKP1,47,3
S100P,10,4
USP7,58,2
