gene,subspace_axis_1,subspace_axis_2,cluster_id
SRSF2,-0.00578536524407422,0.0011009384614439133,34
RARA,-0.0009510935342074169,-0.05268606659674097,10
SMC3,0.058919607820847715,0.019600055854295258,22
DEK,-0.05873051202759012,0.050822658119831,22
TET2,0.1104271980179615,0.0021385059497264964,30
PML,0.12799008883898533,-0.03398727469544356,52
TP53,0.027944879592921898,-0.14579331041863308,24
SMC1A,0.04246021540002186,-0.03539601479176284,48
FLT3,-0.019894861377877278,-0.012123169248696705,41
RUNX1,-0.008431452436241056,0.03210821539750756,26
IDH1,0.12612964921602932,-0.10810377506969926,5
SF3B1,-0.003269606994066468,0.025227077100165307,36
WT1,-0.010330622786744433,-0.026120961109259922,26
NRAS,-0.07986673010310746,0.022086944708405713,25
KMT2A,0.05517761604176904,-0.04926331474007497,13
BCL2,-0.022321830803154585,0.04992730381463109,35
IDH2,0.07840357728598889,-0.06522412986993596,56
EZH2,-0.03188449822185532,-0.030391374043272176,24
ZRSR2,0.03409714723532925,0.004476405507790826,58
RAD21,-0.03051473769998379,0.005522887762020729,3
KRAS,0.048883913987152076,-0.022722024367927238,57
DNMT3A,0.10912958476957535,-0.09690631466623219,43
ASXL1,0.026960320600529976,0.043477694587592854,7
U2AF1,-0.021878100495493085,0.07352447184272974,47
GATA2,-0.05618145364524673,0.0699315237383858,50
CEBPA,-0.02225737844847177,0.028316660276535552,38
NUP214,-0.0129490612480513,0.037643572904848,38
KIT,-0.013665407549586145,-0.044748820461791156,42
PTPN11,0.021578012326163826,-0.011608794227154098,8
STAG2,-0.07001724510058396,0.01495752819540901,32
MECOM,-0.0787593552737417,-0.04409426470435149,11
NPM1,-0.06200216520834952,-0.04918874378285117,40
WAPL,-0.00878138644705735,-0.03662771764314564,49
SMC1B,-0.04330631463603821,0.01354023226434204,5
CDCA5,-0.023967325473704646,-0.02954736788450514,33
SGO1,0.11959994904330433,-0.08204723933635157,56
REC8,-0.1953927711237427,-0.14505441713690614,53
MXD4,-0.015691362938952937,0.07196094393172689,58
STAG3,0.06043482941719716,0.020111037786136952,22
NIPBL,-0.03094187281645176,0.0007835550317758235,58
SPI1,-0.05189068290025467,0.036592325848259666,3
GPR31,0.05768805091819078,-0.02197249529892318,57
STAG1,0.08953177860867376,0.0007053298659001976,48
NXF2,-0.03347749838563578,0.04715054138785686,39
CARNMT1,-0.0028643924559784814,0.017387036505558267,18
ELF4,-0.04901045009214979,0.02973783901247693,26
KRTAP10-3,-0.02532024515462444,0.11173878851290042,47
AIRE,-0.0039501653139028346,-0.011683654199009139,13
ZNF513,-0.12322793315648879,-0.011438026440931988,24
SLA,-0.058589620371860905,0.0033611606455749964,35
ZRSR1,0.012343876104990603,-0.04983032104359691,25
SRRM1,0.015499377399491405,0.02169517564944657,9
ANKRD11,0.1529482010708463,0.14334979915139254,29
CIRSR,-0.004854350304004978,-0.02216461428827326,38
ZNF207,0.028928403374645282,0.075206832494117,4
U2AF1L4,0.01983787728135135,-0.05170853887837415,53
USP37,-0.00203759020037469,0.016978604819726142,58
FMO3,-0.02203693237635339,-0.024044900624048432,41
ADAR,-0.009011890488106043,0.02225819875198926,30
SH2B3,-0.006894846569060734,0.014730369031569282,35
SSU72,-0.018346526429585022,-0.08742658694754037,24
SOCS1,-0.04354975160500266,0.00625279099285498,44
PAF1,0.01945176874204322,0.10987113251988395,3
USP13,-0.02656297920244949,-0.053734319206978944,11
TEC,-0.04608663165156579,-0.011246965144212896,44
RGPD2,0.08028426757585076,-0.09940816711296595,55
WAPAL,0.012815029081614833,0.024276407318965756,24
KAT6A,0.07761119967772291,0.014791177089761636,56
HLF,-0.050752154817190004,-0.10576701335610006,40
HRK,-0.03994395978762265,-0.02459257306554169,16
BNIPL,0.04238880152476189,0.028511429934637577,30
GRB10,-0.03960320015399369,-0.005275599450928727,34
MED1,0.06546145054774301,-0.06619060998052011,15
NUP93,-0.004995451200113456,0.009580810415567919,11
PDS5B,-0.04995821806228041,-0.07736501882669938,24
CBL,-0.04445377111836058,-0.015254373567555421,40
OVCA2,0.0872405022981789,-0.035726016137977865,2
PDS5A,0.011285484233026761,0.03565327727431321,18
RBM15,-0.02261692011963483,-0.07776787368025942,12
TFEC,-0.010695847039369152,0.031246208533768808,36
C19ORF43,-0.07816866288304797,-0.001101969357759699,37
ZFPM1,0.0892370750974212,-0.1774103427186015,24
RADIL,-0.015259653667577719,0.008421771835380024,17
HIST1H3A,0.0818955973740975,-0.11042384762852377,46
ZRSR2P1,0.027298793416239524,0.008393050805634437,58
PIK3CG,0.018580949792754195,0.004105967319148608,17
IRX4,-0.02922751652102039,-0.05019738997661545,54
CITED1,0.1101972035525771,0.10571773881959398,7
GPATCH11,0.013884558228238208,0.03154742135253675,10
PPP4R3A,-0.026409151946251423,-0.03437853427127988,29
SUV39H1,-0.01077629339486386,-0.0656949595344682,12
KITLG,0.30710205004017294,0.10513550782558456,21
PECAM1,-0.1091525390080797,0.03152361560463023,25
HIST1H4A,0.05515242312605187,-0.08202213711718016,43
AVEN,-0.0034732223248740107,-0.036694302076339405,10
MAU2,-0.022318993412865005,0.08697804111002669,50
PAWR,0.0674903842654354,0.0024147071991280976,48
MATK,-0.0214945940438935,0.012995427180798385,31
RGL2,-0.0655823014739288,0.005145509275310723,44
CDK1,-0.027205047513687467,-0.013407227715038493,14
BCOR,0.007331503348119419,0.054567876938954464,0
CELA1,-0.0075580990901408926,-0.009623854050393246,5
CSN1S1,0.011728932849603883,0.03766564953745755,8
CBX7,0.11516118252750197,0.03115472445975753,35
ZBTB5,-0.07495963122143491,-0.05881027239222681,24
PCGF5,0.011147958883764285,-0.013503635355920352,1
HAO2,-0.026674689964039745,0.06991442643708212,20
KDM2B,0.013790277197310538,-0.08799755878429656,17
ZBTB7A,-0.11031560908569492,0.16629400197381383,38
PCGF1,0.05769617068953034,0.08242125835793858,45
PCGF3,-0.07245241213542133,-0.10278310620158729,51
L3MBTL1,0.07789751419581774,-0.0003353943640995784,19
CARD8,-0.05433337747028953,-0.03500821074842925,40
NACC1,-0.03640144421428553,0.0010502981680211745,14
PCGF2,-0.016001715722057195,0.06324850348630282,27
HSPA12A,-0.039294040932544745,0.06897930654422568,29
MLLT1,0.020053965192444574,-0.013252196814266926,24
ERP44,-0.0989236994381522,0.1424730703341695,20
NFIC,-0.0033438369745425597,-0.010313658366303761,18
SNAPC4,0.01208909004295369,0.08446302579275895,39
MLLT3,-0.10488110015531017,-0.08157692413100182,54
QPRT,-0.004081376531226197,0.02899143309712319,13
KPNA4,-0.007590448709710326,0.10869318813722431,7
NFIA,0.003482135040755649,0.03206168021636423,36
CBX4,-0.010686954406987753,-0.0645155681398636,12
