case_id,test_case,method,status,skip_reason,samples,features,true_clusters,found_clusters,ari,nmi,macro_f1,purity,silhouette_score,calinski_harabasz_index,davies_bouldin_index,cluster_count_abs_error,over_split,under_split,effective_cluster_count,largest_cluster_fraction,tree_build_sec,labels_length
cat_overlap_3cat_4c,1,tbs_diffusion_graphtools_adaptive_nnls,ok,,400,300,4,4,0.8959106431954114,0.9083891339896005,0.957259585166562,0.9575,0.046313071982722345,15.61906063233191,4.438253830347983,0.0,0.0,0.0,3.9774784975956914,0.2875,0.0027743749669753015,400
cat_overlap_3cat_4c,1,tbs_diffusion_graphtools_adaptive_nnls_complete,ok,,400,300,4,4,0.9242354305314691,0.918420911677237,0.96999699969997,0.97,0.047455234402703786,15.783837583531238,4.364682325141503,0.0,0.0,0.0,3.999599993331066,0.255,0.002119040989782661,400
cat_overlap_3cat_4c,1,tbs_diffusion_graphtools_adaptive_nnls_weighted,ok,,400,300,4,5,0.8066031023196243,0.8565337641909454,0.9286005711954305,0.93,0.040488712741029484,12.240178009103776,5.54223257888422,1.0,1.0,0.0,4.894346143102776,0.25,0.0020989999757148325,400
cat_overlap_3cat_4c,1,tbs_diffusion_graphtools_adaptive_nnls_single,ok,,400,300,4,3,0.712742980561555,0.8571428571428577,0.6666666666666666,0.75,0.06029237195415064,19.825044186276177,3.6603060621744166,1.0,0.0,1.0,2.82842712474619,0.5,0.0017259170417673886,400
cat_overlap_3cat_4c,1,tbs_diffusion_graphtools_adaptive_nnls_centroid,ok,,400,300,4,4,0.9362041386776105,0.9298061238700065,0.9749899959983994,0.975,0.04734064325244735,15.775367864934562,4.3730963885586025,0.0,0.0,0.0,3.998399893188134,0.26,0.0016719999839551747,400
cat_overlap_3cat_4c,1,tbs_diffusion_graphtools_adaptive_nnls_median,ok,,400,300,4,6,0.9181342750884922,0.910314000343235,0.9699879951980792,0.97,0.011726532677155708,9.757778711156359,3.301206903218734,2.0,1.0,0.0,4.1119237220252645,0.2575,0.001609999977517873,400
cat_overlap_3cat_4c,1,tbs_diffusion_graphtools_adaptive_nnls_ward,ok,,400,300,4,4,0.901230183074489,0.9029095843943443,0.9599358974358975,0.96,0.046648608997638764,15.666847669979092,4.432715374737449,0.0,0.0,0.0,3.9935982840151487,0.27,0.0021527920034714043,400
cat_overlap_3cat_4c,1,tbs_diffusion_graphtools_adaptive_nnls_neighbor_joining,ok,,400,300,4,3,0.7094829374349906,0.8464160681265571,0.6659802991730311,0.75,0.060040267467851335,19.772633422422597,3.67356769978624,1.0,0.0,1.0,2.8332796279521726,0.4975,11.21578062500339,400
overlap_unbal_4c_small,2,tbs_diffusion_graphtools_adaptive_nnls,ok,,400,100,4,4,0.6590088044947379,0.61101433984031,0.8595715191459872,0.86,0.028006096678279465,9.802778937640063,4.831153866407739,0.0,0.0,0.0,3.97875578763971,0.2925,0.0022077079629525542,400
overlap_unbal_4c_small,2,tbs_diffusion_graphtools_adaptive_nnls_complete,ok,,400,100,4,3,0.49471485863177206,0.5656633336987587,0.6137743592759535,0.705,0.026162936929341192,10.458738970059319,4.977679226150417,1.0,0.0,1.0,2.7265094228667985,0.5425,0.0022127499687485397,400
